Code du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Voix,% Voix/Ins,% Voix/Exp,Tour,Year
"93",1238,507,"40,95",731,"59,05",9,"0,73","1,23",13,"1,05","1,78",709,"57,27","96,99","9",9,"0,73","1,27","T1","2017"
"93",1136,292,"25,7",844,"74,3",9,"0,79","1,07",18,"1,58","2,13",817,"71,92","96,8","9",58,"5,11","7,1","T1","2017"
"93",991,328,"33,1",663,"66,9",10,"1,01","1,51",16,"1,61","2,41",637,"64,28","96,08","9",7,"0,71","1,1","T1","2017"
"93",930,376,"40,43",554,"59,57",10,"1,08","1,81",14,"1,51","2,53",530,"56,99","95,67","10",13,"1,4","2,45","T1","2017"
"93",737,219,"29,72",518,"70,28",11,"1,49","2,12",12,"1,63","2,32",495,"67,16","95,56","10",18,"2,44","3,64","T1","2017"
"93",1233,512,"41,52",721,"58,48",7,"0,57","0,97",13,"1,05","1,8",701,"56,85","97,23","10",5,"0,41","0,71","T1","2017"
"93",1130,356,"31,5",774,"68,5",8,"0,71","1,03",12,"1,06","1,55",754,"66,73","97,42","10",37,"3,27","4,91","T1","2017"
"93",1238,507,"40,95",731,"59,05",9,"0,73","1,23",13,"1,05","1,78",709,"57,27","96,99","10",16,"1,29","2,26","T1","2017"
"93",1136,292,"25,7",844,"74,3",9,"0,79","1,07",18,"1,58","2,13",817,"71,92","96,8","10",21,"1,85","2,57","T1","2017"
"93",991,328,"33,1",663,"66,9",10,"1,01","1,51",16,"1,61","2,41",637,"64,28","96,08","10",15,"1,51","2,35","T1","2017"
"93",930,376,"40,43",554,"59,57",10,"1,08","1,81",14,"1,51","2,53",530,"56,99","95,67","11",5,"0,54","0,94","T1","2017"
"93",737,219,"29,72",518,"70,28",11,"1,49","2,12",12,"1,63","2,32",495,"67,16","95,56","11",2,"0,27","0,4","T1","2017"
