Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des emplois sal. dans le nb d’emplois au LT 2016;Part des emplois non sal. dans le nb d’emplois au LT 2016;Part des agriculteurs expl. dans le nb d’emplois au LT 2016;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2016;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2016;Part des employés dans le nb d’emplois au LT 2016;Part des prof. intermédiaires dans le nb d’emplois au LT 2016;Part des ouvriers dans le nb d’emplois au LT 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité par tranche d'âge 2016;Taux d'activité des femmes par tranche d'âge 2016;Taux activité des hommes par tranche d'âge 2016
01053;Bourg-en-Bresse;92.5;7.5;0.1;4;14.6;30.2;32.3;18.8;42.9;85;52.2;67.7;70.5
01054;Bourg-Saint-Christophe;61.3;38.7;8.6;21.4;4.3;43.1;8.8;13.9;36.1;97.6;52.6;82.4;80.9
01056;Boyeux-Saint-Jérôme;50;50;16.7;0;0;33.4;0;49.9;42.9;96.4;41.2;76.8;85
01057;Boz;73.5;26.5;0;23.4;20.1;15.5;17.1;23.8;30.5;97.7;46.9;79;78.1
01058;Brégnier-Cordon;85.4;14.6;0;16;4;18.3;19.8;41.9;40.1;92.1;44.7;69.2;76.3
01060;Brénod;76.5;23.5;11.8;11.9;11.9;23.7;17.7;23.1;50.9;95;58.2;79.3;78.3
01061;Brens;69.7;30.3;4.6;19.1;9.7;23.8;33.3;9.5;41.6;95.1;48.5;73.4;79.1
01062;Bressolles;85.2;14.8;4.9;12.2;13.2;10.4;23.8;35.5;37.2;96.9;61.6;82.2;79.2
01063;Brion;93;7;0;6.7;4.1;7.6;23;58.5;40.5;95.6;51.3;72.5;81.1
01064;Briord;93.9;6.1;0.9;4.7;7.7;21.5;18.1;47.1;58;93.4;52.5;77.7;82.8
01065;Buellas;65.7;34.3;15.2;17.4;2.1;26;17.6;21.6;40.5;97;52.1;75.5;81.5
01066;La Burbanche;29;71;0;0;0;0;0;100;33.3;88.5;33.3;52.6;76
01067;Ceignes;86;14;0;6.4;0;47.1;13.4;33.1;55.2;97.4;50;81.1;83
01068;Cerdon;70.1;29.9;15.9;12.8;0;29.7;21.1;20.5;57.1;92.4;55.3;76.4;81.9
01069;Certines;86;14;1.4;12.1;8.1;17.1;24.4;36.9;46.2;97.7;54.5;79.8;79.1
01071;Cessy;84.1;15.9;0;10.4;8.3;43.2;20.4;17.7;40.5;94.3;64.4;79.4;84.4
01072;Ceyzériat;87.4;12.6;0.7;6.9;15.4;28.9;29.2;18.8;41;94.3;59;77;79.2
01073;Ceyzérieu;57.1;42.9;7.7;23.2;7.7;15.4;19.3;26.7;50.6;94.8;57;73.7;82.6
01074;Chalamont;80.9;19.1;1.6;15.2;6.1;31;13;33.2;54.3;95.5;54;79.1;83.8
01075;Chaleins;79.7;20.3;0;21.8;11.7;13.1;21.8;31.6;50.7;96;57.9;78.4;83.6
01076;Chaley;95.1;4.9;0;17.8;0;18;18;46.1;62.5;92.5;59.3;83.3;69.7
01077;Challes-la-Montagne;45.5;54.5;66.7;0;0;33.3;0;0;50;93.3;51.5;73.8;83.6
01078;Challex;77.1;22.9;2.8;5.8;11.2;44.6;21.3;14.2;34.9;92.5;52.8;71.5;84.5
01079;Champagne-en-Valromey;78.7;21.3;11.9;3;5.3;44.7;21.5;13.5;46.9;93.5;46.2;68.6;83.9
01080;Champdor-Corcelles;70.2;29.8;17.2;14.4;0;17.2;39.8;11.4;53.2;94.4;66.3;82.4;84.2
01081;Champfromier;90.4;9.6;1.1;3.6;23.5;13.7;19.8;38.3;55.6;95.4;55.9;74.2;86.5
01082;Chanay;94.4;5.6;3.5;0;29.5;10.5;42.7;13.9;78.3;91.2;62.9;76.7;89.3
01083;Chaneins;65.8;34.2;3.1;25;6.2;25.1;6.2;34.4;47.9;97.4;56.7;81.3;82.8
01084;Chanoz-Châtenay;48.6;51.4;12.7;18.8;0;31.2;31.1;6.2;36.4;95.9;50.5;75.5;82.3
01085;La Chapelle-du-Châtelard;47.2;52.8;14.4;14.4;0;56.9;14.4;0;58.6;96.2;59.3;78.3;88.3
01087;Charix;76.2;23.8;0;11.5;11.5;46;8.1;22.8;35.7;92;56.2;71.4;80.9
01088;Charnoz-sur-Ain;84.2;15.8;4.2;6.6;8.3;17.4;30.7;32.8;51.9;96.7;68.2;81.8;84.8
01089;Château-Gaillard;84.3;15.7;0.7;10.7;7.5;17.7;28.6;34.8;45.2;93.4;54.4;79.2;79.3
01090;Châtenay;57.7;42.3;10.4;40.4;0;19.6;0;29.7;63.6;94.7;59;76.5;82.5
01092;Châtillon-la-Palud;75.5;24.5;0;19.5;5.1;36.3;27.7;11.4;45.4;96.4;52.5;76.8;81.3
01093;Châtillon-sur-Chalaronne;88.6;11.4;0.5;7.5;14.1;28.4;24.6;24.9;50.3;93.2;58.8;74.6;79.9
01094;Chavannes-sur-Reyssouze;73.5;26.5;6.2;18.1;12;18.3;6;39.5;54.1;95.7;57.5;77;83.2
01095;Nivigne et Suran;71.8;28.2;8.8;22;16.1;13.2;13.2;26.7;47.1;93.6;52.8;75.1;78.1
01096;Chaveyriat;67.8;32.2;12.4;22.3;0;17.3;17.1;31;49.1;95.8;60.1;77.4;81.2
01098;Chazey-Bons;85.3;14.7;3.7;6.7;5.8;23;20.1;40.8;48;91;60;75.7;80.1
01099;Chazey-sur-Ain;68.5;31.5;11;10.3;17.6;14.6;31.1;15.4;48.7;95.4;57.3;77.6;84.9
01100;Cheignieu-la-Balme;64.1;35.9;49.3;0;0;0;50.7;0;20;84;51.9;65;68.1
01101;Chevillard;56.5;43.5;66.7;33.3;0;0;0;0;18.7;97.2;54.5;81.2;74.2
01102;Chevroux;63.8;36.2;13.1;13;0;39.1;17.5;17.3;44.4;97.3;53;79.5;83.8
01103;Chevry;77.5;22.5;0;11.4;11.8;39.3;26.3;11.3;50.1;92.4;64.8;77;88.5
01104;Chézery-Forens;62.7;37.3;25;15;5;45;5;5;55.3;96.7;61.8;78.8;87.2
01105;Civrieux;80.5;19.5;3.9;7.8;7.7;18.5;30.7;31.5;46.9;97.1;52.8;76;82.7
01106;Cize;59.9;40.1;16.9;0;0;33.1;33.5;16.5;53.3;98.3;50;82.2;83.3
01107;Cleyzieu;14.4;85.6;0;0;100;0;0;0;50;98.2;62.5;86.5;86
01108;Coligny;75.7;24.3;2;9.8;9;47.1;14.6;17.5;52.2;96.7;54.1;78.3;83.4
01109;Collonges;70.4;29.6;1.8;7.4;4.6;46.9;17.2;22.2;53.1;93.1;60.2;78.8;88.5
01110;Colomieu;49.8;50.2;0;57.3;0;0;14.5;28.2;28.6;95.6;60.7;75;79.5
01111;Conand;45.7;54.3;0;48.9;0;0;0;51.1;83.3;93.7;46.2;83.9;83.3
01112;Condamine;81.7;18.3;0;4.5;0;32.7;33.5;29.3;38.7;96.4;52.2;80.2;83.3
01113;Condeissiat;51.6;48.4;14.7;15;10.9;26.6;11.2;21.5;46.2;94.2;52.4;74.8;80.7
01114;Confort;84.4;15.6;8.8;2.2;4.5;25;24.3;35.3;56.3;94.2;55.9;81.5;84
01115;Confrançon;76.2;23.8;6.8;18.7;3.5;15.9;23;32.1;51;96.1;51.9;78.5;85.1
01116;Contrevoz;65.6;34.4;0;0;0;80.4;0;19.6;40.7;92.8;46;70.9;77
01117;Conzieu;37.5;62.5;50;50;0;0;0;0;45.5;91.2;52.2;66.7;84.8
01118;Corbonod;82.1;17.9;6.1;10.6;5.5;39.6;16.5;21.6;42.6;84.9;42.1;69.4;71
01121;Corlier;62.7;37.3;0;0;0;0;23.9;76.1;56.3;95.8;62.5;80;82.5
01123;Cormoranche-sur-Saône;84.4;15.6;7.5;5;5;19.1;24;39.4;47;94.7;44.8;72.8;82.2
01124;Cormoz;62.6;37.4;10.1;40;10.1;10;10.1;19.8;61.3;93.2;44.8;72;82.2
01125;Corveissiat;79.9;20.1;12.7;12.7;7;8.2;41.8;17.7;60.4;96;58.6;81.4;84.7
01127;Courmangoux;45.4;54.6;0;24.9;0;0;0;75.1;48.3;98.4;54.7;83.3;83.1
01128;Courtes;87.8;12.2;22.4;11.2;0;33.3;22.3;10.9;52.8;94.5;64.1;77.4;82.6
01129;Crans;52.4;47.6;0;18.5;18.5;17.9;0;45.1;43.1;93.2;57.2;65.1;85.6
01130;Bresse Vallons;81.9;18.1;8;11.9;11.7;18.5;27.7;22.1;42.1;97.1;55.2;80.9;80.1
01133;Cressin-Rochefort;58.7;41.3;0;28.5;14.4;42.9;14.2;0;44.1;94.5;50.8;72.5;80.9
01134;Crottet;85.6;14.4;1;13.6;5;20;23.7;36.7;40;96.3;54.3;77.3;81.6
01135;Crozet;79.2;20.8;1.2;18.8;9.5;33.8;12.8;24;40.4;92.4;70.4;76.6;86.9
01136;Cruzilles-lès-Mépillat;60.2;39.8;16.8;8.5;0;58.1;16.7;0;48.4;96.6;53;78.3;80.1
01138;Culoz;92.8;7.2;0;3.7;11.9;15.2;28.8;40.4;46.8;85.5;51.6;68.2;76
01139;Curciat-Dongalon;62.1;37.9;13.1;13;4.4;21.8;17.3;30.5;51.7;96.1;59.6;79.1;85.7
01140;Curtafond;75;25;4.3;13.2;4.3;26;21.8;30.3;49.4;98.3;62.1;80.7;85
01141;Cuzieu;47.7;52.3;0;50;0;50;0;0;43.8;92.9;43.3;69.4;75.8
01142;Dagneux;92.2;7.8;0;5.7;13;24.4;29.6;27.3;40.8;94.8;57.6;74.8;82
01143;Divonne-les-Bains;81.2;18.8;0.2;9.1;15.3;44.1;21.6;9.6;37.9;93.1;65.2;76.9;87.1
01145;Dompierre-sur-Veyle;61.9;38.1;9.2;21.4;6.1;12.2;15.5;35.6;43.2;94.1;54.7;72.8;77.1
01146;Dompierre-sur-Chalaronne;39.9;60.1;0;50.4;0;16.5;16.7;16.5;23.6;98.9;52.8;80.6;77.7
01147;Domsure;57.8;42.2;18.7;18.7;0;18.7;6.2;37.7;63.6;91.7;48.4;74.8;81
01148;Dortan;72.3;27.7;0;19.8;3;19.4;20.3;37.5;45.6;90.1;55.6;72.6;77.6
01149;Douvres;76.4;23.6;0;50.9;0;27.8;0;21.3;41.3;96.9;47.1;75.9;78.6
01150;Drom;61.2;38.8;18;0;0;9.2;36;36.7;31.6;97.2;70.8;83.8;85.3
01151;Druillat;69;31;7.4;29.9;0;32;15.4;15.3;47.3;94.5;45.8;71.3;78.5
01152;Échallon;62.8;37.2;10.4;10.4;0;48;20.8;10.4;42.6;96.7;54.8;78.7;82
01153;Échenevex;75.9;24.1;6.7;2.2;17.3;32.4;19.7;21.6;26.1;94.3;69.7;78.8;84.8
01155;Évosges;54.5;45.5;18;0;9.9;36.1;17.9;18.1;40;96.2;48.1;70;79.6
01156;Faramans;78.3;21.7;16.6;16.6;8.3;0;16.6;42;53.4;97.8;61.6;83.3;82
01157;Fareins;71.1;28.9;1.1;19.1;9.5;20.4;23.2;26.6;39.2;97.2;56.9;77.2;79.8
01158;Farges;70.4;29.6;0;16.7;0;24.9;16.6;41.8;51.5;92.2;65.2;77;86.8
01159;Feillens;87.3;12.7;2.3;7.2;7.9;18.9;18;45.7;57.6;96;54.2;79.5;80.3
01160;Ferney-Voltaire;86.7;13.3;0;4.3;18.6;39.8;24.7;12.6;38.6;89.7;68.1;74.4;84.4
01162;Flaxieu;53.8;46.2;50;0;0;0;0;50;20;100;33.3;80;80
01163;Foissiat;64.3;35.7;7.9;23.7;0;19.8;7.9;40.7;54.8;96.1;50.4;76.7;82.2
01165;Francheleins;75.9;24.1;7.8;15.5;3.9;23.2;7.7;42;40.8;97.1;58.9;79.3;84.6
01166;Frans;75.5;24.5;0;15.9;12.4;27.4;22.5;21.8;44;94.5;54.9;77.1;79.5
01167;Garnerans;74.2;25.8;26.8;8.9;26.8;17.9;8.7;10.7;53.2;97.4;55.5;73.7;83.6
01169;Genouilleux;67.4;32.6;12.3;12.3;0;25.1;12.4;37.9;35.7;98.5;61.9;79.5;82.5
01170;Béard-Géovreissiat;87.6;12.4;2.3;4.7;10.1;23.6;17.7;41.6;46.8;94.3;67.4;78.2;83.3
01171;Géovreisset;85.9;14.1;0;12.2;0;12;20.6;55.1;38.1;92.6;55.9;71.5;76.7
01173;Gex;85.5;14.5;0.2;9.4;11;38.3;23.3;17.9;55.8;93.3;65.6;80;88.5
01174;Giron;77;23;0;8.4;16.7;16.7;41.6;16.7;52.9;90.5;66.7;75;86.8
01175;Gorrevod;87.1;12.9;4.6;7;4.6;18.3;19.3;46.2;48.2;94.7;52.4;77.1;79.4
01177;Grand-Corent;11.3;88.7;0;0;0;0;50;50;28.6;96.9;42.4;74.5;75.9
01179;Grièges;88.9;11.1;1.8;8.9;3.7;16.8;18;50.9;55.8;96;56.8;79.6;83.5
01180;Grilly;74.9;25.1;0;12.3;4.2;32.9;27;23.6;31.9;91.8;57.1;70.3;83.4
01181;Groissiat;93.9;6.1;0.6;2.7;7.2;11.4;29.5;48.7;42.4;94.3;54.6;73.9;82.7
01183;Guéreins;77.5;22.5;2.8;15.8;4.4;16.9;24.3;35.8;42.7;96.1;56.6;78.4;82.1
01184;Hautecourt-Romanèche;60.6;39.4;0;20.3;4.9;41.3;9.8;23.8;35.5;94.3;48.8;74;80
01185;Plateau d'Hauteville;88.8;11.2;2.3;7.2;5.5;43.1;24.9;17.1;46.6;88.6;56.6;68.8;75.2
01187;Haut Valromey;71.1;28.9;6.7;11.9;3.5;21.9;18.4;37.6;38.3;95.6;56.7;79.1;76.4
01188;Illiat;55.8;44.2;31.7;0;10.5;20.5;10.5;26.9;59.2;94.8;49.3;77;85.8
01189;Injoux-Génissiat;89.5;10.5;0;8.9;2;11.9;50;27.3;60;92.8;51.9;75.1;84.6
01190;Innimond;46.4;53.6;80;0;0;20;0;0;20;100;55.6;76;75
01191;Izenave;60.9;39.1;100;0;0;0;0;0;73.7;98.4;55.6;82.2;89.1
01192;Izernore;92.8;7.2;0.6;7.9;10.8;10.5;19.4;50.7;51.4;94.2;58.1;78.7;83
01193;Izieu;81.4;18.6;0;0;0;66.2;0;33.8;43.5;92.3;40.8;59.2;77
01194;Jassans-Riottier;84.9;15.1;0;9.2;12.9;33.6;26.3;17.9;46.6;94;49.4;73;79.2
01195;Jasseron;82;18;2.8;14.7;5.4;42.1;9.2;25.8;36.4;98;59.5;79.3;82.3
01196;Jayat;80.1;19.9;2.1;16.7;4.6;41;18.8;16.9;37.3;95.6;52;79;78.8
01197;Journans;57.1;42.9;21.3;42.7;0;0;0;36;50;96.9;60.3;81.4;80.5
01198;Joyeux;63;37;0;0;0;49.2;25.3;25.5;43.8;97.3;66.7;82.4;81.3
01199;Jujurieux;82.6;17.4;3.1;7.1;10.6;23.9;30.9;24.4;54;93.6;65.8;80;82.2
01200;Labalme;55.8;44.2;0;60.8;0;14.8;9.3;15.2;60.9;95.6;47.4;77;87.3
01202;Lagnieu;86.4;13.6;0.2;6.5;12.8;27.9;23.4;29.2;51.7;91.9;51.1;72.4;81.1
01203;Laiz;88.4;11.6;1.3;8.8;5;21.6;19;44.3;53;95.2;51.4;78.2;78.5
01204;Le Poizat-Lalleyriat;57.2;42.8;6.5;26;6.6;19.5;19.5;21.9;52.1;95;57.7;79.3;84.1
01206;Lantenay;72;28;0;0;0;0;100;0;37.9;98.2;55.9;84;77.2
01207;Lapeyrouse;75.3;24.7;8.4;33.4;0;0;25.1;33.2;43.3;97.2;55;78.2;84.7
01208;Lavours;66.9;33.1;0;0;0;100;0;0;33.3;95.5;35.3;66.7;81.1
01209;Léaz;70.7;29.3;28.2;0;0;41.4;30.4;0;42.9;92.6;57.9;77.5;88.7
01210;Lélex;64.3;35.7;0;12.1;4.6;25.2;30.1;28;42.9;96.9;62.9;79.2;84.4
01211;Lent;70;30;2.1;4.2;16.1;10.7;34.2;32.7;48.9;94.3;58.4;79.2;82
01212;Lescheroux;51.8;48.2;18.2;36.2;0;13.7;13.7;18.3;63.1;95.3;46.6;76.4;83.2
01213;Leyment;85.9;14.1;5.4;7.2;13.2;19.5;15.4;39.2;50.3;96.3;57.5;76.3;83.6
01214;Leyssard;38.5;61.5;100;0;0;0;0;0;37.5;96.9;61.5;85.7;74.1
01215;Surjoux-Lhopital;89.9;10.1;0;0;0;59.3;0;40.7;38.2;84.4;45.1;55.9;81
01216;Lhuis;77.3;22.7;13.6;7;2.3;40.9;11.4;24.9;49.1;93.8;49.7;70.9;79.2
01219;Lompnas;32;68;33.4;50.1;0;16.4;0;0;52.9;90.8;60.9;77.6;78.6
01224;Loyettes;85.3;14.7;1.8;7.2;11.2;16.6;22.8;40.4;43.5;94.8;51;74.8;83.9
