Inscrits,% Abs/Ins,LE PEN,MACRON,Code Insee
706,25.35,35.48,64.52,01205
221,15.38,44.97,55.03,01206
248,14.11,59.32,40.68,01207
118,11.02,43.48,56.52,01208
428,17.76,41.23,58.77,01209
184,17.39,26.43,73.57,01210
1019,19.82,39.81,60.19,01211
548,19.34,58.7,41.3,01212
920,18.48,53.03,46.97,01213
125,26.4,42.11,57.89,01214
47,21.28,56.67,43.33,01215
609,22.33,44.52,55.48,01216
80,26.25,62.0,38.0,01218
131,25.19,49.43,50.57,01219
119,15.97,39.29,60.71,01221
1933,24.31,49.4,50.6,01224
339,21.53,41.13,58.87,01225
357,15.13,48.92,51.08,01227
472,20.34,49.25,50.75,01228
828,16.3,40.3,59.7,01229
233,24.03,51.25,48.75,01230
1501,18.59,39.74,60.26,01231
1687,18.85,42.29,57.71,01232
108,20.37,37.5,62.5,01233
156,17.95,48.7,51.3,01234
672,19.79,50.62,49.38,01235
731,20.52,41.28,58.72,01236
1093,23.7,45.34,54.66,01237
1927,17.02,37.34,62.66,01238
494,19.84,38.37,61.63,01239
494,19.84,54.44,45.56,01240
973,16.44,31.95,68.05,01241
101,13.86,23.19,76.81,01242
902,17.74,38.89,61.11,01243
5057,21.97,35.71,64.29,01244
717,18.41,39.57,60.43,01245
1499,26.55,43.67,56.33,01246
250,20.4,37.36,62.64,01247
1736,20.56,38.89,61.11,01248
6784,24.84,33.76,66.24,01249
1278,17.53,34.31,65.69,01250
589,18.85,43.57,56.43,01252
1602,18.54,33.62,66.38,01254
393,25.7,40.32,59.68,01255
302,24.17,47.15,52.85,01257
919,20.57,53.09,46.91,01258
449,16.26,46.11,53.89,01259
199,21.61,42.96,57.04,01260
496,17.54,40.82,59.18,01261
4358,26.8,35.22,64.78,01262
2832,21.15,40.29,59.71,01263
696,13.79,49.9,50.1,01264
2048,29.1,39.49,60.51,01265
1835,22.62,40.0,60.0,01266
716,17.88,44.44,55.56,01267
208,23.56,51.82,48.18,01268
1703,30.01,37.24,62.76,01269
1031,20.56,48.41,51.59,01272
1233,21.09,47.38,52.62,01273
343,23.91,50.84,49.16,01274
1859,21.09,32.91,67.09,01275
1193,19.7,46.23,53.77,01276
115,32.17,43.94,56.06,01277
86,22.09,52.73,47.27,01279
123,23.58,40.0,60.0,01280
1800,22.0,16.36,83.64,01281
174,21.26,36.54,63.46,01282
11309,33.47,35.16,64.84,01283
