Inscrits,% Abs/Ins,LE PEN,MACRON,Code Insee
154,24.68,26.47,73.53,12029
338,21.89,36.56,63.44,12030
256,11.72,16.15,83.85,12031
444,16.22,28.83,71.17,12032
2152,17.15,28.1,71.9,12033
261,15.71,23.28,76.72,12034
161,18.63,27.19,72.81,12035
561,20.32,33.33,66.67,12036
486,16.05,26.47,73.53,12037
152,17.76,28.18,71.82,12038
297,21.55,30.24,69.76,12039
243,18.52,26.29,73.71,12041
193,16.58,21.13,78.87,12042
1590,13.21,25.48,74.52,12043
820,17.68,25.66,74.34,12044
336,14.88,27.47,72.53,12045
518,22.01,23.81,76.19,12046
363,16.8,38.55,61.45,12047
339,21.83,38.16,61.84,12048
386,19.43,30.63,69.37,12049
395,19.24,39.79,60.21,12050
303,24.75,33.01,66.99,12051
3383,23.47,25.48,74.52,12052
238,13.45,37.13,62.87,12053
307,18.57,20.78,79.22,12054
81,17.28,32.76,67.24,12055
2240,17.77,24.8,75.2,12056
813,16.36,28.13,71.88,12057
127,21.26,20.24,79.76,12058
477,20.75,27.22,72.78,12059
112,20.54,10.13,89.87,12060
474,12.45,33.6,66.4,12061
281,11.39,30.7,69.3,12062
828,22.95,53.85,46.15,12063
239,23.43,38.78,61.22,12064
446,19.06,24.52,75.48,12065
835,17.72,20.1,79.9,12066
89,28.09,28.57,71.43,12067
801,17.35,26.12,73.88,12068
257,22.18,23.43,76.57,12069
465,15.48,26.06,73.94,12070
339,21.24,25.91,74.09,12071
231,20.35,28.21,71.79,12072
472,14.83,35.13,64.87,12073
278,26.26,26.67,73.33,12074
94,13.83,21.54,78.46,12075
1487,16.34,23.17,76.83,12076
402,16.67,29.47,70.53,12077
166,31.93,33.7,66.3,12078
433,18.48,30.36,69.64,12079
370,21.62,21.77,78.23,12080
210,25.24,35.29,64.71,12082
1291,29.74,34.06,65.94,12083
1281,18.27,32.92,67.08,12084
241,15.77,30.99,69.01,12085
299,21.07,37.0,63.0,12086
202,21.78,39.26,60.74,12088
4080,29.93,29.71,70.29,12089
2267,13.59,21.81,78.19,12090
375,12.0,30.11,69.89,12091
456,11.4,34.25,65.75,12092
141,11.35,43.81,56.19,12093
868,19.7,30.16,69.84,12094
183,12.57,26.36,73.64,12095
3460,21.76,28.27,71.73,12096
221,21.27,23.23,76.77,12097
497,21.33,30.03,69.97,12098
258,18.22,33.33,66.67,12099
1988,23.64,27.22,72.78,12100
778,15.94,20.77,79.23,12101
1883,16.36,25.4,74.6,12102
283,20.49,24.02,75.98,12103
341,16.13,33.91,66.09,12104
902,18.51,27.66,72.34,12105
446,17.04,22.67,77.33,12106
280,17.14,32.12,67.88,12107
314,17.83,32.58,67.42,12108
97,19.59,17.81,82.19,12109
316,18.35,27.73,72.27,12110
429,17.02,26.76,73.24,12111
341,17.89,24.37,75.63,12113
242,15.7,48.0,52.0,12115
218,10.55,37.11,62.89,12116
436,21.33,34.01,65.99,12118
929,16.25,26.19,73.81,12119
1553,15.9,31.47,68.53,12120
581,16.01,28.28,71.72,12121
120,9.17,33.71,66.29,12122
304,19.41,27.49,72.51,12124
293,25.6,30.57,69.43,12125
677,18.76,36.8,63.2,12127
213,25.35,23.19,76.81,12128
391,14.58,40.43,59.57,12129
884,21.61,23.08,76.92,12130
1255,15.78,24.41,75.59,12131
4373,14.22,24.93,75.07,12133
280,19.64,28.65,71.35,12134
346,16.76,27.72,72.28,12135
809,18.42,32.56,67.44,12136
585,15.73,29.37,70.63,12137
1293,19.33,20.57,79.43,12138
129,22.48,37.18,62.82,12139
784,13.9,26.09,73.91,12140
221,25.79,19.08,80.92,12141
509,18.86,17.68,82.32,12142
96,21.88,24.62,75.38,12143
134,18.66,29.35,70.65,12144
16666,25.35,28.9,71.1,12145
1743,17.9,22.99,77.01,12146
155,28.39,40.78,59.22,12147
1038,16.57,20.76,79.24,12148
133,16.54,33.33,66.67,12149
466,21.89,26.14,73.86,12150
212,13.21,34.16,65.84,12151
125,15.2,37.8,62.2,12152
383,16.71,27.78,72.22,12153
559,20.93,24.79,75.21,12154
278,20.86,29.79,70.21,12155
484,18.18,42.78,57.22,12156
1285,17.67,25.83,74.17,12157
225,16.89,21.43,78.57,12158
520,19.62,30.09,69.91,12159
295,18.98,26.02,73.98,12160
451,17.07,23.56,76.44,12161
952,21.01,25.0,75.0,12162
188,29.79,32.5,67.5,12163
511,21.92,26.01,73.99,12164
295,17.97,32.67,67.33,12165
106,19.81,55.13,44.87,12166
656,21.49,19.27,80.73,12167
819,18.68,31.67,68.33,12168
1593,16.13,26.38,73.62,12169
307,17.92,17.76,82.24,12170
450,18.44,26.85,73.15,12171
477,20.75,30.86,69.14,12172
2430,15.51,21.7,78.3,12174
121,19.83,22.73,77.27,12175
7785,21.52,21.79,78.21,12176
804,21.14,32.07,67.93,12177
296,14.86,31.31,68.69,12178
97,27.84,40.74,59.26,12179
113,15.93,27.94,72.06,12180
223,20.63,17.83,82.17,12181
221,16.29,34.39,65.61,12182
229,22.27,27.59,72.41,12183
138,14.49,34.31,65.69,12184
1216,14.56,32.35,67.65,12185
194,24.74,31.97,68.03,12186
297,20.54,25.62,74.38,12187
286,16.78,33.18,66.82,12188
304,22.04,27.55,72.45,12189
276,22.1,38.22,61.78,12190
289,16.61,27.78,72.22,12191
209,24.88,12.78,87.22,12192
250,24.4,27.92,72.08,12193
721,16.23,23.56,76.44,12194
242,17.77,25.43,74.57,12195
1672,19.92,27.65,72.35,12197
1597,18.16,25.09,74.91,12198
1444,14.34,24.07,75.93,12199
806,19.11,32.72,67.28,12200
855,19.06,19.22,80.78,12201
14945,23.79,19.65,80.35,12202
531,21.66,39.38,60.62,12203
197,18.78,31.3,68.7,12204
640,18.44,23.73,76.27,12205
480,11.04,25.07,74.93,12206
308,17.21,28.11,71.89,12207
5649,19.63,27.77,72.23,12208
614,25.24,29.9,70.1,12209
350,18.0,21.16,78.84,12210
161,14.91,22.52,77.48,12211
105,27.62,23.33,76.67,12212
480,19.79,33.02,66.98,12213
413,22.28,34.43,65.57,12214
901,16.65,22.45,77.55,12215
1083,16.25,25.91,74.09,12216
584,17.12,28.5,71.5,12217
329,16.72,50.0,50.0,12219
290,13.45,26.89,73.11,12220
344,18.31,24.3,75.7,12221
194,20.62,26.45,73.55,12222
1409,17.67,34.86,65.14,12223
1721,22.55,30.86,69.14,12224
1280,21.02,33.53,66.47,12225
400,21.5,35.55,64.45,12226
152,17.11,27.36,72.64,12227
293,22.53,30.51,69.49,12228
193,12.95,28.67,71.33,12229
343,12.83,33.2,66.8,12230
618,18.12,47.78,52.22,12231
268,21.64,37.64,62.36,12232
242,17.77,33.89,66.11,12233
430,13.49,27.64,72.36,12234
212,23.58,20.53,79.47,12235
163,9.2,36.29,63.71,12236
508,22.83,28.22,71.78,12237
299,12.71,30.33,69.67,12238
216,13.43,37.42,62.58,12239
339,21.53,24.24,75.76,12240
1469,14.98,20.75,79.25,12241
275,18.18,31.52,68.48,12242
690,20.72,34.07,65.93,12243
587,15.67,34.87,65.13,12244
457,17.72,29.62,70.38,12246
292,13.7,31.02,68.98,12247
385,19.48,30.18,69.82,12248
210,22.86,16.06,83.94,12249
210,19.05,40.74,59.26,12250
296,18.92,35.18,64.82,12251
389,19.02,24.44,75.56,12252
887,14.43,28.92,71.08,12253
1832,19.32,23.35,76.65,12254
598,16.89,31.37,68.63,12255
322,18.63,35.04,64.96,12256
573,19.72,18.25,81.75,12257
848,19.22,26.05,73.95,12258
548,16.24,32.0,68.0,12259
153,15.03,26.32,73.68,12260
124,13.71,17.44,82.56,12261
646,21.21,21.65,78.35,12262
554,19.31,23.66,76.34,12263
2560,18.16,20.15,79.85,12264
368,18.75,35.18,64.82,12265
461,17.79,25.73,74.27,12266
598,18.06,32.8,67.2,12267
400,19.5,23.38,76.62,12268
132,18.18,37.63,62.37,12269
3327,18.46,31.18,68.82,12270
398,20.6,28.08,71.92,12272
230,13.04,42.44,57.56,12273
123,16.26,16.47,83.53,12274
57,21.05,32.5,67.5,12275
338,25.15,30.47,69.53,12276
432,15.74,33.33,66.67,12277
171,23.39,43.93,56.07,12278
362,18.23,24.11,75.89,12280
616,18.02,30.99,69.01,12281
323,16.41,35.24,64.76,12282
443,14.67,31.33,68.67,12283
305,20.0,24.41,75.59,12284
938,13.11,28.66,71.34,12286
502,18.53,37.61,62.39,12287
1257,17.74,22.83,77.17,12288
189,8.99,22.52,77.48,12289
389,19.28,35.06,64.94,12290
322,21.74,34.22,65.78,12291
389,20.82,32.81,67.19,12292
143,16.08,26.13,73.87,12293
539,14.47,32.12,67.88,12294
86,12.79,26.42,73.58,12295
417,22.06,28.99,71.01,12296
460,19.57,35.38,64.62,12297
337,18.1,22.04,77.96,12298
639,15.49,33.41,66.59,12299
9012,27.47,24.86,75.14,12300
1668,21.22,26.27,73.73,12301
236,16.53,31.61,68.39,12303
1006,21.17,29.27,70.73,12305
295,16.95,22.57,77.43,12307
91963,25.63,26.41,73.59,13001
17309,21.43,50.0,50.0,13002
2021,19.45,44.41,55.59,13003
37205,25.45,43.77,56.23,13004
32697,26.01,45.78,54.22,13005
1254,20.65,55.58,44.42,13006
9212,21.15,52.24,47.76,13007
484,14.26,32.37,67.63,13008
691,16.5,48.69,51.31,13009
3219,20.41,52.25,47.75,13010
361,25.21,30.77,69.23,13011
472,15.25,24.04,75.96,13012
1417,18.35,41.62,58.38,13013
9362,25.87,50.68,49.32,13014
12131,20.99,36.76,63.24,13015
4578,20.36,49.71,50.29,13016
1298,19.26,57.13,42.87,13017
3284,23.42,53.56,46.44,13018
8158,21.84,35.7,64.3,13019
1890,21.11,46.24,53.76,13020
5680,22.46,43.71,56.29,13021
6697,26.12,37.11,62.89,13022
3834,21.96,45.05,54.95,13023
1975,22.23,43.12,56.88,13024
1784,20.8,29.6,70.4,13025
11152,23.67,59.68,40.32,13026
10765,20.2,51.18,48.82,13027
29113,25.54,44.71,55.29,13028
1175,22.64,45.19,54.81,13029
3904,22.54,57.77,42.23,13030
2634,20.62,52.44,47.56,13031
6775,22.7,31.0,69.0,13032
4574,21.58,48.76,51.24,13033
1577,18.45,41.49,58.51,13034
5559,22.13,52.52,47.48,13035
3421,23.56,54.29,45.71,13036
6370,23.3,47.59,52.41,13037
3200,17.5,44.65,55.35,13038
13121,28.62,60.7,39.3,13039
7665,20.34,37.92,62.08,13040
16527,29.24,47.76,52.24,13041
5647,20.47,41.3,58.7,13042
7759,25.66,60.12,39.88,13043
4130,22.62,48.81,51.19,13044
3888,27.08,55.64,44.36,13045
3302,20.02,44.39,55.61,13046
30016,21.67,50.52,49.48,13047
3887,24.83,44.48,55.52,13048
1624,16.26,51.31,48.69,13049
7202,20.31,38.56,61.44,13050
7213,22.46,54.26,45.74,13051
1901,18.94,55.83,44.17,13052
5117,25.44,53.21,46.79,13053
22248,26.74,60.26,39.74,13054
500107,30.67,35.58,64.42,13055
35070,25.57,47.79,52.21,13056
409,18.83,46.55,53.45,13057
1791,18.93,40.22,59.78,13058
2901,23.1,40.72,59.28,13059
4566,22.25,50.49,49.51,13060
189,16.4,50.36,49.64,13061
3902,22.53,44.42,55.58,13062
16509,28.32,54.27,45.73,13063
2119,21.8,55.93,44.07,13064
2823,22.39,51.86,48.14,13065
4444,21.8,51.58,48.42,13066
2130,26.29,52.63,47.37,13067
1549,20.27,41.44,58.56,13068
8783,22.55,41.16,58.84,13069
4990,28.0,49.11,50.89,13070
17850,25.97,56.29,43.71,13071
2608,17.68,37.34,62.66,13072
4880,24.55,53.7,46.3,13073
3795,25.27,41.94,58.06,13074
9398,25.32,51.8,48.2,13075
2443,21.53,57.69,42.31,13076
12024,33.21,50.19,49.81,13077
6322,31.81,59.18,40.82,13078
1172,14.25,39.48,60.52,13079
4466,23.29,40.43,59.57,13080
9891,24.77,57.45,42.55,13081
3967,21.12,34.86,65.14,13082
3230,18.64,50.63,49.37,13083
3571,20.41,36.93,63.07,13084
4466,23.22,44.43,55.57,13085
7052,20.75,44.78,55.22,13086
3662,17.37,35.13,64.87,13087
4236,22.57,55.35,44.65,13088
2633,24.27,56.62,43.38,13089
115,22.61,20.69,79.31,13090
4956,23.49,38.74,61.26,13091
6140,22.85,51.96,48.04,13092
241,15.77,35.59,64.41,13093
1891,19.83,47.04,52.96,13094
1010,18.22,17.8,82.2,13095
2584,20.98,57.3,42.7,13096
9935,20.98,49.76,50.24,13097
4822,23.58,49.26,50.74,13098
694,18.88,59.13,40.87,13099
8625,23.72,44.05,55.95,13100
2541,21.17,46.21,53.79,13101
5226,27.61,64.06,35.94,13102
31205,26.78,44.56,55.44,13103
7121,22.95,47.2,52.8,13104
5061,20.51,56.92,43.08,13105
8625,26.88,51.62,48.38,13106
4682,21.0,42.15,57.85,13107
9693,28.15,55.51,44.49,13108
1917,21.86,25.09,74.91,13109
8274,21.61,47.43,52.57,13110
749,20.43,28.9,71.1,13111
7056,18.57,43.26,56.74,13112
7250,19.67,31.18,68.82,13113
4601,20.52,31.63,68.37,13114
1405,22.49,45.99,54.01,13115
601,17.47,50.24,49.76,13116
24156,25.76,48.85,51.15,13117
2881,16.24,39.58,60.42,13118
5610,27.52,51.81,48.19,13119
928,16.7,39.59,60.41,14001
134,14.18,32.67,67.33,14002
224,13.84,26.9,73.1,14003
1325,17.28,39.04,60.96,14005
722,16.2,24.95,75.05,14006
163,12.88,54.62,45.38,14007
1072,16.23,30.82,69.18,14009
1458,19.0,43.25,56.75,14011
124,20.16,57.65,42.35,14012
21,4.76,15.79,84.21,14013
952,15.02,15.75,84.25,14014
605,13.88,16.51,83.49,14015
367,20.16,42.75,57.25,14016
203,13.79,35.17,64.83,14019
2757,22.23,39.4,60.6,14020
500,23.4,29.45,70.55,14021
554,18.41,41.87,58.13,14022
49,22.45,44.74,55.26,14023
393,14.5,42.66,57.34,14024
250,16.4,42.13,57.87,14025
840,20.24,40.96,59.04,14026
3179,23.56,45.16,54.84,14027
1256,15.05,15.14,84.86,14030
264,20.83,42.31,57.69,14032
180,15.0,42.06,57.94,14033
394,16.24,28.37,71.63,14034
945,23.07,44.67,55.33,14035
124,22.58,32.61,67.39,14036
448,24.33,37.95,62.05,14037
544,19.67,27.84,72.16,14038
579,21.93,37.85,62.15,14039
155,12.26,37.4,62.6,14040
111,13.51,36.9,63.1,14041
722,15.65,22.62,77.38,14042
76,22.37,39.22,60.78,14043
851,22.21,26.62,73.38,14044
232,27.59,41.56,58.44,14045
1366,18.52,39.06,60.94,14046
10052,26.47,29.25,70.75,14047
120,7.5,29.21,70.79,14049
129,34.88,44.16,55.84,14050
123,24.39,49.4,50.6,14053
150,15.33,48.21,51.79,14054
375,16.8,34.34,65.66,14055
1077,19.96,39.25,60.75,14057
425,20.71,27.54,72.46,14059
1544,14.38,19.32,80.68,14060
6391,20.45,41.57,58.43,14061
311,15.76,29.18,70.82,14062
156,24.36,60.75,39.25,14063
176,19.32,54.7,45.3,14064
1868,20.93,33.66,66.34,14066
2414,15.33,17.03,82.97,14068
999,21.02,41.25,58.75,14069
176,21.02,35.29,64.71,14070
4248,22.13,30.01,69.99,14076
549,20.4,31.55,68.45,14077
279,15.77,43.27,56.73,14078
1320,20.3,31.83,68.17,14079
95,26.32,26.98,73.02,14080
136,21.32,56.99,43.01,14082
513,14.42,44.62,55.38,14083
304,20.72,45.0,55.0,14084
637,19.62,41.06,58.94,14085
271,21.77,34.22,65.78,14086
100,15.0,36.49,63.51,14087
290,14.83,43.81,56.19,14088
264,11.74,29.76,70.24,14089
448,15.63,33.33,66.67,14090
160,25.63,35.51,64.49,14091
1218,21.43,31.48,68.52,14092
168,16.67,42.15,57.85,14093
165,19.39,67.86,32.14,14096
238,19.33,38.89,61.11,14097
4291,16.57,28.79,71.21,14098
1301,18.99,34.15,65.85,14100
3110,19.16,17.16,82.84,14101
816,21.32,40.28,59.72,14102
286,14.34,47.79,52.21,14103
165,14.55,47.5,52.5,14104
567,21.52,34.34,65.66,14106
106,21.7,64.29,35.71,14107
102,19.61,56.72,43.28,14110
290,14.14,31.84,68.16,14111
93,23.66,35.94,64.06,14116
3240,23.49,37.12,62.88,14117
57617,23.87,17.91,82.09,14118
1212,22.03,37.78,62.22,14119
990,20.71,46.21,53.79,14120
209,24.88,53.79,46.21,14121
124,25.0,55.84,44.16,14122
1729,20.01,17.71,82.29,14123
473,23.47,53.09,46.91,14124
1424,15.52,17.98,82.02,14125
898,22.16,31.94,68.06,14126
339,16.22,45.31,54.69,14127
133,19.55,27.17,72.83,14130
179,16.76,51.15,48.85,14131
179,20.67,56.25,43.75,14132
150,16.0,33.04,66.96,14134
209,14.35,31.55,68.45,14135
60,25.0,45.24,54.76,14136
1764,14.91,31.57,68.43,14137
221,27.15,51.33,48.67,14138
251,21.12,53.5,46.5,14140
113,18.58,40.74,59.26,14141
1787,24.62,46.47,53.53,14143
328,15.85,39.58,60.42,14145
124,16.13,34.44,65.56,14146
120,19.17,48.81,51.19,14147
282,14.18,45.41,54.59,14149
374,20.32,38.61,61.39,14150
186,14.52,34.29,65.71,14159
148,18.92,30.48,69.52,14160
314,19.11,43.64,56.36,14161
995,22.41,40.92,59.08,14162
278,18.35,48.02,51.98,14163
140,24.29,36.17,63.83,14165
1932,19.0,24.63,75.37,14166
4661,31.17,38.21,61.79,14167
177,21.47,50.78,49.22,14168
141,19.86,33.66,66.34,14169
120,11.67,39.56,60.44,14171
360,20.56,32.13,67.87,14172
344,18.9,49.0,51.0,14173
4756,22.6,41.26,58.74,14174
180,17.78,38.4,61.6,14175
683,16.4,37.82,62.18,14177
127,10.24,49.52,50.48,14179
123,19.51,60.26,39.74,14180
3753,23.55,29.11,70.89,14181
285,26.32,50.26,49.74,14182
85,15.29,39.34,60.66,14183
169,18.93,42.61,57.39,14184
253,17.39,39.23,60.77,14185
115,17.39,48.84,51.16,14190
3556,19.57,31.48,68.52,14191
558,20.61,33.76,66.24,14193
523,19.5,56.13,43.87,14194
195,27.69,50.81,49.19,14195
191,12.04,34.06,65.94,14196
1000,18.6,19.89,80.11,14197
206,19.42,33.57,66.43,14198
1593,19.27,35.85,64.15,14200
184,21.2,34.17,65.83,14202
161,25.47,35.51,64.49,14203
169,17.16,47.29,52.71,14204
163,15.34,49.15,50.85,14205
237,14.77,38.38,61.62,14206
404,18.81,33.1,66.9,14207
410,19.76,53.55,46.45,14209
281,24.91,44.68,55.32,14211
153,18.95,38.53,61.47,14214
1585,18.55,31.03,68.97,14215
180,12.78,34.04,65.96,14216
281,25.27,41.11,58.89,14218
3531,27.95,30.32,69.68,14220
2489,18.68,33.54,66.46,14221
77,31.17,28.57,71.43,14223
57,26.32,68.42,31.58,14224
4409,29.17,42.36,57.64,14225
228,18.86,54.09,45.91,14226
192,13.02,40.43,59.57,14227
4196,21.52,24.24,75.76,14228
1416,24.72,41.6,58.4,14229
98,15.31,42.42,57.58,14230
378,26.19,48.43,51.57,14231
137,24.09,27.59,72.41,14232
293,14.33,41.7,58.3,14236
409,17.11,25.08,74.92,14237
114,12.28,38.2,61.8,14238
80,23.75,48.15,51.85,14239
392,16.84,46.43,53.57,14240
479,19.0,35.52,64.48,14241
1071,18.86,10.89,89.11,14242
986,20.89,34.05,65.95,14243
257,11.28,38.19,61.81,14244
247,21.05,41.18,58.82,14245
608,20.39,31.89,68.11,14246
187,6.42,36.13,63.87,14248
974,15.61,31.07,68.93,14249
260,18.85,30.11,69.89,14250
370,17.03,39.23,60.77,14251
168,16.67,35.2,64.8,14252
1177,12.4,19.57,80.43,14254
252,13.89,38.95,61.05,14256
1357,14.81,25.13,74.87,14257
5918,31.56,34.01,65.99,14258
196,15.31,37.16,62.84,14260
249,12.85,43.75,56.25,14261
1005,14.13,25.97,74.03,14266
172,14.53,42.22,57.78,14269
337,14.24,37.84,62.16,14270
3295,24.28,27.21,72.79,14271
83,25.3,53.45,46.55,14272
144,27.08,38.95,61.05,14273
1838,16.49,17.57,82.43,14274
371,13.48,38.23,61.77,14275
270,16.67,38.89,61.11,14276
1279,18.37,35.45,64.55,14277
820,14.15,32.13,67.87,14278
194,14.43,42.95,57.05,14280
580,18.97,38.12,61.88,14281
154,20.78,51.92,48.08,14282
157,22.93,52.38,47.62,14283
134,17.16,51.0,49.0,14284
61,24.59,42.5,57.5,14285
375,14.93,47.45,52.55,14286
1349,18.98,37.19,62.81,14287
737,11.4,18.59,81.41,14288
403,17.12,44.97,55.03,14289
581,15.49,33.33,66.67,14290
188,15.43,40.88,59.12,14291
244,19.67,47.19,52.81,14293
636,18.08,30.5,69.5,14294
333,16.52,26.2,73.8,14297
131,19.08,58.14,41.86,14298
561,21.57,43.65,56.35,14299
45,4.44,36.84,63.16,14300
3786,24.75,35.36,64.64,14301
178,11.8,30.0,70.0,14302
739,17.86,43.65,56.35,14303
722,20.22,29.94,70.06,14304
615,18.05,30.94,69.06,14305
321,23.99,28.9,71.1,14306
144,18.06,21.57,78.43,14307
161,22.36,34.51,65.49,14308
668,20.81,45.04,54.96,14309
517,18.57,45.89,54.11,14310
740,19.32,31.39,68.61,14311
1418,25.74,45.69,54.31,14312
230,20.87,27.85,72.15,14316
475,18.74,35.44,64.56,14318
740,22.7,29.14,70.86,14319
219,19.63,32.89,67.11,14320
215,18.14,27.16,72.84,14322
2683,21.02,26.02,73.98,14325
679,15.17,32.31,67.69,14326
13160,26.95,22.1,77.9,14327
927,16.72,29.26,70.74,14328
81,25.93,44.9,55.1,14329
532,22.93,35.56,64.44,14332
5578,29.51,35.9,64.1,14333
257,26.85,54.82,45.18,14334
257,17.9,31.61,68.39,14335
364,16.21,43.93,56.07,14336
232,12.5,53.76,46.24,14337
1716,22.26,29.66,70.34,14338
257,18.68,28.18,71.82,14339
7686,24.47,24.19,75.81,14341
2775,27.35,46.51,53.49,14342
56,7.14,36.96,63.04,14343
313,19.81,28.44,71.56,14344
217,21.66,49.02,50.98,14345
537,17.88,40.97,59.03,14346
765,21.44,54.9,45.1,14347
64,21.88,25.64,74.36,14348
1309,17.72,31.93,68.07,14349
657,21.0,47.69,52.31,14352
290,17.59,36.97,63.03,14353
1535,18.11,27.95,72.05,14354
922,18.11,28.33,71.67,14355
666,18.77,51.79,48.21,14357
74,17.57,35.85,64.15,14358
126,10.32,50.49,49.51,14360
136,21.32,34.83,65.17,14362
362,19.34,40.4,59.6,14364
2242,22.52,25.39,74.61,14365
13358,26.99,37.25,62.75,14366
348,21.55,59.83,40.17,14367
258,19.77,48.92,51.08,14368
216,29.63,33.33,66.67,14369
2126,23.99,48.26,51.74,14370
4892,20.52,46.27,53.73,14371
104,23.08,48.61,51.39,14374
125,20.8,50.0,50.0,14375
504,16.47,44.32,55.68,14377
222,17.57,50.62,49.38,14378
284,15.14,56.16,43.84,14379
135,19.26,30.61,69.39,14380
65,13.85,62.0,38.0,14381
2061,21.79,18.5,81.5,14383
2832,22.0,25.43,74.57,14384
121,15.7,40.21,59.79,14385
183,20.77,28.8,71.2,14389
153,16.99,37.74,62.26,14390
298,18.46,38.36,61.64,14391
260,10.77,36.89,63.11,14393
335,25.97,46.73,53.27,14394
693,13.28,18.8,81.2,14396
274,19.71,46.39,53.61,14397
469,18.76,31.64,68.36,14398
284,17.25,46.76,53.24,14399
138,10.87,41.82,58.18,14400
106,15.09,49.37,50.63,14401
85,18.82,50.79,49.21,14402
574,16.38,42.82,57.18,14403
85,16.47,55.93,44.07,14404
242,14.46,41.08,58.92,14405
835,16.05,30.5,69.5,14406
1842,15.91,17.37,82.63,14407
1526,22.02,34.28,65.72,14408
1790,21.34,33.63,66.37,14409
792,18.18,48.95,51.05,14410
199,15.08,50.32,49.68,14411
54,16.67,31.82,68.18,14412
263,26.24,48.28,51.72,14419
427,18.27,44.71,55.29,14421
143,27.27,48.72,51.28,14424
135,15.56,36.79,63.21,14425
165,15.76,28.93,71.07,14426
234,18.38,43.6,56.4,14427
146,18.49,35.51,64.49,14430
7032,22.27,49.19,50.81,14431
163,11.04,56.1,43.9,14435
427,18.27,29.06,70.94,14436
7236,23.09,31.54,68.46,14437
411,15.09,28.67,71.33,14438
90,22.22,73.44,26.56,14439
75,18.67,49.12,50.88,14445
66,13.64,44.9,55.1,14446
37,10.81,39.13,60.87,14448
336,17.86,45.76,54.24,14449
414,21.26,42.2,57.8,14452
258,19.38,44.32,55.68,14453
1186,17.88,29.04,70.96,14454
200,17.5,47.83,52.17,14455
2064,17.78,41.41,58.59,14456
88,15.91,52.31,47.69,14457
286,17.83,41.78,58.22,14458
1043,18.79,46.25,53.75,14460
297,18.52,24.42,75.58,14461
382,15.71,28.17,71.83,14465
273,20.88,38.95,61.05,14466
235,17.45,43.93,56.07,14467
291,19.59,34.69,65.31,14468
83,19.28,38.71,61.29,14469
103,16.5,53.42,46.58,14473
177,23.16,40.8,59.2,14474
1760,18.35,35.94,64.06,14475
160,18.75,51.33,48.67,14476
1437,30.55,46.64,53.36,14478
362,23.2,51.25,48.75,14480
200,15.0,41.67,58.33,14482
149,22.82,47.52,52.48,14483
186,10.75,32.68,67.32,14484
425,22.35,41.76,58.24,14486
689,19.16,36.05,63.95,14487
7996,25.63,28.62,71.38,14488
156,18.59,27.52,72.48,14491
283,22.26,40.7,59.3,14492
115,13.91,27.71,72.29,14494
429,11.19,22.97,77.03,14495
45,22.22,46.88,53.13,14496
221,10.86,50.29,49.71,14497
180,17.22,45.74,54.26,14498
412,19.66,30.15,69.85,14499
152,13.82,44.17,55.83,14500
173,12.14,48.94,51.06,14501
64,25.0,42.11,57.89,14502
617,18.48,41.89,58.11,14504
113,17.7,32.91,67.09,14505
176,22.73,55.56,44.44,14506
186,13.98,23.36,76.64,14509
47,17.02,18.75,81.25,14510
67,11.94,36.54,63.46,14511
70,11.43,55.56,44.44,14512
359,20.89,46.06,53.94,14513
3331,27.08,43.38,56.62,14514
1545,27.25,40.7,59.3,14515
1405,24.27,44.89,55.11,14516
88,17.05,31.67,68.33,14519
646,14.4,43.91,56.09,14520
308,14.29,42.86,57.14,14522
238,16.39,46.51,53.49,14524
428,22.9,40.0,60.0,14527
300,27.67,53.55,46.45,14528
193,16.58,35.92,64.08,14529
1535,20.39,27.28,72.72,14530
33,6.06,37.04,62.96,14531
84,22.62,34.48,65.52,14533
305,16.07,40.43,59.57,14534
475,16.84,31.77,68.23,14535
1626,19.07,40.5,59.5,14536
591,15.4,32.58,67.42,14538
288,19.44,20.9,79.1,14540
117,17.95,29.27,70.73,14541
489,21.27,15.16,84.84,14542
1936,17.87,24.38,75.63,14543
174,19.54,45.16,54.84,14546
113,11.5,43.18,56.82,14547
88,25.0,40.0,60.0,14550
394,16.24,39.53,60.47,14552
428,16.12,31.9,68.1,14554
348,19.25,47.11,52.89,14555
1345,19.93,31.71,68.29,14556
925,21.41,28.98,71.02,14557
765,16.08,29.21,70.79,14558
197,20.3,21.53,78.47,14559
2023,19.57,26.93,73.07,14562
323,18.89,51.8,48.2,14563
230,19.57,37.13,62.87,14565
2107,19.41,17.08,82.92,14566
208,14.9,27.63,72.37,14569
1883,20.82,52.11,47.89,14570
241,14.52,39.55,60.45,14571
618,18.28,43.96,56.04,14572
1393,23.12,39.75,60.25,14574
399,19.05,33.45,66.55,14575
437,19.68,48.52,51.48,14576
1153,23.94,39.22,60.78,14578
1001,22.88,42.71,57.29,14579
568,20.95,45.86,54.14,14582
144,22.22,53.54,46.46,14586
1735,23.29,26.55,73.45,14587
213,16.9,47.8,52.2,14588
649,18.03,52.54,47.46,14589
110,25.45,40.28,59.72,14590
561,18.89,41.73,58.27,14591
1055,18.48,25.13,74.87,14592
582,27.32,36.77,63.23,14593
184,17.93,32.23,67.77,14595
154,12.99,32.48,67.52,14598
159,20.13,35.45,64.55,14601
194,20.62,54.89,45.11,14602
376,11.44,30.38,69.62,14603
140,20.0,21.88,78.13,14604
293,12.97,42.17,57.83,14605
