Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Part des rés. principales construites avant 1946 2016;Part des rés. principales dans le total des logements 2016;Part des rés. secondaires (y compris les logements occasionnels) dans le total des logements 2016;Part des logements vacants dans le total des logements 2016;Part des appartements dans le total des logements 2016;Part des maisons dans le total des logements 2016;Part des propriétaires dans les rés. principales 2016;Part des locataires dans les rés. principales 2016;Part des locataires HLM dans les rés. principales 2016
24120;Cherveix-Cubas;52.1;60.9;33;6.1;4.4;93.1;82.8;15.9;1.7
24121;Chourgnac;59.3;61.4;29.5;9.1;0;100;81.5;18.5;0
24122;Cladech;46.5;58.1;36.5;5.4;1.4;94.6;79.1;16.3;0
24123;Clermont-de-Beauregard;56;58.3;32.8;8.8;1.2;98.8;78;14;0
24124;Clermont-d'Excideuil;44.7;63.4;21;15.6;0.5;99.5;84.2;12.3;0
24126;Colombier;33.3;86.2;6.9;6.9;3;97;71.1;25.4;0
24128;Comberanche-et-Épeluche;40.5;70.1;15.9;14;0.9;97.2;77.2;17.7;0
24129;Condat-sur-Trincou;34.4;73.2;20.6;6.2;0.7;99;77.1;20.2;0
24130;Condat-sur-Vézère;23.9;78.1;16.5;5.4;2.6;96.6;79.4;19.3;8
24131;Connezac;52.6;73.8;18.2;8.1;2;98;73.7;26.3;0
24132;Conne-de-Labarde;31.4;73.6;16.9;9.5;1.4;97.8;81.4;12.7;0
24133;La Coquille;35.2;69.6;17.1;13.3;9.9;89.8;74.1;22.4;5
24134;Corgnac-sur-l'Isle;44.9;74.3;8.6;17.1;4.5;94.9;80.6;17.4;2.3
24135;Cornille;13.1;92.6;1.6;5.8;1;99;85.4;14.3;0
24136;Coubjours;59.4;64.7;21.9;13.3;1.9;97.2;81.2;11.6;0
24137;Coulaures;48.5;70.1;14.5;15.3;2.1;97.9;80;16.1;2.1
24138;Coulounieix-Chamiers;6;88;1;11;25.2;74.5;61.9;36.7;20.1
24139;Coursac;12.7;93.2;1.9;4.9;3;96.9;82.7;15.8;3.4
24140;Cours-de-Pile;14.4;89.4;5.2;5.5;1.1;98.2;83.7;14.8;0
24141;Coutures;40;68.8;20.3;10.9;2.9;95.7;76.8;21.1;2.1
24142;Coux et Bigaroque-Mouzens;34.2;60.1;34.2;5.8;2.2;97.3;78.4;17.3;1
24143;Couze-et-Saint-Front;32.3;72.1;16.7;11.2;3.6;95.4;72.4;24.8;12.5
24144;Creyssac;50;79.4;14.3;6.3;0;100;88;8;0
24145;Creysse;16.5;85;4.2;10.8;10.3;88.9;68.9;28.7;17.6
24146;Creyssensac-et-Pissot;40.4;78.3;10.8;10.8;1.4;97.9;77.2;21.9;0
24147;Cubjac-Auvézère-Val d'Ans;41.2;69.4;18.9;11.7;1.6;97.7;83.1;13.9;0
24148;Cunèges;37.5;71.2;27.2;1.6;1;99;85.3;13.2;0
24150;Daglan;38.6;51.4;41.9;6.7;5.6;94.2;76.8;19.3;6.4
24151;Doissat;33.3;54.9;30;15;6.9;93.1;83.3;16.7;0
24152;Domme;36.7;50.3;39.5;10.2;3.3;91.8;74.1;22.1;7.3
24153;La Dornac;32.9;74.2;20.6;5.2;0.4;99.1;85.5;12.7;0
24154;Douchapt;31.6;68;24.2;7.8;1.7;96.1;84.2;13.9;0.6
24155;Douville;42.6;74.9;11.4;13.7;1.1;96.6;84.8;11.7;0
24156;La Douze;23.4;80.3;11;8.6;4;95.5;79.6;16.3;1.5
24157;Douzillac;35.9;76.8;12.7;10.5;0.6;99.1;79;19;5.3
24158;Dussac;48.2;67.2;17.9;14.9;0.7;98;83.4;14.6;0
24159;Échourgnac;40.4;72.7;15;12.3;3.9;95.3;69.9;24.7;0.5
24160;Église-Neuve-de-Vergt;21.8;89.4;3.2;7.4;1.3;98.3;82.2;15.8;0.5
24161;Église-Neuve-d'Issac;52.3;71.6;15.3;13.1;0;100;81.5;15.4;0
24162;Escoire;13.7;91.5;2.8;5.7;0;99.5;89.5;10;0
24163;Étouars;69.6;51.5;39.6;9;0;99.3;75.4;20.3;0
24164;Excideuil;43.1;72.4;7.1;20.5;21.7;78.1;57.6;40.8;9.6
24165;Eygurande-et-Gardedeuil;51.8;71.8;10.3;17.9;2.1;95.7;69.6;28;0
24167;Eymet;31.9;75.1;13.3;11.6;12.1;86;66.7;31.1;4.8
24168;Plaisance;57.8;66.7;26.9;6.5;1.3;97.7;82.5;13.6;0.5
24171;Eyzerac;25.7;81.5;11.5;7;1.3;98.7;85.9;10.8;0.4
24172;Les Eyzies;39;50.6;40.9;8.5;17.4;81.9;72.9;21.8;2.7
24174;Fanlac;49.2;54.5;31.6;13.9;0.9;99.1;85.2;11.5;0
24175;Les Farges;21;79.1;13.2;7.8;0.6;96;81.9;11.6;0
24176;Faurilles;73.7;73.2;15.3;11.5;3.9;84.6;84.2;10.5;0
24177;Faux;35.1;73.8;18.2;8;0.8;98.4;85.5;10.5;0
24179;La Feuillade;13;86.8;3.2;10.1;5.7;94;78.1;20.6;0
24180;Firbeix;50.7;66;20.5;13.5;2.3;97.2;85.2;13.4;0
24182;Le Fleix;27.1;83.1;8.6;8.3;1.6;97.8;76.9;21.3;0
24183;Fleurac;44.3;52.6;38.1;9.3;0.4;98.4;79.4;16.8;0
24184;Florimont-Gaumier;48.5;42.3;49.8;7.9;1.9;98.1;78.8;10.6;1.5
24186;Fonroque;38.9;77.8;15.2;7;1.6;98.4;75.7;20.1;0
24188;Fossemagne;35.9;71.7;19.3;9;3.1;96.6;72.3;25;1.2
24189;Fougueyrolles;36.9;81.8;6.6;11.6;0.8;98.8;82.8;12.6;0
24190;Fouleix;27.2;72.6;20.9;6.5;2.8;93.6;83.5;12.6;0
24191;Fraisse;46.8;80.1;9.2;10.7;2.1;96.9;67.5;27.3;0
24192;Gabillou;66;64.9;35.1;0;1.3;98.7;86;10;0
24193;Gageac-et-Rouillac;42.5;78.8;14;7.2;2;98;80;18;0
24194;Gardonne;23.1;88.8;3.1;8.1;7.1;92.1;68.7;29.4;5.7
24195;Gaugeac;34.6;70.8;16.9;12.4;1.4;98.6;75;15.4;1.9
24196;Génis;43.1;61.2;24.1;14.7;3;97;85.4;13;0
24197;Ginestet;15.2;81.8;12;6.2;0;99.8;88.7;9.5;1.5
24199;Gout-Rossignol;54.2;66.6;22.7;10.6;2.8;96.7;72.5;23.9;4.2
24200;Grand-Brassac;54.1;62.7;31.2;6.1;1.9;98.1;83.5;13.6;0
24202;Granges-d'Ans;72.9;55.4;31.8;12.7;0;98.7;82.4;16.5;0
24205;Grignols;50.1;74;15;11;4.2;94.5;80;18.2;2.5
24206;Grives;48;56.6;33.6;9.7;3.4;96.6;80;18;0
24207;Groléjac;29.2;59.7;31.1;9.2;3;96;75.7;21.6;2.7
24208;Grun-Bordas;47.7;70.1;16.9;12.9;9.6;90.4;68.2;25;0
24209;Hautefaye;59;66.3;21.7;12;0;98.9;83.6;14.8;0
24210;Hautefort;49.8;73.6;13.3;13;7.9;91.6;77.8;18.9;5.6
24211;Issac;68.9;65.8;25.1;9.1;2;97.6;71.4;21.9;1.5
24212;Issigeac;46.8;75;12.1;12.9;6.8;93.2;68.2;28.6;1.5
24213;Jaure;32.9;72.4;19.7;7.9;1;99;84.9;11;0
24214;Javerlhac-et-la-Chapelle-Saint-Robert;42.2;71.9;15.4;12.7;4.6;95.1;73.4;22.8;1.4
24215;Jayac;51.8;61.9;28.4;9.7;0;100;85.5;8.4;0
24216;La Jemaye-Ponteyraud;39.8;59.1;27.6;13.4;3.1;95.3;74.6;21.4;1.3
24217;Journiac;26.6;67.8;20.5;11.7;0.7;97.6;82.9;11.6;0
24218;Jumilhac-le-Grand;50.1;61.9;22.6;15.5;4.6;94.5;73.7;22.2;6
24220;Lacropte;27.1;79;11.9;9.1;4;94.3;70.5;26.2;3.6
24221;Rudeau-Ladosse;61.8;55.8;30.8;13.3;1;98;83.6;16.4;0
24222;La Force;12.7;87;4.1;8.9;6.3;93.3;71.2;26.1;3.8
24223;Lalinde;19.8;76.5;10.7;12.8;13.6;86.1;68.7;29;6.7
24224;Lamonzie-Montastruc;30.4;79.5;14.7;5.8;1.6;97.4;79.5;16.5;0
24225;Lamonzie-Saint-Martin;20.3;85.2;6.1;8.7;0.2;98.8;80;18.5;5.4
24226;Lamothe-Montravel;37.2;80.2;6.1;13.7;8.8;90.9;75.4;23.1;0
24227;Lanouaille;43.5;71.8;11.8;16.4;7.3;92.2;74;21.7;5.7
24228;Lanquais;33.9;71.7;18.5;9.9;1.9;97.1;87.1;10.3;0
24229;Le Lardin-Saint-Lazare;25.3;82.5;5.8;11.7;8.2;91.7;70.4;27.2;11.1
24230;Larzac;33.3;56.6;37.5;5.9;0;100;84.1;12.7;0
24231;Lavalade;41.9;65.4;17.3;17.3;1.5;98.5;74.4;18.6;0
24232;Lavaur;47.2;45.8;29.1;25.1;7.8;92.2;86.1;11.1;0
24234;Les Lèches;34.1;78.1;14.1;7.8;2.3;95.8;78.4;18.6;0
24236;Léguillac-de-l'Auche;21.3;88.6;4.5;7;3.1;96.6;83.3;13.9;0.8
24237;Lembras;13.4;86.2;5.9;7.9;2.7;96.8;85.5;13.7;0.2
24238;Lempzours;71.4;67.4;15.8;16.9;5.4;94.6;71.4;19;0
24240;Limeuil;46.6;51;43.8;5.2;2.8;97.2;76.6;18.6;4
24241;Limeyrat;26.3;71.9;17;11.1;0.7;99.3;76.8;21.6;8.2
24242;Liorac-sur-Louyre;47.2;73.1;14.9;12;0.6;99.4;76;20.8;0
24243;Lisle;32.9;72.2;13.4;14.4;9.2;90.3;71.4;25.6;2.1
24244;Lolme;34;63.5;25.5;10.9;6;92.8;77.4;18.9;0
24245;Loubejac;54.8;64.2;28;7.8;0;98.4;86.3;8.1;0
24246;Lunas;29.4;82.8;11.5;5.7;1.5;98.5;83.5;12.4;0.6
24247;Lusignac;56.5;55.6;38.4;6;3.3;96.7;71.8;23.5;0
24248;Lussas-et-Nontronneau;58;71.7;17.7;10.6;2;94.6;81;17.7;0
24251;Manzac-sur-Vern;45.9;78.8;13.4;7.8;1.3;98.1;83;13.8;0
24252;Marcillac-Saint-Quentin;19.4;81.3;14.1;4.6;3.2;96.6;76.2;20.9;0.3
24253;Mareuil en Périgord;48.9;66.3;19.7;14;5.2;94.3;78.3;18.8;1.9
24254;Marnac;33.7;54.3;41.7;4;3.3;96.7;79.5;16.9;0
24255;Marquay;31.1;70.5;28.8;0.7;2;96.9;77.8;18.9;0
24256;Marsac-sur-l'Isle;8.1;91;2.7;6.3;17;82.9;68.2;30.7;7.9
24257;Marsalès;22.8;76.9;16.8;6.3;0.7;99.3;80.7;16.7;0
24259;Eyraud-Crempse-Maurens;38.2;80.7;9.7;9.6;1;98.7;82.3;15.4;0.1
24260;Mauzac-et-Grand-Castang;27.8;68.8;24.8;6.4;1.6;98.1;71.4;26.2;15.1
24261;Mauzens-et-Miremont;56.5;58.9;30.7;10.4;2.5;97.5;85.2;9.1;0
24262;Mayac;44.4;70.9;20.7;8.5;1.4;95.8;82.8;14.6;0
24263;Mazeyrolles;43.2;63.4;17.3;19.3;4.7;94.5;78.4;21.6;4.7
24264;Ménesplet;23;87.4;4.9;7.6;1.6;98.1;77.2;20.7;1.7
24266;Mensignac;21.5;87;7.1;5.9;3.4;96.5;79.7;18.8;2.3
24267;Mescoules;31.8;80.8;7.9;11.4;2.7;97.3;84.1;11.4;0
24268;Meyrals;33.6;69.2;29.4;1.4;2.1;96.7;74.3;22.6;8.9
24269;Mialet;49.1;56.2;25.9;17.9;3.7;96.1;83.3;13.6;1.6
24271;Milhac-de-Nontron;52.7;62.6;18.7;18.7;4.1;95.7;84.7;13;0
24272;Minzac;40.5;76.6;13.7;9.7;0;94.4;89.5;8.4;0
24273;Molières;40.3;61.5;32.4;6.1;2;95.9;79.5;17.1;2.6
24274;Monbazillac;32.7;79.6;12.2;8.3;2.8;96.8;71.4;22;0
24276;Monestier;47.5;68.2;24.8;7;1.2;98.4;76.3;20.4;5.6
24277;Monfaucon;32.8;79.1;9.8;11.1;0.6;98;86.1;10.7;0
24278;Monmadalès;45.7;55;34.1;10.9;1.6;93.7;71.4;20;0
24279;Monmarvès;48.1;57.7;36;6.3;4.2;95.8;100;0;0
24280;Monpazier;52.2;63.9;19.2;16.9;19.7;79.8;49.8;45.8;0.8
24281;Monsac;40;66.2;27.2;6.6;1.5;97.1;81.1;13.3;0
24282;Monsaguel;51.5;64.8;32.6;2.5;0;99;80.9;17.6;0
24284;Montagnac-d'Auberoche;49.2;60.2;29.9;10;1;99;84.7;10.2;0
24285;Montagnac-la-Crempse;47.1;60;28;12;0.8;98.8;71.6;21.3;0
24286;Montagrier;37.9;71.4;25.3;3.3;5.5;93.6;79.3;17.3;3.4
24287;Montaut;52.5;75.2;18.9;5.9;1.2;98.8;88.5;8.2;0
24288;Montazeau;54.5;74;18.9;7.1;5.2;93.8;77.1;18;0
24289;Montcaret;35.1;78.7;12.2;9.1;1.5;97.2;82.8;15;0
24290;Montferrand-du-Périgord;39;55.1;40;4.9;2.1;97.9;78;17.1;1.2
24291;Montignac;32.5;64.8;22.4;12.8;12.7;87.1;63.3;34.1;7.1
24292;Montpeyroux;43.3;73.9;13.4;12.6;1.6;97.2;78.6;17.1;0
24293;Monplaisant;38.2;70.4;23.1;6.5;2.2;97.3;81.7;16.8;0
24294;Montpon-Ménestérol;23.1;80.6;3.1;16.4;11.7;87.7;63.1;34.2;4.2
24295;Montrem;24.5;84.3;3.6;12.1;5.6;93.9;78.4;19.2;1.3
24296;Mouleydier;18.2;79.9;6.9;13.2;9.7;90;71.7;26.2;4.6
24297;Moulin-Neuf;13.2;82;7.2;10.9;7;92.6;70.5;26.4;7.5
24299;Mussidan;32.1;75;4.4;20.6;22.2;77.4;53.4;44.4;8.4
24300;Nabirat;19.1;69.9;25.3;4.8;5.3;94.7;84.1;10.8;0
24301;Nadaillac;41.9;66.9;24.3;8.8;1.6;98;73.8;21.5;5.2
24302;Nailhac;54.8;61.2;31;7.8;1.3;97.8;76;19.8;0
24303;Nanteuil-Auriac-de-Bourzac;59.6;49.7;39.6;10.6;3.3;96.7;72.5;23.9;0
24304;Nantheuil;27.2;78.3;7.8;13.9;1.9;97.9;83;14.1;0
24305;Nanthiat;47.2;74.4;14.3;11.3;3.6;94.6;84.8;11.2;0
24306;Nastringues;57.4;62.6;21.4;16;3.5;95.2;75.9;20.4;0
24307;Naussannes;46.1;69.9;19.9;10.3;0;98.6;72.5;20.6;2.9
24308;Négrondes;37.4;80;9;10.9;1.3;97.8;75.9;21.9;6.4
24309;Neuvic;25.8;83.6;5.4;11;5.6;93.1;70.8;26.8;9.8
24311;Nontron;28.1;75.2;9.2;15.6;21.8;77.9;59.3;37.5;9.7
24312;Sanilhac;15.1;89.2;2.6;8.2;11.3;88.4;76.9;22.2;4.9
24313;Orliac;34.6;45.1;49.6;5.3;0;100;69.2;15.4;0
24314;Orliaguet;27.5;48.5;43.7;7.8;1.9;95.2;86.3;11.8;0
24316;Parcoul-Chenaud;47.7;66.4;22.9;10.7;0.9;97.9;76.6;19.5;0
24317;Paulin;43.8;67.1;30.5;2.4;1.2;98.8;87.5;9.8;0
24318;Paunat;41.5;60;30.1;9.9;0.9;97;76.4;13.6;0
24319;Paussac-et-Saint-Vivien;44.7;64.7;32.6;2.7;2.4;97.3;83.4;14.7;1.4
24320;Payzac;40.1;63.2;22.9;13.9;4.8;95;82.4;14.8;3.1
24321;Pazayac;17.3;82.6;7.4;10;9;91;75.2;23.6;0
24322;Périgueux;34.9;84;3.5;12.5;69.6;30;35.1;62.6;17.8
24323;Petit-Bersac;58.8;63.9;23.3;12.8;6;92.5;77.6;17.6;0
24324;Peyrignac;28.1;76.7;14.5;8.8;3.1;93.4;74.6;23.7;6.5
24325;Peyrillac-et-Millac;28.2;58.8;31.5;9.7;6.9;89.7;79.6;15.5;0
24326;Peyzac-le-Moustier;36.8;53.3;39.3;7.5;4.9;94.5;72.4;24.1;0
24327;Pezuls;66.1;49.8;43.4;6.8;0;99.2;88.1;8.5;0
24328;Piégut-Pluviers;37.8;68.2;16.2;15.6;13.6;86.4;69.3;28.8;6.3
24329;Le Pizou;26.1;75.9;8.8;15.3;8;91.2;70.5;28.3;1.5
24330;Plazac;35.1;64.2;31;4.8;4.6;92.7;69.6;25.1;3
24331;Pomport;37;77.9;13;9.1;1.7;98.1;75.3;20.4;4.3
24334;Pontours;23.7;70.5;21.2;8.3;1.5;95.5;81.7;17.2;0
24335;Port-Sainte-Foy-et-Ponchapt;21.9;83.8;5;11.2;9;90.2;69.1;28.8;6.3
24336;Prats-de-Carlux;14.1;68.8;27.6;3.6;2.6;97.1;76.9;18.4;0
24337;Prats-du-Périgord;28.8;54.9;31.8;13.3;3.8;96.2;82.2;17.8;0
24338;Pressignac-Vicq;41.1;72.3;21.5;6.2;2.4;96.2;77.5;20.1;0
24339;Preyssac-d'Excideuil;31.9;70.8;21.7;7.5;1;99;77.8;18.1;0
24340;Prigonrieux;8.2;90.3;2.1;7.5;2.2;97.7;75.3;22.9;8.6
24341;Proissans;16.4;76.7;15.6;7.7;3.4;95.3;78.8;16.4;0
24345;Queyssac;29.8;80.5;13.1;6.4;0.4;99.6;86;11.2;0
24346;Quinsac;40.6;74;15.7;10.2;1.2;98.8;80.7;18.7;0
24347;Rampieux;36.9;63.7;18.6;17.6;2.9;97.1;83.1;13.8;0
24348;Razac-d'Eymet;55.2;59.6;35.5;4.8;0.4;99.1;74.2;21.4;6.7
24349;Razac-de-Saussignac;52.7;71.2;20.8;8;1;98.6;74.8;13.9;0
24350;Razac-sur-l'Isle;17.1;89.5;3.8;6.7;2.8;96.9;80.1;17.9;2.5
24351;Ribagnac;34.4;74.1;16.8;9.1;1.1;98.9;80.9;11.5;0
24352;Ribérac;30.7;75;6.6;18.4;24.4;75.3;57.5;39.4;8.3
24353;La Rochebeaucourt-et-Argentine;50.3;58.6;22.4;19;5.7;94;72.1;25.1;0
24354;La Roche-Chalais;28.5;80.9;7.4;11.7;8.4;91.2;68.6;28.7;2
24355;La Roque-Gageac;23.4;61.9;33.6;4.4;7.9;91.5;82.8;13.4;0
24356;Rouffignac-Saint-Cernin-de-Reilhac;26.1;71.8;19.1;9.1;6.2;93.1;75;20.6;2.9
24357;Rouffignac-de-Sigoulès;39.7;84.1;5.6;10.3;6.9;93.1;73.3;23.3;4.8
24359;Sadillac;53.2;71.2;19.7;9.1;0;100;85.1;14.9;0
24360;Sagelat;34.9;60.8;25.2;14;2.2;97.3;77.4;20.5;0
24361;Saint-Agne;23.9;91.9;1.2;6.9;2;97.6;88.8;10.1;0.5
24362;Val de Louyre et Caudeau;41.6;61.1;31.4;7.4;9;89.9;76.5;19.4;1.6
24364;Coly-Saint-Amand;37.4;57.4;39.1;3.5;2.6;97;76.4;19.8;2.9
24365;Saint-Amand-de-Vergt;50.5;70.2;19.9;9.9;2;90.5;78.1;21;0
24366;Saint-André-d'Allas;28;77.3;22.1;0.6;2;97.1;78.5;19.9;0.3
24367;Saint-André-de-Double;57.8;65.3;18.8;15.9;0.7;94.2;74.4;20;1.1
24370;Saint-Antoine-de-Breuilh;28.1;85.9;5.8;8.3;2.8;95.5;77.5;20.3;2.9
24371;Saint-Aquilin;52.6;72.6;19.7;7.7;2;95.9;80.9;14.8;3.3
24372;Saint-Astier;20.3;85.2;6.8;8.1;19.5;79.1;61.5;33.2;13.4
24373;Saint-Aubin-de-Cadelech;45.6;70.7;26;3.4;1;98.1;79.6;15;0
24374;Saint-Aubin-de-Lanquais;43.8;73.3;15.5;11.2;1.5;98.5;74.7;21.2;0
24375;Saint-Aubin-de-Nabirat;40.8;52.6;34.9;12.5;1.5;98.5;77.5;18.3;0
24376;Saint Aulaye-Puymangou;34.4;75.7;13.5;10.7;10.2;89.7;70.2;26.4;5
24377;Saint-Avit-de-Vialard;36.8;74.7;23.1;2.2;1.1;98.9;75;16.2;0
24378;Saint-Avit-Rivière;53.8;50.3;26.2;23.5;0;98.7;89.7;10.3;0
24379;Saint-Avit-Sénieur;44.8;58.5;35.5;6;3.3;96.2;80.1;17.9;0
24380;Saint-Barthélemy-de-Bellegarde;52.2;72.1;16.9;11;1.2;97.9;69.3;24.2;0
24381;Saint-Barthélemy-de-Bussière;67.9;46.2;39.1;14.7;5.1;93.7;86.2;12.8;1.8
24382;Saint-Capraise-de-Lalinde;23.9;72.3;12.5;15.2;5.7;92.9;79;18.9;1.2
24383;Saint-Capraise-d'Eymet;65.2;60.5;28.3;11.1;0;100;84.8;15.2;0
24384;Saint-Cassien;53.3;45.5;51.5;3;0;100;93.3;6.7;0
24385;Saint-Cernin-de-Labarde;58.8;69.8;22.1;8.1;0.7;99.3;83.5;12.4;0
24386;Saint-Cernin-de-l'Herm;37.1;57.5;28.9;13.6;2.7;97.3;79;18.1;0
24388;Saint-Chamassy;41.4;59.7;36.5;3.9;1.5;97.8;80.6;14;0
24390;Saint-Crépin-d'Auberoche;29.1;82.8;13.5;3.7;1.2;96.9;85.8;11.9;3.7
24392;Saint-Crépin-et-Carlucet;24.2;59.1;34.3;6.6;11.5;88;74;20.3;0
24393;Sainte-Croix;51.3;48.5;30.2;21.4;1.2;98.8;87.2;7.7;0
24394;Sainte-Croix-de-Mareuil;41.9;67.4;22.8;9.8;0;100;80.6;17.7;0
24395;Saint-Cybranet;32.1;61.4;33.6;5;0.7;99.3;75.5;20.1;3.3
24396;Saint-Cyprien;43.7;67.9;22.2;9.9;23.1;76.6;60.1;36.6;9.9
24397;Saint-Cyr-les-Champagnes;53.9;56.6;27;16.4;4.4;92;81.2;13.3;0
24398;Saint-Estèphe;33;63.7;25.8;10.5;0.9;98.9;82.5;14.8;2.7
24399;Saint-Étienne-de-Puycorbier;54.9;69.8;19.3;10.9;0;100;80.4;19.6;0
24401;Sainte-Eulalie-d'Ans;43.6;63.4;25.3;11.3;1.4;98.6;80.7;15.7;2.1
24403;Saint-Félix-de-Bourdeilles;35.7;51.8;40.2;8;1.8;98.2;75;21.4;0
24404;Saint-Félix-de-Reillac-et-Mortemart;37;63.9;29.2;6.9;2.8;95.1;73.9;18.5;0
24405;Saint-Félix-de-Villadeix;41.2;47.5;47.1;5.4;1;98.6;81.6;14.7;0
24406;Sainte-Foy-de-Belvès;48.6;54.2;44.4;1.4;5.7;92.8;73;18.9;0
24407;Sainte-Foy-de-Longas;53.3;63;31.7;5.4;2.1;97.4;84.2;13.3;0
24408;Saint-Front-d'Alemps;58.1;77.8;11.7;10.4;2.6;97.4;84.2;15;0
24409;Saint-Front-de-Pradoux;18.6;84.2;8.2;7.6;0.8;99;78;20;2.6
24410;Saint-Front-la-Rivière;50.6;71.9;19.5;8.6;1.1;98.6;82.2;14.7;1.9
24411;Saint-Front-sur-Nizonne;40.3;78.1;13.1;8.8;0;98.8;82.1;11.9;0
24412;Saint-Geniès;29.2;54.4;35.3;10.3;9.4;90.2;77.9;18;0
24413;Saint-Georges-Blancaneix;30.1;81.6;12.5;5.8;0.8;98.4;90.3;7.8;0
24414;Saint-Georges-de-Montclard;55.6;70.8;22.9;6.3;2.8;96;68.5;23.5;3.2
24415;Saint-Géraud-de-Corps;34.7;81.2;13.7;5.1;0;100;83.2;16.8;0
24416;Saint-Germain-de-Belvès;40.7;51.2;46.9;1.9;1.3;98.7;79;17.3;0
24417;Saint-Germain-des-Prés;46.4;70.3;19.8;9.9;0.3;99.4;84;13.9;2.1
24418;Saint-Germain-du-Salembre;30.6;81.3;9.8;8.9;2.7;97.1;83.1;15.7;5.5
24419;Saint-Germain-et-Mons;22.4;85.2;7.5;7.3;0.8;99;83.6;13.6;0
24420;Saint-Géry;37;83.1;2.4;14.5;0.8;95.8;69;25;0
24421;Saint-Geyrac;54.2;56.5;33.5;9.9;0.6;98.8;77.1;15.6;0
24422;Saint-Hilaire-d'Estissac;36.8;72;26.8;1.2;2.5;97.5;82.5;14;0
24423;Saint-Julien-Innocence-Eulalie;53.2;72;20.1;7.9;1.1;98.9;86.6;8.1;0
24424;Saint-Jean-d'Ataux;45.6;79.4;15.1;5.5;1.2;97.5;91.2;2.9;0
24425;Saint-Jean-de-Côle;54.7;64.6;25.4;10;3.9;94.6;74.6;24.3;1.1
24426;Saint-Jean-d'Estissac;52;69.6;27.6;2.8;0.9;97.2;88;9.3;0
24428;Saint-Jory-de-Chalais;37.1;70.2;22.2;7.7;2.3;96.7;77.5;20.4;6.9
24429;Saint-Jory-las-Bloux;59.8;63.4;22.2;14.4;1.6;95.6;68.4;23.1;0
24432;Saint-Julien-de-Lampon;26.6;61.8;25.4;12.8;3.7;96.3;71.1;24;5.6
24434;Saint-Just;66.7;60.6;25.2;14.2;1.1;97.1;83.3;15.2;0
24436;Saint-Laurent-des-Hommes;21.9;81.7;11.3;7.1;0.9;98.6;80.7;16.5;0
24437;Saint-Laurent-des-Vignes;22.5;89.1;2.4;8.5;1.4;98.3;84.8;13.3;0.3
24438;Saint-Laurent-la-Vallée;51.8;56;38.6;5.4;3.4;95.1;87.3;9.1;0
24441;Saint-Léon-d'Issigeac;49.2;69.7;25.6;4.7;2.3;96.5;87.7;7.7;0
24442;Saint-Léon-sur-l'Isle;13.1;86.5;9.1;4.5;11.1;88.3;74.1;24.5;12.5
24443;Saint-Léon-sur-Vézère;28.6;50.4;40.9;8.7;7.1;90.1;64.3;26.3;2.3
24444;Saint-Louis-en-l'Isle;33.1;80;8.8;11.3;5;94.3;77.2;19.7;3.9
24445;Saint-Marcel-du-Périgord;48.3;55.2;44.8;0;0;100;86.7;11.7;0
24446;Saint-Marcory;52.2;64;36;0;0;97.2;82.6;13;0
24448;Saint-Martial-d'Albarède;40.9;77;12.7;10.3;2.4;97.2;82;13.4;0.4
24449;Saint-Martial-d'Artenset;26.7;81;9.3;9.7;2.3;96.3;75.4;21.7;0
24450;Saint-Martial-de-Nabirat;31.8;69.5;21;9.6;3.3;96.2;82.7;15.2;1.4
24451;Saint-Martial-de-Valette;40.5;81.6;8.6;9.8;3.4;94.9;77.2;20.2;0
24452;Saint-Martial-Viveyrol;54.5;54.9;35.2;9.9;0.5;98.9;76.2;22.8;5.9
24453;Saint-Martin-de-Fressengeas;49.1;65.6;20.5;13.9;1.9;98.1;82.2;12.4;1.8
24454;Saint-Martin-de-Gurson;46;79.8;14.6;5.6;6.7;92.7;77.2;20.7;1.4
24455;Saint-Martin-de-Ribérac;35.3;73.7;21.6;4.7;0.5;98.2;76;18.6;0.3
24456;Saint-Martin-des-Combes;49.4;70.6;24.6;4.8;3.2;93.7;84.3;11.2;0
24457;Saint-Martin-l'Astier;40.6;79.8;16.4;3.8;1.2;97.5;78.1;21.9;0
24458;Saint-Martin-le-Pin;38.5;67.2;23.2;9.6;2.6;96.9;82.3;14.6;0
24459;Saint-Maime-de-Péreyrol;48;76.8;13.7;9.5;4.2;95.2;89.9;7;0
24460;Saint-Méard-de-Drône;40.2;70.1;20.5;9.4;1.3;98;71.3;23.9;5.3
24461;Saint-Méard-de-Gurçon;44.7;78.9;12.6;8.5;2.8;97;75.2;19.1;3.5
24462;Saint-Médard-de-Mussidan;23;86.2;5.3;8.5;3.6;96.1;77.8;19.6;4.5
24463;Saint-Médard-d'Excideuil;36.5;70;24.9;5.1;1.3;96.5;83.1;15;0
24464;Saint-Mesmin;54.1;51.9;40.3;7.8;0.7;97.5;85.8;9.5;0
24465;Saint-Michel-de-Double;54.4;70.2;23.6;6.2;1.9;98.1;77.5;18.9;0
24466;Saint-Michel-de-Montaigne;50.8;78;13.9;8;2.1;97.9;80.1;16.4;0
24468;Saint-Michel-de-Villadeix;36.6;82.1;11.2;6.7;1.8;97.6;83.6;12.7;0
