Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb créations d'entreprises 2018;Nb entreprises 2018;Part étab. sans salarié dans les étab. actifs au 31/12 2015;Part étab. de 1 à 9 salariés dans les étab. actifs au 31/12 2015;Part étab. de 10 salariés ou plus dans les étab. actifs au 31/12 2015;Part postes de l'agriculture, sylviculture, pêche dans les étab. actifs au 31/12 2015;Part postes de l'industrie dans les étab. actifs au 31/12 2015;Part postes de la construction dans les étab. actifs au 31/12 2015;Part postes du commerce, transport et services marchands dans les étab. actifs au 31/12 2015;Part postes de l'admin. publique, enseignement, santé et action sociale dans les étab. actifs au 31/12 2015
01239;Massignieu-de-Rives;4;39;90.9;7.3;1.8;4;0;0;60;36
01240;Matafelon-Granges;5;34;78.7;21.3;0;0;0;11.5;50;38.5
01241;Meillonnas;7;92;83.7;13.5;2.9;1.4;6.1;5.4;17.6;69.6
01242;Mérignat;0;7;64.3;35.7;0;47.1;0;0;41.2;11.8
01243;Messimy-sur-Saône;6;95;82.1;17.9;0;8.6;6.9;22.4;36.2;25.9
01244;Meximieux;68;513;66.3;27.2;6.5;0.3;9.9;4.7;47.4;37.7
01245;Bohas-Meyriat-Rignat;8;47;84;14.7;1.3;11.1;5.6;0;63.9;19.4
01246;Mézériat;15;133;75.8;21;3.2;2.6;27.5;15.5;37.8;16.6
01247;Mijoux;4;59;70.1;26;3.9;0;6.2;1;81.4;11.3
01248;Mionnay;15;144;73.2;23;3.8;3.1;8.4;15;61.5;11.9
01249;Miribel;128;732;65.9;24.8;9.3;0.8;28.8;8.9;42.9;18.7
01250;Misérieux;13;82;80.2;17.8;2;0;0;10.3;11;78.8
01252;Mogneneins;5;35;80;20;0;0;10.5;60.5;0;28.9
01254;Montagnat;20;152;62.9;29.2;7.9;2.5;11.8;12.2;67.1;6.3
01255;Montagnieu;6;24;76.3;21.1;2.6;2.9;22.9;5.7;40;28.6
01257;Montanges;0;16;81.5;14.8;3.7;0;25;43.8;6.2;25
01258;Montceaux;4;60;78.5;19;2.5;0.8;5.4;14.6;36.9;42.3
01259;Montcet;5;31;78.3;19.6;2.2;12.5;12.5;3.1;9.4;62.5
01260;Le Montellier;1;16;77.1;22.9;0;20;0;6.7;33.3;40
01261;Monthieux;7;46;72.9;24.3;2.9;3.4;0;13.5;74.2;9
01262;Montluel;67;390;69.6;25.2;5.2;2;38.3;2.6;32;25
01263;Montmerle-sur-Saône;22;228;71.7;22.1;6.2;1.5;44.6;5.8;31.2;16.8
01264;Montracol;7;42;72.9;27.1;0;12.5;0;27.5;32.5;27.5
01265;Montréal-la-Cluse;23;232;59.7;32.4;7.8;0.1;52.7;4.5;30.7;12
01266;Montrevel-en-Bresse;19;185;52.6;37.8;9.6;1.5;9.2;14.9;23.9;50.4
01267;Nurieux-Volognat;4;51;60.8;28.4;10.8;0.6;77.1;0.8;16.7;4.8
01268;Murs-et-Gélignieux;2;18;78.4;21.6;0;0;0;26.7;26.7;46.7
01269;Nantua;21;208;63.3;29.4;7.3;0;21;4.7;25.4;49
01272;Neuville-les-Dames;13;99;74.7;21.4;3.9;5.3;15.3;12.2;19;48.1
01273;Neuville-sur-Ain;6;83;79.1;13.9;7;0.3;10.3;54;29;6.5
01274;Les Neyrolles;5;26;53.8;38.5;7.7;3.4;46;14.9;23;12.6
01275;Neyron;40;278;70.2;21.8;8;0;35.8;3.4;57.6;3.2
01276;Niévroz;11;106;82.7;11.8;5.5;0;33.3;2.9;39.1;24.7
01277;Nivollet-Montgriffon;0;5;83.3;16.7;0;0;0;0;0;100
01279;Oncieu;1;4;85.7;14.3;0;0;0;0;0;100
01280;Ordonnaz;0;10;87.5;12.5;0;0;0;66.7;0;33.3
01281;Ornex;33;143;76.8;19.2;4;0.3;2.7;4.2;55.3;37.5
01282;Outriaz;2;10;75;15;10;0;74.5;0;18.2;7.3
01283;Oyonnax;182;1459;63.1;28.7;8.1;0;32.1;3.5;34.8;29.6
01284;Ozan;9;41;66.1;32.1;1.8;3;20.8;12.9;45.5;17.8
01285;Parcieux;10;68;77.5;20;2.5;0;3;33.3;46.5;17.2
01286;Parves et Nattages;7;37;84.4;14.1;1.6;0;0;11.1;11.1;77.8
01288;Péron;19;88;75.9;18.8;5.3;0.4;9.4;6.7;39.3;44.2
01289;Péronnas;52;400;62.1;28.7;9.1;0.1;7.9;8;45.4;38.6
01290;Pérouges;13;102;70.5;28.9;0.7;0;24;15.6;46.7;13.8
01291;Perrex;5;27;71;24.2;4.8;0.6;46.3;3.7;43.3;6.1
01293;Peyriat;0;9;72.7;27.3;0;33.3;33.3;0;0;33.3
01294;Peyrieu;5;38;73.6;17;9.4;0.7;31.9;6.5;15.9;44.9
01295;Peyzieux-sur-Saône;5;30;71.4;28.6;0;12.1;3;24.2;36.4;24.2
01296;Pirajoux;1;12;71.4;28.6;0;5.9;0;70.6;5.9;17.6
01297;Pizay;9;40;78.4;21.6;0;6.1;0;39.4;27.3;27.3
01298;Plagne;0;7;80;20;0;0;0;75;0;25
01299;Le Plantay;6;25;84.7;15.3;0;11.1;0;0;27.8;61.1
01301;Polliat;17;141;66.5;27.1;6.4;3.6;14.2;16.4;43.9;21.9
01302;Pollieu;0;13;76.9;23.1;0;0;0;80;0;20
01303;Poncin;11;104;73.5;20.5;6;0.6;42.9;11.2;28;17.3
01304;Pont-d'Ain;23;201;67.9;24.5;7.5;0;20.1;11;40.4;28.4
01305;Pont-de-Vaux;16;214;65.3;26.7;8;0;38.9;2.1;26.8;32.2
01306;Pont-de-Veyle;7;82;74;20;6;0.3;2.6;16;22.7;58.4
01307;Port;5;63;55;36.2;8.8;0;69.1;2.3;24;4.5
01308;Pougny;4;18;82.8;17.2;0;0;16.7;0;16.7;66.7
01309;Pouillat;0;2;60;40;0;50;0;0;0;50
01310;Prémeyzel;0;6;75;12.5;12.5;0.8;0;0;0;99.2
01311;Prémillieu;2;4;75;25;0;0;0;0;33.3;66.7
01313;Prévessin-Moëns;50;268;79.1;17;3.9;0.2;4.6;2.1;42;51.1
01314;Priay;7;103;76.9;21;2.1;0;53.1;8.2;30.1;8.7
01317;Ramasse;2;14;78.6;21.4;0;40;0;0;20;40
01318;Rancé;7;40;82.8;13.8;3.4;0;0;23.7;66.1;10.2
01319;Relevant;3;32;85.2;14.8;0;4.8;0;14.3;33.3;47.6
01320;Replonges;20;199;67.4;22;10.6;0;29.8;17.9;46.1;6.2
01321;Revonnas;10;36;83.9;16.1;0;12;0;0;40;48
01322;Reyrieux;51;357;72.7;19.3;8;0;53.6;3.9;26.3;16.2
01323;Reyssouze;10;49;87.8;9.5;2.7;0;58;28.4;4.9;8.6
01325;Rignieux-le-Franc;5;40;75.9;24.1;0;12;0;38;20;30
01328;Romans;0;26;83.6;9.1;7.3;1.1;0.5;0;22;76.4
01329;Rossillon;2;10;80;20;0;0;0;0;33.3;66.7
01330;Ruffieu;3;17;83.9;16.1;0;11.1;0;0;33.3;55.6
01331;Saint-Alban;8;11;72.2;22.2;5.6;7.7;88.5;0;0;3.8
01332;Saint-André-de-Bâgé;5;27;65.9;29.5;4.5;0;10.1;55.1;24.7;10.1
01333;Saint-André-de-Corcy;39;290;66.9;25.1;8;0.4;13.3;9;52.2;25.1
01334;Saint-André-d'Huiriat;7;26;86;14;0;0;40.9;18.2;22.7;18.2
01335;Saint-André-le-Bouchoux;1;16;51.9;48.1;0;23.7;0;10.5;42.1;23.7
01336;Saint-André-sur-Vieux-Jonc;6;48;80;16.5;3.5;14.6;65.5;2.3;7;10.5
01337;Saint-Bénigne;4;55;74.2;22.7;3.1;6.4;0.7;6.4;75.2;11.3
01338;Groslée-Saint-Benoit;10;72;77.8;17.9;4.3;2.6;40.3;18.8;29.3;8.9
01339;Saint-Bernard;14;90;77.4;21.5;1.1;0;8.5;2.8;17;71.7
01342;Sainte-Croix;6;27;63.8;34;2.1;5.6;0;5.6;74.1;14.8
01343;Saint-Cyr-sur-Menthon;16;124;77.4;17.9;4.8;1.3;64.4;11.5;19.6;3.3
01344;Saint-Denis-lès-Bourg;38;312;67.8;25.5;6.7;0.2;9.2;27.9;43.1;19.7
01345;Saint-Denis-en-Bugey;16;99;86.9;10.8;2.3;0;19.4;13.4;28.4;38.8
01346;Saint-Didier-d'Aussiat;6;32;69.1;29.1;1.8;11.4;6.8;40.9;18.2;22.7
01347;Saint-Didier-de-Formans;22;113;84.8;13.9;1.3;28;0;16;29.3;26.7
01348;Saint-Didier-sur-Chalaronne;19;201;70.9;23;6;0.7;42.7;7.5;28.8;20.4
01349;Saint-Éloi;3;26;80.5;19.5;0;11.5;0;38.5;23.1;26.9
01350;Saint-Étienne-du-Bois;19;122;70.2;25.4;4.4;4.6;25.4;10.7;31.1;28.1
01351;Saint-Étienne-sur-Chalaronne;13;77;87.8;11.3;0.9;7.3;0;30.9;23.6;38.2
01352;Saint-Étienne-sur-Reyssouze;3;17;80;17.1;2.9;8;0;0;48;44
01353;Sainte-Euphémie;12;98;73.9;21.8;4.2;0;3.7;13.7;70.2;12.4
01354;Saint-Genis-Pouilly;96;609;65.7;26.2;8.1;0;14.9;10.5;52.5;22
01355;Saint-Genis-sur-Menthon;1;24;74.3;20;5.7;0;38.8;0;46.9;14.3
01356;Saint-Georges-sur-Renon;7;8;72.7;27.3;0;0;0;0;66.7;33.3
01357;Saint-Germain-de-Joux;1;14;76.9;23.1;0;0;27.3;18.2;13.6;40.9
01358;Saint-Germain-les-Paroisses;4;14;72;24;4;3.3;3.3;70;0;23.3
01359;Saint-Germain-sur-Renon;2;11;84.4;15.6;0;25;25;0;25;25
