Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2016;Part des pers., dont le diplôme le plus élevé est un CAP ou un BEP, dans la pop. non scolarisée de 15 ans ou + 2016;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2016;Part des diplômés de l'enseignement sup. dans la pop. non scolarisée de 15 ans ou + 2016
25446;Passavant;31.6;27.8;19;21.5
25447;Passonfontaine;25.2;33;21.1;20.6
25448;Pelousey;21;24.8;16;38.1
25449;Péseux;36.5;24.7;20;18.8
25450;Pessans;20.3;28.8;11.9;39
25451;Petite-Chaux;31.2;31.2;17.4;20.2
25452;Pierrefontaine-lès-Blamont;24.4;37.5;15.2;22.9
25453;Pierrefontaine-les-Varans;33.9;32.8;17.3;16
25454;Pirey;17.8;21.6;17.4;43.3
25455;Placey;20.2;24.8;17.1;38
25456;Plaimbois-du-Miroir;29.7;32.1;19.4;18.8
25457;Plaimbois-Vennes;21.6;36.5;14.9;27
25458;Les Plains-et-Grands-Essarts;32.1;25;25;17.9
25459;La Planée;16.5;27;19.6;37
25460;Le Val;22.4;26;14.6;37
25461;Pompierre-sur-Doubs;32.9;35.5;18.2;13.4
25462;Pontarlier;31.8;27.1;16.7;24.4
25463;Pont-de-Roide-Vermondans;36.4;32.1;15;16.5
25464;Les Pontets;16.5;28.6;23.1;31.9
25465;Pont-les-Moulins;30.8;40.6;12.6;16.1
25466;Pouilley-Français;20.4;27.9;18.7;33
25467;Pouilley-les-Vignes;22.3;25.8;15.9;36
25468;Pouligney-Lusans;24.7;32.6;16.9;25.7
25469;Présentevillers;31;29.6;17.3;22.2
25470;La Prétière;38.7;29;16.1;16.1
25471;Provenchère;34.4;26.9;22.6;16.1
25472;Puessans;44.8;13.8;24.1;17.2
25473;Pugey;27.7;27.1;13.6;31.7
25474;Le Puy;14.1;38;14.1;33.8
25475;Quingey;35.3;24.3;14.6;25.8
25476;Rahon;37.8;29.6;15.3;17.3
25477;Rancenay;20.7;20;17.4;41.9
25478;Randevillers;30.9;30.9;18.1;20.2
25479;Rang;34.4;36;13.6;16
25481;Raynans;14.6;24.7;21.3;39.3
25482;Recologne;15.4;33.4;16.7;34.5
25483;Reculfoz;18.2;30.3;18.2;33.3
25485;Rémondans-Vaivre;27.9;33.1;17.4;21.5
25486;Remoray-Boujeons;18.6;29.7;17.6;34.1
25487;Renédale;34.6;26.9;11.5;26.9
25488;Rennes-sur-Loue;17.6;35.1;20.3;27
25489;Reugney;24;35.9;21.4;18.7
25490;Rigney;29.5;28.1;21.3;21.1
25491;Rignosot;34.4;35.5;15.1;15.1
25492;Rillans;22.2;34.9;14.3;28.6
25493;La Rivière-Drugeon;28;35.9;19;17
25494;Rochejean;19.1;30.7;22.7;27.4
25495;Roche-lez-Beaupré;23.9;31.9;17.6;26.6
25496;Roche-lès-Clerval;30.1;38.4;19.2;12.3
25497;Roches-lès-Blamont;27.5;32.7;15;24.9
25498;Rognon;32.5;42.5;12.5;12.5
25499;Romain;23.1;37.4;17.6;22
25500;Ronchaux;23.1;29.2;13.8;33.8
25501;Rondefontaine;36.4;13.6;36.4;13.6
25502;Roset-Fluans;21.3;33.5;16;29.3
25503;Rosières-sur-Barbèche;39.1;35.6;14.9;10.3
25504;Rosureux;45.9;34.4;13.1;6.6
25505;Rougemont;48.4;23.9;12.3;15.4
25506;Rougemontot;41.2;33.8;10.3;14.7
25507;Rouhe;23.4;40.6;14.1;21.9
25508;Roulans;23.8;32.3;15;28.9
25510;Ruffey-le-Château;20.1;32.2;18.7;28.9
25511;Rurey;23.1;31;20.4;25.5
25512;Le Russey;34.1;31.4;17.9;16.6
25513;Sainte-Anne;40.6;18.7;12.5;28.1
25514;Saint-Antoine;21.2;30.9;18.6;29.2
25515;Sainte-Colombe;13.4;35;23.3;28.3
25516;Saint-Georges-Armont;27.1;44.7;18.8;9.4
25517;Saint-Gorgon-Main;23.9;26.6;18.1;31.4
25518;Saint-Hilaire;18.3;29;26.9;25.8
25519;Saint-Hippolyte;37.4;33.2;15.8;13.6
25520;Saint-Juan;28.9;32.8;20.3;18
25521;Saint-Julien-lès-Montbéliard;17.7;26.9;20.8;34.6
25522;Saint-Julien-lès-Russey;23.5;31.9;15.1;29.4
25523;Sainte-Marie;24.9;33.7;14.2;27.3
25524;Saint-Maurice-Colombier;22.4;35.1;18.6;23.9
25525;Saint-Point-Lac;15.1;28.8;19.3;36.8
25526;Sainte-Suzanne;31.4;26.8;15.3;26.5
25527;Saint-Vit;28.1;30;16.5;25.4
25528;Samson;37.1;29;12.9;21
25529;Sancey;36.7;31.7;15.3;16.4
25532;Saône;25.8;25.2;16.2;32.9
25533;Saraz;45.5;18.2;18.2;18.2
25534;Sarrageois;16.2;27.5;31.7;24.6
25535;Saules;29;24.1;18.5;28.4
25536;Sauvagney;22.9;35.9;10.7;30.5
25537;Scey-Maisières;25.6;33.6;13.6;27.3
25538;Séchin;41;32.5;13.3;13.3
25539;Seloncourt;30.2;31.5;15.3;23
25540;Semondans;24.7;26.5;16.4;32.4
25541;Septfontaines;26.6;33.8;16.8;22.8
25542;Serre-les-Sapins;22.4;24.6;16.8;36.2
25544;Servin;28.5;27.7;17.5;26.3
25545;Silley-Amancey;23.2;30.5;17.9;28.4
25546;Silley-Bléfond;36;38;14;12
25547;Sochaux;47.6;26.2;12.9;13.3
25548;Solemont;24.6;33.3;22.8;19.3
25549;Sombacour;23.9;38.6;21.5;16
25550;La Sommette;17.8;32.2;22.4;27.6
25551;Soulce-Cernay;25.5;34.7;21.4;18.4
25552;Sourans;42.4;25.3;14.1;18.2
25553;Soye;34.7;29.5;16.4;19.4
25554;Surmont;31.3;25.3;23.2;20.2
25555;Taillecourt;24.2;30.9;18.2;26.7
25556;Tallans;37.5;25;21.9;15.6
25557;Tallenay;18.3;23.1;16.3;42.3
25558;Tarcenay-Foucherans;19.7;30;15.6;34.7
25559;Thiébouhans;29.5;33.1;16.3;21.1
25560;Thise;24.6;27.2;17.2;31
25561;Thoraise;22.2;25.8;19.4;32.7
25562;Thulay;17.9;25.9;24.7;31.5
25563;Thurey-le-Mont;27.8;23.3;17.8;31.1
25564;Torpes;22.4;25.2;18.1;34.2
25565;Touillon-et-Loutelet;11.6;34.9;28.5;25
25566;La Tour-de-Sçay;27.7;27.7;21.8;22.8
25567;Tournans;29.9;19.6;29.9;20.6
25569;Trépot;23.2;25.9;16.2;34.7
25570;Tressandans;50;25;0;25
25571;Trévillers;32.5;32;19.4;16.1
25572;Trouvans;32.9;30.1;16.4;20.5
25573;Urtière;0;41.7;16.7;41.7
25574;Uzelle;36.7;35.9;12.5;14.8
25575;Vaire;27.6;28.5;15.2;28.7
25578;Valdahon;29.7;29.4;20.2;20.7
25579;Val-de-Roulans;20.5;29.1;18.1;32.3
25580;Valentigney;40.8;27.5;13.3;18.4
25582;Valleroy;33.6;21.2;23;22.1
25583;Valonne;29.8;34.3;15.5;20.4
25584;Valoreille;21.4;25;26.2;27.4
25586;Vandoncourt;28.6;30.2;16.1;25.1
25588;Vaucluse;27.5;32.5;21.2;18.8
25589;Vauclusotte;36.1;33.3;13.9;16.7
25590;Vaudrivillers;37.3;31.3;9;22.4
25591;Vaufrey;38.1;31.7;15.1;15.1
25592;Vaux-et-Chantegrue;19.2;33.3;18.8;28.6
25594;Velesmes-Essarts;24.8;28.7;19.4;27.1
25595;Vellerot-lès-Belvoir;29.9;42.9;14.3;13
25596;Vellerot-lès-Vercel;30.4;34.8;15.2;19.6
25597;Vellevans;36.8;33.1;17.2;12.9
25598;Venise;32.8;32;13;22.2
25599;Vennans;15.2;31.6;22.2;31
25600;Vennes;20.3;35.2;18.8;25.8
25601;Vercel-Villedieu-le-Camp;30.1;29;19;21.9
25602;Vergranne;27.8;31.6;21.5;19
25604;Verne;27.7;39.4;9.6;23.4
25605;Vernierfontaine;22;28.8;22.6;26.6
25607;Vernois-lès-Belvoir;27.3;34.1;22.7;15.9
25608;Le Vernoy;25.6;23.1;23.1;28.2
25609;Verrières-de-Joux;22.6;36.7;19.9;20.8
25611;La Vèze;23.6;29.9;18;28.5
25612;Vieilley;19.9;32.4;17.3;30.4
25613;Viéthorey;32.4;36.5;12.2;18.9
25614;Vieux-Charmont;28.3;31.8;15.5;24.3
25615;Villars-lès-Blamont;24.9;38.5;16.9;19.8
25616;Villars-Saint-Georges;20.9;27.2;15.7;36.1
25617;Villars-sous-Dampjoux;36.2;30.8;16.6;16.4
25618;Villars-sous-Écot;33.2;29.8;11.6;25.3
25619;Les Villedieu;24.5;29.1;21.2;25.2
25620;Ville-du-Pont;28.8;30.2;19.8;21.2
25621;Villeneuve-d'Amont;34.9;32.3;18.1;14.7
25622;Villers-Buzon;20.9;32.3;20.4;26.4
25623;Villers-Chief;30.9;28.7;23.4;17
25624;Villers-Grélot;24.8;39.8;16.8;18.6
25625;Villers-la-Combe;36.4;22.7;29.5;11.4
25626;Villers-Saint-Martin;25;34.1;23.8;17.1
25627;Villers-sous-Chalamont;20.8;34.3;23.6;21.3
25628;Villers-sous-Montrond;27;25.5;16.1;31.4
25629;Voillans;23.3;22.1;14.7;39.9
25630;Voires;17.9;35.8;23.9;22.4
25631;Vorges-les-Pins;18.3;31.6;15.9;34.2
25632;Voujeaucourt;26.9;30.4;15.7;27
25633;Vuillafans;32.9;37.3;14.3;15.5
25634;Vuillecin;20.2;31.4;23.7;24.7
25635;Vyt-lès-Belvoir;30.8;30.1;20.3;18.9
26001;Solaure en Diois;27.1;26.2;17.6;29.1
26002;Albon;28.4;33.1;15.6;22.9
26003;Aleyrac;40;25.7;11.4;22.9
26004;Alixan;37.9;17;24;21.1
26005;Allan;23.4;24.3;17.9;34.3
26006;Allex;23.3;24.5;17.4;34.7
26007;Ambonil;16;27.2;23.5;33.3
26008;Ancône;31.8;28.4;19.2;20.5
26009;Andancette;35.7;32.6;14.6;17.1
26010;Anneyron;32.5;29.7;16.2;21.5
26011;Aouste-sur-Sye;30.1;29;14.2;26.7
26012;Arnayon;17.4;21.7;17.4;43.5
26013;Arpavon;26.7;11.7;25;36.7
26014;Arthémonay;17.5;31.3;16.8;34.3
26015;Aubenasson;17;21.3;8.5;53.2
26016;Aubres;26.6;27.2;19.7;26.6
26017;Aucelon;20;20;40;20
26018;Aulan;25;50;0;25
26019;Aurel;27.2;27.2;16.9;28.7
26020;La Répara-Auriples;29.7;24.7;19.2;26.4
26021;Autichamp;33;22.3;16;28.7
26022;Ballons;33.3;27.5;13;26.1
26023;Barbières;22.5;28.4;18;31.1
26024;Barcelonne;14.2;26.6;20.6;38.6
26025;Barnave;21.2;18.5;19.9;40.4
26026;Barret-de-Lioure;18;23;23;36.1
26027;Barsac;30.6;26.9;21.3;21.3
26028;Bathernay;23.1;33.5;15.6;27.7
26030;La Bâtie-des-Fonds;0;66.7;33.3;0
26031;La Bâtie-Rolland;25.6;27.6;18.1;28.7
26032;La Baume-Cornillane;22.2;18.3;20.1;39.4
26033;La Baume-de-Transit;32.2;27.3;15.9;24.6
26034;La Baume-d'Hostun;19.5;31.1;20;29.4
26035;Beaufort-sur-Gervanne;16.7;26.8;20.8;35.7
26036;Beaumont-en-Diois;12.2;15.9;34.1;37.8
26037;Beaumont-lès-Valence;24.9;24.9;18.6;31.7
26038;Beaumont-Monteux;24.5;31.5;17.5;26.5
26039;Beauregard-Baret;23.3;26.1;19.1;31.5
26040;Beaurières;32.1;32.1;17.9;17.9
26041;Beausemblant;30.6;32.3;14.8;22.3
26042;Beauvallon;27.9;27.5;16.6;28
26043;Beauvoisin;20;21.7;20.8;37.5
26045;La Bégude-de-Mazenc;22.7;25.2;17.7;34.4
26046;Bellecombe-Tarendol;26.9;38.8;16.4;17.9
26047;Bellegarde-en-Diois;9.8;32.4;23.9;33.9
26048;Bénivay-Ollon;32.2;25.4;16.9;25.4
26049;Bésayes;22.7;27.3;16.2;33.8
26050;Bésignan;28.6;20.6;22.2;28.6
26051;Bézaudun-sur-Bîne;16.4;27.3;9.1;47.3
26052;Bonlieu-sur-Roubion;21.9;29.2;19.8;29.2
26054;Bouchet;22.6;31.4;18.2;27.8
26055;Boulc;17.4;18.5;20.6;43.5
26056;Bourdeaux;29;23.4;17.9;29.7
26057;Bourg-de-Péage;33.6;27.5;16;22.8
26058;Bourg-lès-Valence;27.4;26.8;17.4;28.3
26059;Bouvante;33.9;30.6;15.8;19.7
26060;Bouvières;31.6;18.4;19.3;30.7
26061;Bren;24.3;32.8;16;26.9
26062;Brette;51.9;14.8;18.5;14.8
26063;Buis-les-Baronnies;34.8;24.8;16.2;24.2
26064;Chabeuil;22.6;24.2;17.2;36
26065;Chabrillan;20.8;23.6;19;36.6
26066;Le Chaffal;28.1;15.6;25;31.3
26067;Chalancon;24;8;26;42
26068;Le Chalon;26.8;28.8;16.3;28.1
26069;Chamaloc;16.7;23.5;23.5;36.3
26070;Chamaret;31.3;26.5;17.4;24.9
26071;Chanos-Curson;19.9;30.3;17.9;32
26072;Chantemerle-les-Blés;22.3;25.3;21.3;31.1
26073;Chantemerle-lès-Grignan;19.1;25.8;18;37.1
26074;La Chapelle-en-Vercors;27.7;24.8;18.2;29.3
26075;La Charce;30;23.3;26.7;20
26076;Charens;14.8;22.2;29.6;33.3
26077;Charmes-sur-l'Herbasse;23.9;29.8;17.9;28.4
26078;Charols;24.8;25.2;19.4;30.5
26079;Charpey;19.9;25.4;18.1;36.7
26080;Chastel-Arnaud;21.4;17.9;21.4;39.3
26081;Châteaudouble;17.5;22.8;18.7;41
26082;Châteauneuf-de-Bordette;24.3;12.2;27;36.5
26083;Châteauneuf-de-Galaure;27.6;24.6;16.2;31.5
26084;Châteauneuf-sur-Isère;23.8;28.4;17.6;30.2
26085;Châteauneuf-du-Rhône;31.6;27.9;17.8;22.8
26086;Châtillon-en-Diois;30.3;22.9;19.1;27.7
26087;Châtillon-Saint-Jean;24.1;31.1;20.5;24.3
26088;Chatuzange-le-Goubet;22.2;28.9;18.5;30.3
26089;Chaudebonne;47.8;17.4;19.6;15.2
26090;La Chaudière;13.6;13.6;13.6;59.1
26091;Chauvac-Laux-Montaux;38.2;8.8;26.5;26.5
26092;Chavannes;26.2;27;15.2;31.6
26093;Clansayes;16.8;29.8;19.7;33.7
26094;Claveyson;28.8;30.9;17.2;23.1
26095;Cléon-d'Andran;36.9;31.1;14.9;17.1
26096;Clérieux;28.5;30.5;16;25
26097;Cliousclat;28;28.3;16.9;26.8
26098;Cobonne;18.4;20;21.6;40
26099;Colonzelle;21.3;34.1;17.8;26.8
26100;Combovin;29.3;22.3;16.1;32.3
26101;Comps;17.9;20.5;25;36.6
26102;Condillac;24.6;30.7;13.2;31.6
26103;Condorcet;37.5;29.3;14.4;18.7
26104;Cornillac;40;20;24.3;15.7
26105;Cornillon-sur-l'Oule;35.4;38.5;12.3;13.8
26106;La Coucourde;22.8;34.8;21.3;21.1
26107;Crépol;33.1;28.6;16.4;21.9
26108;Crest;30.1;22.8;16.2;30.9
26110;Crozes-Hermitage;40.8;15.1;24.1;20
26111;Crupies;32.1;21;17.3;29.6
26112;Curnier;26.3;27.6;24.3;21.7
26113;Die;30.9;23.1;17.8;28.2
26114;Dieulefit;30.3;22.8;17.6;29.3
26115;Divajeu;23.2;26.6;20.6;29.7
26116;Donzère;32.8;30.6;16.8;19.8
26117;Échevis;31.7;22;26.8;19.5
26118;Épinouze;27.2;31.2;19.6;22
26119;Érôme;30.6;27.6;19.9;21.9
26121;Espeluche;22.2;28.8;17;32
26122;Espenel;25.2;29.7;11.8;33.3
26123;Establet;12.5;41.7;16.7;29.2
26124;Étoile-sur-Rhône;22.7;26.6;18.6;32.1
26125;Eurre;23.5;25.5;20.5;30.5
26126;Eygalayes;38.6;24.3;17.1;20
26127;Eygaliers;26.7;29.1;15.1;29.1
26128;Eygluy-Escoulin;28.8;15.4;23.1;32.7
26129;Eymeux;37.5;18.7;22.9;21
26130;Eyroles;28.6;28.6;4.8;38.1
26131;Eyzahut;22;29.7;19.5;28.8
26133;Fay-le-Clos;27.3;25.8;13.6;33.3
26134;Félines-sur-Rimandoule;20.6;20.6;22.2;36.5
26135;Ferrassières;39.4;32.3;17.2;11.1
26136;Val-Maravel;22.7;18.2;22.7;36.4
26137;Francillon-sur-Roubion;26.1;20.4;15.5;38
26138;La Garde-Adhémar;20.5;27.4;18.8;33.3
26139;Génissieux;23.9;23;17.1;35.9
26140;Geyssans;19.2;29;19.6;32.1
26141;Gigors-et-Lozeron;18.5;16.6;17.2;47.8
26142;Glandage;23.9;17.4;19.6;39.1
26143;Le Grand-Serre;27;30.1;21.5;21.4
26144;Grane;23.4;26.5;16.9;33.2
26145;Les Granges-Gontardes;24.2;24.2;18.5;33
26146;Grignan;31.3;25.1;15.2;28.3
26147;Gumiane;44.4;38.9;5.6;11.1
26148;Hauterives;31;26;15.4;27.6
26149;Hostun;28.1;25.3;16.9;29.7
26150;Izon-la-Bruisse;16.7;33.3;16.7;33.3
26152;Jonchères;30.8;19.2;11.5;38.5
26153;Laborel;38.9;21.1;18.9;21.1
26154;Lachau;33.2;28.9;17.4;20.5
26155;Lapeyrouse-Mornay;31.3;32.4;17.4;18.9
26156;Larnage;24.4;27.2;17.2;31.2
26157;La Laupie;21.5;27.2;19.4;31.9
26159;Laval-d'Aix;23.8;24.8;21.8;29.7
26160;Laveyron;44.1;26.5;17.9;11.5
26161;Lemps;24.4;28.9;22.2;24.4
26162;Lens-Lestang;30.6;34.8;12.7;21.9
26163;Léoncel;63.4;22;9.8;4.9
26164;Lesches-en-Diois;25.5;14.9;21.3;38.3
26165;Livron-sur-Drôme;32.9;29.9;15.9;21.3
26166;Loriol-sur-Drôme;38.1;26.7;15.3;19.9
26167;Luc-en-Diois;29.9;25.7;17.5;26.9
26168;Lus-la-Croix-Haute;30.4;25.9;18.6;25.1
26169;Malataverne;22.2;31.4;16;30.4
26170;Malissard;37.6;18.5;21.1;22.8
26171;Manas;22.1;23.6;19.3;35
26172;Manthes;33.5;32.7;14.9;18.8
26173;Marches;39.5;17;22.2;21.3
26174;Margès;24.2;30.2;20.8;24.8
26175;Marignac-en-Diois;21.1;16.8;24.8;37.3
26176;Marsanne;24.9;23.9;18.6;32.6
26177;Marsaz;26.1;26.3;18.5;29.1
26178;Menglon;19.7;24.1;23.6;32.6
26179;Mercurol-Veaunes;25;26.2;17.1;31.8
26180;Mérindol-les-Oliviers;31.3;19.9;23.9;25
26181;Mévouillon;26.6;27.7;18.6;27.1
26182;Mirabel-aux-Baronnies;29;24.7;19.1;27.3
26183;Mirabel-et-Blacons;27.9;25.9;17.6;28.6
26185;Mirmande;21.7;20.6;17.9;39.8
26186;Miscon;11.3;17;20.8;50.9
26188;Mollans-sur-Ouvèze;32.9;26;20;21.1
26189;Montauban-sur-l'Ouvèze;29.5;20.5;20.5;29.5
26190;Montaulieu;14.5;12.9;37.1;35.5
26191;Montboucher-sur-Jabron;19.7;27.8;20.1;32.4
26192;Montbrison-sur-Lez;28;24.3;18.8;28.9
26193;Montbrun-les-Bains;31;19.7;21.3;28
26194;Montchenu;30.2;26.5;18.9;24.4
26195;Montclar-sur-Gervanne;22.8;21.5;19.5;36.2
26196;Montéléger;20.3;22.6;15;42
26197;Montélier;26;21.2;17.9;35
26198;Montélimar;30.8;24.4;17.3;27.5
26199;Montferrand-la-Fare;46.2;19.2;26.9;7.7
26200;Montfroc;34.9;22.2;23.8;19
26201;Montguers;11.4;20;31.4;37.1
26202;Montjoux;22.5;27.5;13.7;36.3
26203;Montjoyer;30.5;21.2;18.7;29.5
26204;Montlaur-en-Diois;22.2;24.1;14.8;38.9
26205;Montmaur-en-Diois;22.9;21.4;22.9;32.9
26206;Montmeyran;25.1;23.8;18;33.1
26207;Montmiral;26.2;26;17.9;29.9
26208;Montoison;21.2;26;20.9;31.9
26209;Montréal-les-Sources;20;30;20;30
26210;Valherbasse;32.2;27.7;16.3;23.8
26211;Montségur-sur-Lauzon;27.7;25.7;18.6;27.9
26212;Montvendre;20;26.3;16.9;36.8
26213;Moras-en-Valloire;25.9;33.5;18.2;22.4
26214;Mornans;25.5;27.3;20;27.3
26215;La Motte-Chalancon;40.5;21;17.6;21
26216;La Motte-de-Galaure;29.8;33.8;14.3;22.1
26217;La Motte-Fanjas;26.5;26.5;16.9;30.1
26218;Mours-Saint-Eusèbe;28;23.7;16.5;31.8
26219;Mureils;25;29.5;22.1;23.4
26220;Nyons;35.9;23.4;17.1;23.6
26221;Omblèze;23.8;25.4;20.6;30.2
26222;Orcinas;29.6;37;11.1;22.2
26223;Oriol-en-Royans;36.5;26;15;22.6
26224;Ourches;17.1;26.7;17.6;38.5
26225;Parnans;32.3;27.8;16;23.9
26226;Le Pègue;32.1;29.9;17.3;20.7
26227;Pelonne;0;12.5;25;62.5
26228;Pennes-le-Sec;9.1;45.5;27.3;18.2
26229;La Penne-sur-l'Ouvèze;33.8;28.6;20.8;16.9
26231;Peyrins;30.4;24.5;17.3;27.9
26232;Peyrus;14.7;26.1;25.5;33.7
26233;Piégon;34.8;23.6;22.2;19.4
26234;Piégros-la-Clastre;27.5;26.7;17.1;28.8
26235;Pierrelatte;35.3;28.2;15.9;20.6
26236;Pierrelongue;25;33.5;16.5;25
26238;Les Pilles;27.7;26.7;17.3;28.3
26239;Plaisians;31;23.9;16.8;28.4
26240;Plan-de-Baix;32.2;19.1;20.9;27.8
26241;Le Poët-Célard;25;30;24;21
26242;Le Poët-en-Percip;21.4;21.4;7.1;50
26243;Le Poët-Laval;26.7;21.5;18.6;33.2
26244;Le Poët-Sigillat;26.5;20.5;21.7;31.3
26245;Pommerol;16.7;66.7;16.7;0
26246;Ponet-et-Saint-Auban;26.5;25.5;21.6;26.5
26247;Ponsas;45.7;18.8;15.7;19.8
26248;Pontaix;29.8;28.2;18.3;23.7
26249;Pont-de-Barret;21.3;24.2;19;35.5
26250;Pont-de-l'Isère;30.1;31.1;15.3;23.5
26251;Portes-en-Valdaine;24.9;21.6;18;35.6
26252;Portes-lès-Valence;32;31;17;19.9
26253;Poyols;31.6;24.6;22.8;21.1
26254;Pradelle;23.1;38.5;30.8;7.7
26255;Les Prés;12.5;8.3;37.5;41.7
26256;Propiac;29.8;22.3;18.1;29.8
26257;Puygiron;23.7;25.5;21;29.7
26258;Puy-Saint-Martin;21.2;25.8;19.1;33.8
26259;Ratières;29.9;30.8;15.4;23.8
26261;Réauville;26.4;32.8;16.4;24.4
26262;Recoubeau-Jansac;36.3;21.5;16.6;25.6
26263;Reilhanette;25;33.6;15.5;25.9
26264;Rémuzat;29.7;20.4;23.4;26.4
26266;Rimon-et-Savel;15.4;15.4;23.1;46.2
26267;Rioms;11.1;27.8;38.9;22.2
26268;Rochebaudin;12.2;23.3;17.8;46.7
26269;Rochebrune;23.3;25.6;23.3;27.9
26270;Rochechinard;21.4;20.4;21.4;36.9
26271;La Roche-de-Glun;26.2;26.8;19;28
26272;Rochefort-en-Valdaine;21.7;29.7;17.1;31.6
26273;Rochefort-Samson;23.1;27.8;15.4;33.7
26274;Rochefourchat;0;100;0;0
26275;Rochegude;24.6;27;20.4;28
26276;Roche-Saint-Secret-Béconne;18.5;29;18.8;33.7
26277;La Roche-sur-Grane;22.1;29.8;15.3;32.8
26278;La Roche-sur-le-Buis;19.4;20.3;23.3;37
26279;La Rochette-du-Buis;36.9;26.2;13.8;23.1
26281;Romans-sur-Isère;36.7;24;15.5;23.9
26282;Romeyer;17.1;25.3;19.2;38.4
26283;Rottier;54.5;31.8;9.1;4.5
26284;Roussas;24.1;23.4;22.7;29.8
26285;Rousset-les-Vignes;29.6;21.3;18.8;30.3
26286;Roussieux;21.4;28.6;28.6;21.4
26287;Roynac;25.7;24.5;20.5;29.3
26288;Sahune;34.6;31;14;20.4
26289;Saillans;26.5;23.9;20.6;29
26290;Saint-Agnan-en-Vercors;28.1;28.1;17;26.7
26291;Saint-Andéol;21.3;13.1;21.3;44.3
26292;Saint-Auban-sur-l'Ouvèze;25.6;20.8;17.3;36.3
26293;Saint-Avit;25.4;35.8;15.4;23.4
26294;Saint-Bardoux;19.4;30.4;20.8;29.4
26295;Saint-Barthélemy-de-Vals;32.5;31.6;16.8;19
26296;Saint-Benoit-en-Diois;16;20.1;12;52
26298;Saint-Christophe-et-le-Laris;35.6;27;17.2;20.2
26299;Sainte-Croix;38.7;22.7;18.7;20
26300;Saint-Dizier-en-Diois;12;18.2;18.2;51.6
26301;Saint-Donat-sur-l'Herbasse;27.6;26.8;17.5;28.1
26302;Sainte-Eulalie-en-Royans;35;27.5;15.7;21.8
26303;Sainte-Euphémie-sur-Ouvèze;37.7;14.8;13.1;34.4
26304;Saint-Ferréol-Trente-Pas;28;26.4;19.2;26.4
26305;Saint-Gervais-sur-Roubion;23;30.1;17.1;29.8
26306;Sainte-Jalle;30.3;27.3;20.2;22.3
26307;Saint-Jean-en-Royans;35.5;25.1;15.8;23.6
26308;Saint-Julien-en-Quint;27.5;23.3;15.8;33.3
26309;Saint-Julien-en-Vercors;26.7;22.2;20.6;30.6
26310;Saint-Laurent-d'Onay;15;29.2;19.2;36.7
26311;Saint-Laurent-en-Royans;54.2;16.7;18.3;10.8
26312;Saint-Marcel-lès-Sauzet;37.2;20.4;22.2;20.2
26313;Saint-Marcel-lès-Valence;26.4;27.3;17.6;28.7
26314;Saint-Martin-d'Août;28.3;30;16;25.8
26315;Saint-Martin-en-Vercors;39.6;19.3;17.1;23.9
26316;Saint-Martin-le-Colonel;38.6;28.3;18.6;14.5
26317;Saint-Maurice-sur-Eygues;26.8;31.6;19.1;22.5
26318;Saint-May;45.9;24.3;13.5;16.2
26319;Saint-Michel-sur-Savasse;24.7;31.8;17.2;26.2
26320;Saint-Nazaire-en-Royans;30.1;26.7;17.8;25.4
26321;Saint-Nazaire-le-Désert;34.2;21.7;19.7;24.3
26322;Saint-Pantaléon-les-Vignes;29.7;27.9;17.6;24.8
26323;Saint-Paul-lès-Romans;40.2;21.1;21.4;17.3
26324;Saint-Paul-Trois-Châteaux;28.2;22.4;19.4;29.9
26325;Saint-Rambert-d'Albon;38.2;29.6;15.8;16.3
26326;Saint-Restitut;19.2;26.8;19.2;34.8
26327;Saint-Roman;19;20.4;19.7;40.8
26328;Saint-Sauveur-en-Diois;34;17;21.3;27.7
26329;Saint-Sauveur-Gouvernet;34;23.3;16;26.7
26330;Saint-Sorlin-en-Valloire;34.5;30.3;15.4;19.7
26331;Saint-Thomas-en-Royans;40.4;24.8;15.9;18.9
26332;Saint-Uze;34.9;30;13.7;21.4
26333;Saint-Vallier;40.1;22.6;15.1;22.3
26334;Salettes;29;28;16;27
26335;Salles-sous-Bois;29.9;25.5;17.2;27.4
26336;Saou;20.1;24.7;13.9;41.3
26337;Saulce-sur-Rhône;33.6;29.3;16.3;20.8
26338;Sauzet;27.5;23;19.7;29.7
26339;Savasse;24;26.6;16.1;33.3
26340;Séderon;35.9;24.2;21.5;18.4
26341;Serves-sur-Rhône;32.4;33.6;16.3;17.7
26342;Solérieux;23.1;24;18.2;34.7
26343;Souspierre;34.2;26.6;7.6;31.6
26344;Soyans;15.7;23.7;21.3;39.4
26345;Suze-la-Rousse;26.3;26.1;18.9;28.6
26346;Suze;18.4;27.6;18.9;35.1
26347;Tain-l'Hermitage;32.2;25.2;16.6;25.9
26348;Taulignan;34.2;23.9;17.8;24
26349;Tersanne;23.6;36.8;15.3;24.4
26350;Teyssières;34;18.3;19.8;27.9
26351;Les Tonils;26.3;15.8;10.5;47.4
26352;La Touche;22.5;23.1;22.5;31.9
26353;Les Tourrettes;27.3;33.6;17.6;21.5
26355;Triors;35.7;24.4;20.4;19.6
26356;Truinas;21.9;25;29.2;24
