Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2016;Part des familles avec 1 enf. de - de 25 ans 2016;Indice de vieillissement 2016;Densité de population (historique depuis 1876) 2016;Évol. annuelle moy. de la population 2011-2016;Part des pers. âgées de - 15 ans 2016;Part des pers. âgées de - de 25 ans 2016;Part des pers. âgées de 25 à 64 ans 2016;Part des pers. âgées de 65 ans ou + 2016;Part des familles sans enf. de - de 25 ans 2016;Part des familles avec 2 enf. de - de 25 ans 2016;Part des familles avec 3 enf. ou plus de - de 25 ans 2016;Taille moyenne des ménages 2016
01054;Bourg-Saint-Christophe;1325;23;40.3;147.6;2;24.1;32.6;55.5;11.9;43.7;27.6;5.7;2.6
01056;Boyeux-Saint-Jérôme;354;31.6;81.5;20.9;0.9;22;28;50.3;21.7;36.8;21.1;10.5;2.3
01057;Boz;515;27.6;47;70.5;0.7;22.1;32.9;52.6;14.5;38.3;23.9;10.1;2.5
01058;Brégnier-Cordon;849;18.1;59.4;77.2;-0.3;22.9;33.4;48.9;17.7;46.8;21.7;13.4;2.5
01060;Brénod;522;19.4;121.7;21.9;-0.8;15.3;26.1;48.5;25.3;54.8;16.1;9.7;2.1
01061;Brens;1169;11.3;49;169.4;-0.3;22;31.5;54.7;13.8;54.1;23.7;11;2.7
01062;Bressolles;891;15.3;56.1;115.3;3.7;21.4;31.5;53.2;15.4;49.2;30.5;5.1;2.6
01063;Brion;515;22.9;100.8;115;-0.3;17.9;26;50.3;23.7;51.4;22.9;2.9;2.4
01064;Briord;991;22.1;41.6;80.6;1.9;20.4;31.7;57.3;11;46;26.9;5;2.4
01065;Buellas;1767;17.8;70.9;173.1;0.8;19.3;29.9;52;18.1;53.5;21.2;7.5;2.5
01066;La Burbanche;71;0;130.8;6.6;-0.8;14.1;22.5;53.5;23.9;75;25;0;1.9
01067;Ceignes;253;18.8;40.5;25.3;-0.6;20.9;31.9;56.7;11.4;50;18.8;12.5;2.3
01068;Cerdon;785;21.9;82.8;63.8;1.2;20.5;29.5;49.3;21.2;43.8;24.4;9.8;2.3
01069;Certines;1532;22.8;53.9;96.2;1.1;18.7;30.2;55.9;13.9;44.6;27.2;5.4;2.3
01071;Cessy;4836;30.2;30.3;756.8;3;23.1;33.5;57.7;8.7;35.9;25.6;8.2;2.4
01072;Ceyzériat;3138;19.8;80.6;335.3;2;19.8;29.1;50.4;20.4;49.5;20.3;10.4;2.3
01073;Ceyzérieu;1012;19;114.7;51.3;1.2;16.6;24.8;51;24.1;55.6;17.5;7.9;2.2
01074;Chalamont;2406;18.9;66.5;73.2;0.3;22.3;33;48.1;18.8;45.5;22.7;12.9;2.4
01075;Chaleins;1296;15.6;36.2;76.2;2.3;22.3;33.6;56;10.4;44.5;33.5;6.4;2.7
01076;Chaley;137;25;268.8;29.8;0.6;9.2;15.4;51.5;33.1;62.5;12.5;0;1.9
01077;Challes-la-Montagne;193;10;84.1;25.2;2;20.7;24.9;56;19.2;50;30;10;2
01078;Challex;1450;26.5;61.4;167.2;2.7;20.9;29.5;54.3;16.2;41.5;25.5;6.4;2.5
01079;Champagne-en-Valromey;825;22.5;149.1;45.4;1.4;17.4;25;43;32;50.2;12.4;14.8;2.2
01080;Champdor-Corcelles;657;18.4;80.4;20.8;-1.6;20.6;27.8;51.5;20.7;52.6;18.4;10.5;2.3
01081;Champfromier;729;28.4;62.9;22.5;1.5;18.6;29.6;55;15.3;48.7;18.5;4.5;2.2
01082;Chanay;633;21.9;33;35;0.2;24.2;40.9;46.8;12.3;43.7;25;9.4;2.4
01083;Chaneins;898;24.5;46.1;71.1;2.1;21.6;32.3;54.6;13.1;41.5;24.5;9.4;2.6
01084;Chanoz-Châtenay;833;12.8;46.7;62.1;3.2;23.7;31.8;54.4;13.8;51.2;23.3;12.7;2.6
01085;La Chapelle-du-Châtelard;387;20.8;52.8;28.9;1.6;23.3;30.7;54.5;14.7;45.8;25;8.3;2.6
01087;Charix;285;25;79.5;15.6;-0.3;18.9;28.8;50.9;20.4;50;12.5;12.5;2.4
01088;Charnoz-sur-Ain;923;20.7;47.7;139.4;0.2;18.6;30.1;58.4;11.5;48.3;24.1;6.9;2.5
01089;Château-Gaillard;2080;29.2;41.8;129.5;2.6;22.7;33;54.8;12.3;39.1;22;9.7;2.6
01090;Châtenay;333;9.8;76.2;22.3;-1.1;19.2;28;53.6;18.4;53.3;27.9;9;2.4
01092;Châtillon-la-Palud;1574;19.3;54.8;112.3;-0.1;22.2;31.7;52.7;15.6;45.3;27.3;8.1;2.5
01093;Châtillon-sur-Chalaronne;4886;21.2;121.6;271.7;-0.2;16.3;27.4;45.3;27.2;53;16.7;9.1;2.1
01094;Chavannes-sur-Reyssouze;750;18.8;82.2;45.3;1.5;18.8;28.6;51.3;20.1;50;22.9;8.3;2.4
01095;Nivigne et Suran;805;18.2;53.1;26;0.5;23;33.5;50.6;15.9;45.5;20.5;15.9;2.4
01096;Chaveyriat;1006;17.7;53.8;59.6;1.3;20.9;31.4;54;14.6;48.4;24.2;9.7;2.5
01098;Chazey-Bons;1079;22.1;77.3;69.9;2.6;20.9;29.5;50.9;19.7;50;17.6;10.3;2.4
01099;Chazey-sur-Ain;1513;25.6;55.6;68.9;-0.1;19.9;29.7;56.2;14.1;46.6;21.6;6.2;2.3
01100;Cheignieu-la-Balme;136;14.3;134.6;21.7;-3.1;12.2;19.4;55.4;25.2;57.1;28.6;0;1.8
01101;Chevillard;153;30;75;22.9;-0.9;14.1;24.4;60.3;15.4;60;10;0;2.3
01102;Chevroux;957;18.6;46.7;55.6;0.4;23.2;31.8;54.8;13.4;45.8;25.4;10.2;2.6
01103;Chevry;1643;25.6;35.3;281.3;5.3;23.5;33.4;56.7;9.9;39.3;27.4;7.7;2.5
01104;Chézery-Forens;460;14.8;69.8;9.9;0.5;20.4;30.7;51.7;17.6;51.9;25.9;7.4;2.3
01105;Civrieux;1606;22.1;48.8;81.3;3.6;18.2;31.7;55.5;12.8;41.1;27.6;9.1;2.5
01106;Cize;170;33.3;91.8;37.6;-0.2;23.7;32.4;41.6;26;33.3;11.1;22.2;2.3
01107;Cleyzieu;135;14.3;100;17.3;-0.3;18.5;24.4;53.3;22.2;57.1;28.6;0;2.1
01108;Coligny;1187;17.2;145.3;70.4;0.5;16.4;24.1;44.8;31;54.7;21.9;6.3;2.1
01109;Collonges;2223;27.1;23.9;136.8;2.4;25.9;34.6;58;7.4;34.2;29.8;8.9;2.6
01110;Colomieu;131;42.9;129.2;22;3.2;14.6;20;56.2;23.8;42.9;14.3;0;2
01111;Conand;120;16.7;51.4;7.9;3.3;28;33.1;51.7;15.3;50;16.7;16.7;2.3
01112;Condamine;414;22.3;30.4;89.2;0.4;24.2;32.3;58.6;9;45.4;21.7;10.5;2.6
01113;Condeissiat;825;24.1;55.2;38.1;1.6;21.8;32.2;52.3;15.5;41.8;21.5;12.7;2.4
01114;Confort;620;20.6;110.2;53.2;2.8;21.4;26.3;47.9;25.8;47.1;23.5;8.8;2.5
01115;Confrançon;1331;24.4;45.1;73.3;2.1;22;32.9;54.2;12.8;39.7;24.4;11.5;2.4
01116;Contrevoz;500;19.4;111.8;35.3;-1.5;17.5;24.3;51;24.7;55.9;18.7;6;2.3
01117;Conzieu;146;22.2;40;20.3;0.3;25.9;33.3;54.4;12.2;55.6;11.1;11.1;2.7
01118;Corbonod;1255;23.9;84.3;39.7;1.1;18.9;26.9;52.9;20.2;44.8;22.4;9;2.4
01121;Corlier;113;33.3;57.1;20.7;-1.4;17.2;31;55.2;13.8;33.3;16.7;16.7;2.4
01123;Cormoranche-sur-Saône;1118;20.6;72.9;113.5;1;21.5;30.4;50.8;18.8;52.9;16.2;10.3;2.6
01124;Cormoz;662;29.5;97.7;33.8;0.6;17.5;27.1;50.4;22.5;41.6;23.2;5.7;2.2
01125;Corveissiat;625;21.6;60.2;27.5;0.4;21.3;31.4;52.7;15.9;48.8;21.6;8;2.4
01127;Courmangoux;505;16.7;105;34.1;-0.1;19.9;25.6;49.4;25;53.3;26.7;3.3;2.2
01128;Courtes;310;11.1;65.1;34.2;2.4;20.6;32.6;49.5;17.9;50;27.8;11.1;2.4
01129;Crans;263;22.3;91.8;19.9;-0.2;17.3;25;53.7;21.3;51.2;16.1;10.4;2.3
01130;Bresse Vallons;2263;17.8;42.1;87.1;1.4;24.4;33.6;53.6;12.8;45.2;26.7;10.4;2.6
01133;Cressin-Rochefort;393;16;75.9;49.6;0.9;15.9;24.6;58.9;16.5;56.1;23.9;4;2.5
01134;Crottet;1734;17.4;70.7;143.1;0.1;19.4;27.7;54.6;17.7;53.2;22.9;6.4;2.4
01135;Crozet;2126;20.7;39.7;77.4;2.1;23.3;32.1;56.7;11.2;44.6;24;10.7;2.5
01136;Cruzilles-lès-Mépillat;855;16.3;55.2;72.2;0.6;21.3;31.7;53;15.4;49.4;22.3;12;2.6
01138;Culoz;3053;18.9;74.6;157.7;0.9;20.7;31;49.5;19.6;52;17.6;11.5;2.2
01139;Curciat-Dongalon;443;20;119.2;18.5;-0.5;19.5;26.1;47;26.8;56;16;8;2.1
01140;Curtafond;770;21.3;91;62;1.5;17.9;28.5;49.5;22;46.8;25.5;6.4;2.5
01141;Cuzieu;436;25.9;88.1;89.5;1.2;17.9;28.9;49.1;22;44.4;18.5;11.1;2.5
01142;Dagneux;4706;22.5;44.4;707.7;2.4;22.5;34.6;52.3;13.1;44.4;21.5;11.6;2.6
01143;Divonne-les-Bains;9465;22.6;57.7;279.4;2.4;22.3;29.9;54.7;15.4;44.5;23.6;9.2;2.2
01145;Dompierre-sur-Veyle;1164;18.8;66.2;40;-0.8;18.9;29.6;53.3;17.1;52.2;17.4;11.6;2.4
01146;Dompierre-sur-Chalaronne;431;22.2;35.3;90.2;2;25.8;34.7;53.8;11.5;44.1;18.6;15.1;2.7
01147;Domsure;483;13.3;88.8;31.8;0.6;19.5;28.6;50.2;21.2;63.3;13.3;10;2.4
01148;Dortan;1846;17.5;74.4;101.9;-0.9;17.9;27.2;55.5;17.3;57;19.3;6.1;2.3
01149;Douvres;1053;16.6;54.4;200.2;1.4;20.9;29.4;56.7;13.9;51.1;26.6;5.7;2.4
01150;Drom;217;7.7;46.6;27.9;0.6;20.7;29.3;58.6;12.2;53.8;30.8;7.7;2.5
01151;Druillat;1157;17.2;95.8;55.8;0.2;18.5;27.7;49.5;22.9;54.6;18.4;9.8;2.4
01152;Échallon;760;29.5;67.7;27.1;-0.3;20.7;28.7;53.9;17.4;40.9;22.7;6.8;2.4
