Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale (historique depuis 1876) 2016;Part des familles avec 1 enf. de - de 25 ans 2016;Indice de vieillissement 2016;Densité de population (historique depuis 1876) 2016;Évol. annuelle moy. de la population 2011-2016;Part des pers. âgées de - 15 ans 2016;Part des pers. âgées de - de 25 ans 2016;Part des pers. âgées de 25 à 64 ans 2016;Part des pers. âgées de 65 ans ou + 2016;Part des familles sans enf. de - de 25 ans 2016;Part des familles avec 2 enf. de - de 25 ans 2016;Part des familles avec 3 enf. ou plus de - de 25 ans 2016;Taille moyenne des ménages 2016
07250;Saint-Jeure-d'Ay;480;16.7;86.2;69.6;-0.1;16.1;30.1;49;20.9;60;6.7;16.7;2.5
07251;Saint-Joseph-des-Bancs;183;22.2;73.9;14.2;-0.6;23.6;27.6;52.9;19.5;44.4;33.3;0;2.3
07253;Saint-Julien-du-Gua;190;23.1;223.3;11.2;3.8;11.8;17.2;46.8;36;61.5;7.7;7.7;2
07254;Saint-Julien-du-Serre;875;20.3;83.4;89.5;1.2;18.1;27.4;52;20.6;57.6;16.9;5.1;2.4
07255;Saint-Julien-en-Saint-Alban;1507;15.9;57.7;145;2.1;20.3;31.6;53.3;15.2;46.7;29.5;7.9;2.5
07257;Saint-Julien-le-Roux;107;28.6;139.1;12.4;2.6;15.9;22.4;47.7;29.9;57.1;0;14.3;2.3
07258;Saint-Julien-Vocance;229;25;203.1;8.7;-0.6;10.5;14.8;56.8;28.4;66.7;0;8.3;1.8
07259;Saint-Just-d'Ardèche;1691;20.4;76.7;162;0.6;18.7;29;51.7;19.4;50;21.4;8.2;2.3
07260;Saint-Lager-Bressac;914;18.5;50.8;59.5;0.9;22;31.9;53.3;14.8;48.1;18.5;14.8;2.7
07261;Saint-Laurent-du-Pape;1572;23.6;86;78.2;-0.1;20;29;49.7;21.3;50.8;17.9;7.8;2.3
07262;Saint-Laurent-les-Bains-Laval-d'Aurelle;178;7.6;359.7;5;-1.8;8.2;15.4;45.1;39.5;76.9;15.5;0;2
07263;Saint-Laurent-sous-Coiron;100;0;308.3;6.4;-1.2;9.8;12.7;51;36.3;83.3;16.7;0;1.9
07264;Saint-Marcel-d'Ardèche;2390;19.9;104.7;66.2;-0.1;15.6;24.6;53.1;22.3;57.6;17.9;4.6;2.2
07265;Saint-Marcel-lès-Annonay;1429;18.6;56.3;86;0.6;21.6;31.8;52.6;15.6;44.9;26.9;9.6;2.5
07266;Sainte-Marguerite-Lafigère;104;0;233.3;10.3;5.4;10.2;15.3;56.1;28.6;66.7;16.7;16.7;1.9
07267;Saint-Martial;243;23.1;141.9;6.7;-0.2;13.6;21.2;51;27.8;53.4;15.6;7.9;2
07268;Saint-Martin-d'Ardèche;996;15.8;124.1;180.1;1.6;15.2;24;51.6;24.4;61.6;17.4;5.2;2.2
07269;Saint-Martin-de-Valamas;1129;14.1;252.5;56.5;-1.7;10.6;16.4;47.4;36.3;70.3;12.5;3.1;2
07270;Saint-Martin-sur-Lavezon;434;21.4;92;18.4;-0.5;16.3;24.5;56.9;18.7;57.1;14.3;7.1;2.3
07272;Saint-Maurice-d'Ardèche;304;23.5;128.8;58.6;-1.7;15.5;21.1;53.9;25;58.8;11.8;5.9;2.1
07273;Saint-Maurice-d'Ibie;219;9.1;160;9.4;0.7;16;23.7;47;29.2;45.5;36.4;9.1;2.1
07274;Saint-Maurice-en-Chalencon;215;42.9;122;27.5;1.4;14;22.4;54.2;23.4;50;0;7.1;2.2
07275;Saint-Mélany;117;20;299.2;11;-1.2;8.5;12.3;53.8;33.9;60;20;0;1.8
07276;Saint-Michel-d'Aurance;278;20;40.7;34.2;1;26.5;35.3;51.3;13.5;33.3;40;6.7;2.6
07277;Saint-Michel-de-Boulogne;159;25;48.8;21.1;2;22.8;30.2;55.7;14.1;37.5;25;12.5;2.7
07278;Saint-Michel-de-Chabrillanoux;359;23.9;66.2;29.6;-0.8;18.3;26.4;58;15.6;48.8;22.9;4.4;2.1
07279;Saint-Montan;1909;21.4;67.1;57.5;1.1;20.3;30.4;51.5;18.1;45.5;23.2;9.8;2.5
07280;Saint-Paul-le-Jeune;983;24.1;161.4;68.4;1.7;14.5;22.8;45.3;31.9;58.6;8.6;8.6;2
07281;Saint-Péray;7645;21.6;92.5;317.9;0.9;18.2;27.2;50.6;22.1;52.3;19.4;6.8;2.3
07282;Saint-Pierre-de-Colombier;412;10.4;226.3;43.7;0.1;7.8;16.4;57.4;26.2;69.2;15.4;5;2
07283;Saint-Pierre-la-Roche;59;25;75;5.9;2.6;25;30;50;20;75;0;0;2.5
07284;Saint-Pierre-Saint-Jean;146;14.3;250;6.2;-0.1;9.6;12.3;56.8;30.8;71.4;14.3;0;1.8
07285;Saint-Pierre-sur-Doux;107;0;180;5;-0.2;16.8;22.4;43.9;33.6;57.1;28.6;14.3;2.1
07286;Saint-Pierreville;548;11.1;206.1;26.7;0.2;15;21.2;41.6;37.2;66.7;14.8;7.4;2.1
07287;Saint-Pons;294;33.3;82.6;17.8;1.6;17.8;27.7;52.7;19.5;50;16.7;0;2.3
07288;Saint-Priest;1198;20.8;68.7;62.6;-1.4;18.5;27;56.2;16.8;50.1;21.6;7.4;2.4
07289;Saint-Privat;1720;20;114.5;280.6;1.4;17;26.5;47.6;25.9;48.7;22.1;9.1;2.3
07290;Saint-Prix;280;19.9;60.9;18.4;1.9;20;30.3;53.5;16.2;46.3;20.2;13.6;2.4
07291;Saint-Remèze;875;20.4;89.3;20.5;-0.6;17;27.7;50.6;21.7;52.4;16.4;10.8;2.2
07292;Saint-Romain-d'Ay;1188;27;56.2;126.9;2.6;23.3;32.6;50.9;16.5;37.8;25.7;9.5;2.6
07293;Saint-Romain-de-Lerps;856;18.2;50;60.5;2.5;24.7;30.4;55.2;14.4;45.5;29.1;7.3;2.6
07294;Saint-Sauveur-de-Cruzières;530;26.7;162.5;21.3;0.3;12.5;19.2;53.8;27;56.7;16.7;0;2.1
07295;Saint-Sauveur-de-Montagut;1114;26.7;187.2;96.5;-0.3;13.4;20.2;46.6;33.2;50.2;18.1;4.9;2
07296;Saint-Sernin;1655;19.1;96.4;286.3;0.6;18.2;27;50.2;22.8;51.1;22.3;7.4;2.3
07297;Saint-Sylvestre;507;25;59.2;33.4;0.4;20.6;31.2;52.3;16.5;39.3;21.4;14.3;2.5
07298;Saint-Symphorien-sous-Chomérac;759;17;58.2;96.6;1.1;18;28.3;57.7;14;51.1;21.3;10.6;2.3
07299;Saint-Symphorien-de-Mahun;119;28.6;145.5;6.2;-2.9;12.6;21.8;51.3;26.9;57.1;14.3;0;2.1
07300;Saint-Thomé;445;11.1;82.7;22.6;1.4;17.3;26.5;54.2;19.3;55.6;25.9;7.4;2.4
07301;Saint-Victor;948;3.4;122.9;29.7;0;15.5;25.4;48.6;26;67.2;24.1;5.2;2.3
07302;Saint-Vincent-de-Barrès;832;13;52.9;43.6;0.4;20.9;28.7;57.1;14.2;59.3;20.4;7.4;2.5
07303;Saint-Vincent-de-Durfort;231;8.3;114.3;18.5;-1.4;20.1;22.6;53.4;23.9;58.3;25;8.3;2.1
07304;Salavas;660;25.6;154.2;38.6;2.7;11.6;20.5;52.3;27.1;55.8;16.3;2.3;2.1
07305;Les Salelles;363;4.5;166.7;64.7;1.9;13.5;19.6;50.1;30.3;72.7;22.7;0;2.1
07306;Sampzon;226;20;153.7;26.9;0.2;14.3;18.7;53.9;27.4;66.7;13.3;0;2.1
07307;Sanilhac;448;25.9;125;21.4;1.3;15.3;22.7;52.5;24.8;48.1;18.5;7.4;2.1
07308;Sarras;2147;23;79.1;184.3;0.7;19.2;29.4;51;19.6;45.9;21.3;9.8;2.3
07309;Satillieu;1568;23.5;152.6;47.8;-0.6;14.9;22.2;48.6;29.2;56;13;7.4;2.1
07310;Savas;904;21.4;50.8;72.7;1.6;19.2;31;55.4;13.6;48.2;25;5.4;2.7
07311;Sceautres;143;10;109.1;9.8;-0.3;20;26.2;49;24.8;60;30;0;2.4
07312;Sécheras;551;10;45.9;75.9;2.2;23.5;32.8;53.2;14;39.7;40.2;10.1;2.7
07313;Serrières;1154;14;136.2;291.4;0.5;16.9;26.6;45.1;28.3;54.4;22.8;8.7;2.1
07314;Silhac;366;16;106.6;16.1;0.2;16;22;56;22;60;24;0;2.2
07315;La Souche;368;17.4;161.1;11.7;0.7;14.9;20.7;47.8;31.5;60.9;17.4;4.3;2
07316;Soyons;2224;20;71.1;281.5;2.3;18.3;27;56.3;16.8;53.1;20.6;6.3;2.4
07317;Talencieux;1051;25.4;49.7;148;0.9;23.1;31.5;54.2;14.3;43.3;23.9;7.5;2.6
07318;Tauriers;188;33.3;136.6;41.7;1.2;18.9;24;47.4;28.6;44.4;22.2;0;2.1
07319;Le Teil;8557;22.5;82.1;321.8;1.1;19.1;30.5;48.3;21.2;49.4;15.8;12.3;2.2
07321;Thorrenc;234;17.6;62.7;63.8;0;20.2;28.8;55.4;15.9;64.7;11.8;5.9;2.6
07322;Thueyts;1207;20;208.4;55.4;-0.4;13.3;19.7;45.4;34.9;60;15.4;4.6;2
07323;Toulaud;1687;18.1;61.5;48.6;0.2;19.2;29.2;55.2;15.7;49.5;25.7;6.7;2.5
07324;Tournon-sur-Rhône;10234;21.6;94.3;487.1;-0.9;18.3;29.3;48;22.8;48.8;20.3;9.4;2.1
07325;Ucel;2056;18.3;137.2;371.1;0.6;16.2;24.3;47.7;27.9;59.2;17.5;5;2.2
07326;Usclades-et-Rieutord;119;33.3;275;9.6;-1.4;13.9;19.1;42.6;38.3;50;0;16.7;1.9
07327;Uzer;416;25;140.5;118.5;-1.2;15.4;24;47.6;28.4;58.3;8.3;8.3;2.1
07328;Vagnas;544;28.5;132.1;22.8;0.2;15.3;23.5;49.9;26.6;52.3;16.5;2.7;2.1
07329;Valgorge;444;26.9;184.5;16.8;-1.5;11;17.4;55;27.5;52.5;12.9;7.7;1.9
07330;Vallon-Pont-d'Arc;2359;16.5;152.1;82.4;0;14.6;23.2;46.7;30.1;62.3;15.1;6;2
07331;Vals-les-Bains;3541;19.6;214.8;184.4;0.1;11.9;19.5;46.4;34.1;60.9;14.7;4.9;1.8
07332;Valvignères;485;17.9;84.2;16.3;1;15.6;27.5;52.4;20;53.6;25;3.6;2.3
07333;Vanosc;939;16.4;75.6;36;0.8;20.2;28.2;51.9;19.9;50.9;23.6;9.1;2.4
07334;Les Vans;2679;21.4;183.3;86.2;-1.1;13.4;22;45.6;32.4;56.1;18.3;4.2;1.9
07335;Vaudevant;203;7.7;144.1;16.3;0.2;13.7;22;54.1;23.9;61.5;30.8;0;2.2
07336;Vernon;236;32.1;210.8;63.6;1.5;11.1;17.1;49.6;33.3;55.1;12.8;0;2
07337;Vernosc-lès-Annonay;2599;22.9;59.1;161.6;2.5;22.5;32.5;50.4;17.1;45;20.9;11.1;2.5
07338;Vernoux-en-Vivarais;1961;17.9;125.2;64.2;0.9;16.4;25.1;48.3;26.6;56.6;16;9.4;2.2
07339;Vesseaux;1895;27;77.5;101.3;2.3;19.3;28.4;52.1;19.6;45.2;19.1;8.7;2.3
07340;Veyras;1533;20.3;122.5;197.6;-0.2;15;22.6;53.8;23.6;58.3;15.7;5.7;2.3
07341;Villeneuve-de-Berg;2951;22.8;123.8;119.9;0.8;17;25.3;47.8;26.9;50.1;19.9;7.2;2.1
07342;Villevocance;1178;17;85.8;125.6;-1.3;17.6;26;54.7;19.3;56.6;18.9;7.4;2.2
07343;Vinezac;1365;24.7;77.4;125.1;1.4;18.4;28.1;52.8;19.1;45.7;23.5;6.2;2.4
07344;Vinzieux;452;25.9;62.9;65.8;2.1;23.6;30.9;51.9;17.2;40.7;25.9;7.4;2.7
07345;Vion;942;16.1;62.6;151.7;0.3;20.1;30.8;52.3;16.9;50.4;21.2;12.3;2.5
07346;Viviers;3720;21.4;96;108.9;-0.9;17.8;27.1;50.7;22.2;51.2;20.8;6.6;2.3
07347;Vocance;607;9.1;95.9;35.4;0.8;19.1;27.3;49.6;23.1;60.6;27.3;3;2.2
07348;Vogüé;1078;30.6;79.1;92;2.8;18.4;29.3;51;19.7;45.2;14.5;9.7;2.1
07349;La Voulte-sur-Rhône;5093;24.1;113;525.1;0;16.2;26.4;49.5;24.1;48.4;21.9;5.5;2.1
08001;Acy-Romance;435;27.4;127.5;39.1;-0.4;11.1;22.3;56.9;20.8;53.9;18.7;0;2.2
08003;Aiglemont;1653;20;109.7;186.8;0.3;16.2;24.9;51;24.1;56;18;6;2.3
08004;Aire;218;7.1;56.7;34.7;0.3;20;30;54.5;15.5;57.1;28.6;7.1;2.5
08005;Alincourt;146;38.5;31.2;16.9;-0.1;29.2;36.1;53.5;10.4;35.9;12.8;12.8;2.8
08006;Alland'Huy-et-Sausseuil;245;15.4;42.1;28.1;-1.1;21.2;32.2;54.7;13.1;38.5;38.5;7.7;2.4
08008;Amagne;724;18.6;53.2;77.7;0.4;22.3;31.4;53.7;14.9;44.2;23.3;14;2.4
08010;Ambly-Fleury;131;0;65.7;22.3;0;21.6;29.9;53;17.2;71.4;14.3;14.3;2.2
08011;Anchamps;220;42.9;66.7;97.3;-0.9;20.5;27.7;55;17.3;35.7;14.3;7.1;2.3
08013;Angecourt;387;20.8;82.4;103.8;-0.2;21.2;27.4;53.2;19.4;50;25;4.2;2.3
08014;Annelles;140;25;35.6;11.4;0.1;23.4;39;49.7;11.3;37.5;25;12.5;3
08015;Antheny;102;33.3;200;10.1;-0.8;10.1;23.2;48.5;28.3;66.7;0;0;2
08016;Aouste;209;15.4;115.2;16.3;0.8;16.6;25.4;48.8;25.9;61.5;7.7;15.4;2.5
08017;Apremont;118;14.3;133.3;9.2;-2.1;20.2;25.8;45.2;29;57.1;14.3;14.3;2.1
08018;Ardeuil-et-Montfauxelles;70;0;146.2;16.4;-3.6;12.5;22.2;51.4;26.4;66.7;33.3;0;2.1
08019;Les Grandes-Armoises;61;0;54.5;13.6;1;31.1;37.7;42.6;19.7;50;25;25;2.7
08020;Les Petites-Armoises;64;0;45;14.6;0.3;30.3;36.4;50;13.6;33.3;66.7;0;2.4
08021;Arnicourt;158;20;29.5;19;-0.7;23.4;29.7;62;8.2;50;20;10;2.5
08022;Arreux;328;23.8;75;77.5;-1.6;16.7;27.2;55.2;17.6;47.6;23.8;4.8;2.4
08023;Artaise-le-Vivier;63;20;107.1;7.4;1.3;15.2;22.7;54.5;22.7;60;20;0;2.3
08024;Asfeld;1113;17.6;74.1;50.2;0.4;21.6;30.3;49.9;19.8;53.5;21.8;7.1;2.4
08025;Attigny;1138;12.9;97.2;99.3;-1.6;17.6;27.1;50.1;22.8;58.6;19.1;9.4;2.2
08026;Aubigny-les-Pothées;318;21.1;73.7;30.5;-2;18.5;31.5;50.6;17.9;42.8;26;10;2.4
08027;Auboncourt-Vauzelles;102;28.6;100;18.9;0.2;11.8;25.5;54.9;19.6;42.9;14.3;14.3;2.4
08028;Aubrives;874;21.8;72.2;81.5;0.4;18.4;27.1;56.2;16.7;56.7;14.4;7.1;2.4
08029;Auflance;85;25;175;13.8;0.5;11.8;16.5;58.8;24.7;75;0;0;2.1
08030;Auge;61;0;162.5;13.6;4.1;13.3;20;58.3;21.7;75;25;0;2.3
08031;Aure;51;0;107.7;4;1.2;17.6;25.5;47.1;27.5;66.7;33.3;0;2.1
08032;Aussonce;214;30.8;41.9;11.2;2.3;28.2;31;56.8;12.2;53.8;7.7;7.7;2.6
08033;Authe;90;0;123.5;9.5;-0.4;15.6;24.4;52.2;23.3;83.3;0;16.7;2.1
08034;Autrecourt-et-Pourron;344;38.1;109.9;28.6;-0.5;16.7;24.3;52.8;22.9;42.9;14.3;4.8;2.2
08035;Autruche;67;0;57.9;8.1;1.2;27.7;32.3;50.8;16.9;66.7;33.3;0;2.5
08036;Autry;119;12.5;252.6;7.3;-2.8;10.9;20.2;39.5;40.3;75;0;12.5;2.1
08037;Auvillers-les-Forges;875;25;69.2;106.8;-0.3;20.7;30.3;51.5;18.2;48.1;11.5;15.4;2.3
08038;Avançon;303;21.1;56.9;14.4;-1;25.4;31.9;50.2;18;47.4;21.1;10.5;2.6
08039;Avaux;463;20.7;56.1;35.1;0.1;19.7;28.7;57.5;13.8;51.7;20.7;6.9;2.3
08040;Les Ayvelles;902;25.9;55.1;165.5;-1.1;21;30.2;54.9;15;40.7;25.9;7.4;2.5
08041;Baâlons;220;25;61.4;14.9;-0.4;20.3;29.5;53.6;16.9;50;8.3;16.7;2.4
08043;Balan;1613;22.5;100.3;346.9;0.1;16.3;25.4;52.8;21.8;57.8;15.7;3.9;2.2
08044;Balham;138;20;36.7;78;1.5;26.3;34.2;53.9;11.8;50;10;20;2.7
08045;Ballay;282;25;73.8;27;3;16.6;26;56.7;17.3;50;18.7;6.3;2.5
08046;Banogne-Recouvrance;157;20;78;8.3;-0.9;21.7;28;51.6;20.4;50;20;10;2.5
08047;Barbaise;97;14.3;104.5;14.5;-0.8;19.2;21.2;56.7;22.1;57.1;14.3;14.3;2.4
08048;Barby;407;20;85.1;36;1.5;17.7;28.5;50.4;21.1;48;24;8;2.5
08049;Bar-lès-Buzancy;126;28.6;86.7;13.4;1;18.4;30.4;48.8;20.8;42.9;14.3;14.3;2.4
08052;Bayonville;98;16.7;100;6.1;-0.6;17.3;23.5;55.1;21.4;50;33.3;0;2.3
08053;Bazeilles;2426;18.2;74.6;67.1;-0.4;16.4;32.2;48.1;19.7;53.8;19.7;8.3;2.2
08055;Beaumont-en-Argonne;431;15.3;84.3;13.9;-1.5;18.2;28.4;52;19.6;56;21.9;6.8;2.2
08056;Beffu-et-le-Morthomme;49;0;63.2;8.9;-8.4;25.5;36.4;41.8;21.8;66.7;0;33.3;2.7
08057;Belleville-et-Châtillon-sur-Bar;268;14.3;48.6;12.6;-3;14.8;34.5;52.2;13.3;57.1;7.1;21.4;2
08058;Belval;222;20;83.3;44.9;-1.5;17.6;28.4;51.4;20.3;53.3;20;6.7;2.4
08059;Belval-Bois-des-Dames;33;0;200;1.9;-1.7;9.1;12.1;69.7;18.2;100;0;0;2.1
08060;Bergnicourt;283;11.1;46.4;34.7;4.8;28;37.8;46.5;15.7;44.4;33.3;11.1;2.9
08061;La Berlière;42;0;90;4;-3;21.1;28.9;47.4;23.7;66.7;33.3;0;2.4
08062;Bertoncourt;129;33.3;133.3;18.9;-0.8;13.5;24.6;50;25.4;55.6;0;11.1;2.3
08063;La Besace;138;28.6;124;9.9;5.2;15;22.6;54.1;23.3;57.1;14.3;0;2.6
08064;Biermes;300;10;79.7;37.7;1.2;19.3;26.3;54;19.7;60;25;5;2.5
08065;Bièvres;50;50;133.3;6.8;-4.2;13.5;21.2;55.8;23.1;0;0;50;2
08066;Bignicourt;68;25;63.2;7.9;0.3;22.1;30.9;51.5;17.6;50;25;0;2.5
08067;Blagny;1225;16;84.9;165.1;0.4;18.8;30.8;47.4;21.7;48.6;27.3;8.1;2.4
08069;Blanchefosse-et-Bay;156;11.1;216.7;7.6;0;9.5;20.4;44.2;35.4;55.6;22.2;11.1;2
08070;Blanzy-la-Salonnaise;329;35.3;82.6;27.1;-0.7;17.3;26.8;53.6;19.6;41.5;18.7;4.5;2.3
08071;Blombay;137;12.5;83.3;14.5;2;22.6;32.1;46;21.9;50;25;12.5;2.4
08073;Bossus-lès-Rumigny;102;16.7;87;12.5;0.2;12.7;24.5;55.9;19.6;50;33.3;0;2.3
08074;Bouconville;52;33.3;212.5;3.4;-0.4;10;18;48;34;66.7;0;0;2.1
08075;Boult-aux-Bois;141;0;106.7;9.3;-0.4;14.5;23.2;53.6;23.2;75;25;0;2
08076;Boulzicourt;961;19.3;69.6;144.5;0.3;17.5;27.9;55.4;16.7;57.9;14;8.8;2.2
08077;Bourcq;52;66.7;257.1;5.3;-2.8;7.3;18.2;49.1;32.7;33.3;0;0;1.7
08078;Bourg-Fidèle;866;26;53.5;58.6;0.1;22.1;32.9;52;15.1;38;30;6;2.5
08080;Bouvellemont;117;0;55.6;27.1;4.3;29.1;32.5;50.4;17.1;57.1;28.6;14.3;2.8
08081;Bogny-sur-Meuse;5169;18.7;78.3;223.2;-0.9;19;30.3;49.7;20;52.9;18.3;10;2.3
08082;Brécy-Brières;74;0;93.8;8.5;1.1;16.2;25.7;54.1;20.3;75;25;0;2.3
08083;Brévilly;375;17.4;66.7;51.4;-1.1;20.5;29.1;53.9;17.1;56.5;21.7;4.3;2.4
08084;Brienne-sur-Aisne;240;25;42.7;19.6;5;29.1;34.5;51.9;13.6;43.8;25;6.3;2.8
08085;Brieulles-sur-Bar;214;15.4;93.9;16.2;2.8;17.3;29.9;48.6;21.5;53.8;7.7;23.1;2.4
08086;Briquenay;102;0;152.9;7;-3.8;9.6;27.7;44.7;27.7;60;40;0;2
08087;Brognon;151;44.4;87.1;20.5;-0.8;13.2;23.8;58.3;17.9;44.4;0;11.1;2.1
08088;Bulson;134;14.3;63.9;20.7;-0.4;21.6;30.6;52.2;17.2;42.9;42.9;0;2.5
08089;Buzancy;337;15.8;86.1;14.9;-2.3;19.4;27.4;51.9;20.7;63.7;5.2;15.3;2.2
08090;Carignan;2908;18.3;107.9;207.6;-0.9;17.5;28.7;46.6;24.8;49.4;23.2;9.1;2.2
08092;Cauroy;189;16.7;70.8;10.8;0.3;19.3;27.3;54.5;18.2;50;25;8.3;2.4
08094;Cernion;58;0;123.1;8.8;0;17.2;27.6;44.8;27.6;100;0;0;2.4
08095;Chagny;185;33.3;57.1;13.9;0.3;27.8;33.3;48.9;17.8;33.3;22.2;11.1;2.6
08096;Chalandry-Elaire;649;21.9;61.5;125.3;1.1;18.1;27.1;58.5;14.4;54.7;18.8;4.6;2.5
08097;Challerange;450;17.9;112;40.4;-1.4;16.7;26.9;48.2;24.9;53.6;25;3.6;2.2
08098;Champigneulle;62;0;288.9;8;2.1;11.1;14.3;44.4;41.3;75;0;25;1.9
08099;Champigneul-sur-Vence;121;28.6;23.1;26.2;-2.3;24.2;35;57.5;7.5;28.6;42.9;0;2.6
08100;Champlin;72;25;75;12.2;-1.8;20.3;32.4;47.3;20.3;25;25;25;2.4
08101;La Chapelle;184;0;72.5;24.5;2.8;20.5;26.7;56.8;16.5;72.7;18.2;9.1;2.5
08102;Chappes;99;20;59.3;10.3;0.4;21.9;30.2;53.1;16.7;60;20;0;2.5
08103;Charbogne;219;14.3;61.2;24.2;1;19.2;26.5;59.8;13.7;57.1;7.1;21.4;2.3
08104;Chardeny;50;33.3;92.3;10;3.5;21.8;25.5;52.7;21.8;33.3;33.3;0;2.4
08105;Charleville-Mézières;46682;24.3;94.2;1484.8;-1.1;16.6;29.1;49.4;21.5;48.7;16.5;10.5;2
08106;Charnois;76;0;136.4;13.5;-2.7;12;22.7;57.3;20;80;20;0;2.4
08107;Château-Porcien;1395;20;83.7;80.6;-0.2;19.1;30.6;48;21.4;49.3;21.3;9.3;2.4
08109;Chatel-Chéhéry;150;22.2;189.3;9.3;-1;10.7;20.6;43.2;36.2;55.6;22.2;0;2
08110;Le Châtelet-sur-Sormonne;160;18.2;117.2;16.2;-1;13.8;20.6;58.1;21.2;63.6;18.2;0;2
08111;Le Châtelet-sur-Retourne;789;29.1;28.6;79.4;3.2;27.5;33.8;57.3;8.9;32.9;29.5;8.5;2.8
08113;Chaumont-Porcien;479;20;82.4;13.3;0.9;21.1;31.7;46.3;22;48;24;8;2.3
08115;Chémery-Chéhéry;581;13.7;70.1;20.9;0.7;17.9;28.9;53.4;17.7;47.5;28;10.8;2.4
08116;Bairon et ses environs;1056;25.9;109.5;23.5;-1.3;18.4;27.2;47.1;25.8;51.7;15.5;6.9;2.1
08117;Chesnois-Auboncourt;173;10;62.5;36.7;-0.6;23.9;30.1;52.8;17;50;30;10;2.3
08119;Cheveuges;417;27.8;83;46.9;-1.9;19.1;28.9;51.8;19.4;56.2;9.9;6.2;2.3
08120;Chevières;46;0;300;7.5;-1.3;11.1;17.8;42.2;40;66.7;0;33.3;2.1
08121;Chilly;147;22.2;61.3;25;-1.4;12.9;28.8;57.6;13.7;55.6;22.2;0;2.4
08122;Chooz;745;12.8;96.4;57;-0.6;17.7;25;53.7;21.3;59.6;19.1;8.5;2.3
08123;Chuffilly-Roche;76;16.7;66.7;9.9;-4;20.3;31.6;50.6;17.7;50;16.7;16.7;2.5
08124;Clavy-Warby;350;34.3;55;29.7;-0.2;16.9;27.3;60;12.7;40.2;21.3;4.1;2.3
08125;Cliron;361;20;77.1;58.4;4.1;20.9;27.5;53.7;18.8;52;20;8;2.4
08126;Condé-lès-Herpy;218;23.1;54.7;18.9;0.8;25.8;31.8;52.1;16.1;46.2;23.1;7.7;2.5
08128;Condé-lès-Autry;71;25;150;8.9;-1.4;10.4;19.4;53.7;26.9;50;25;0;2.1
08130;Contreuve;81;50;75;7.4;5.5;21;29.6;51.9;18.5;50;0;0;2.1
08131;Cornay;62;0;288.9;5.7;-6.3;10.8;20;40;40;100;0;0;1.9
08132;Corny-Machéroménil;189;22.2;37.5;17.9;0.9;23.8;33.7;54.7;11.6;44.4;22.2;11.1;2.6
08133;Coucy;507;33.3;58.3;79.3;-0.7;21.5;31.6;52.3;16.1;36.7;23.3;6.7;2.5
08134;Coulommes-et-Marqueny;89;0;215.4;7.4;-0.7;12.8;19.2;44.9;35.9;75;25;0;2.1
08135;La Croix-aux-Bois;148;22.2;102.6;25.6;3.9;20.1;28.2;45;26.8;66.7;11.1;0;2.5
08136;Daigny;350;17.4;59.3;122.8;-0.1;18.7;29.9;54.6;15.5;56.5;21.7;4.3;2.6
08137;Damouzy;433;11.1;101;49.3;0.9;17.3;24.9;52;23.1;63;22.2;3.7;2.4
08138;Les Deux-Villes;254;21.4;49.4;31.2;-1.1;23.6;34.3;50.4;15.4;28.6;42.9;7.1;2.6
08139;Deville;1041;21.9;101.2;133;-1.5;15.4;26.8;51.1;22.1;52.2;16.5;9.4;2.1
08140;Dom-le-Mesnil;1092;21.9;70.2;136.7;0.5;18.1;30.5;52.1;17.4;48.7;23.3;6.2;2.4
08141;Dommery;177;25;97.6;16.6;-0.9;16.4;26;50.8;23.2;50;8.3;16.7;2.3
08142;Donchery;2144;28.7;108.3;78.4;-1.6;14.3;26.1;50.8;23.1;48.7;15.7;7;2.2
08143;Doumely-Bégny;79;25;122.2;10.1;-3.2;16.4;27.4;42.5;30.1;50;25;0;2.3
08144;Doux;97;33.3;34.4;14.9;6.7;30.1;40.9;47.3;11.8;33.3;16.7;16.7;2.7
08145;Douzy;2151;21.8;52.8;106.5;0.5;21.5;33.6;51.2;15.2;41.3;24.6;12.3;2.5
08146;Draize;103;16.7;70.8;15.2;0;18.6;31.4;52;16.7;50;33.3;0;2.4
08147;Dricourt;84;0;32.1;11.8;0;22.6;36.9;52.4;10.7;50;25;25;2.6
08148;L'Écaille;267;18.8;20.7;29.2;5.2;26.6;36;56.9;7.1;37.5;37.5;6.2;2.8
08149;L'Échelle;134;25;85.7;13.5;0.1;20.4;28.5;49.6;21.9;37.5;25;12.5;2.4
08150;Écly;179;18.2;76.6;19.1;-2.4;17.7;29.3;50.8;19.9;54.5;18.2;9.1;2.4
08151;Écordal;325;26.3;68.4;25.2;2.2;20.5;31;51.8;17.2;41.9;21.1;10.6;2.4
08153;Escombres-et-le-Chesnois;357;23.8;54.4;43.1;0.2;21.8;31.2;54.7;14;52.4;14.3;9.5;2.6
08154;Estrebay;70;25;190.9;7.5;-1.1;13;21.7;47.8;30.4;50;25;0;2
08155;Étalle;102;66.7;51.7;23;1;15.7;33.3;52;14.7;16.7;0;16.7;2.6
08156;Éteignières;519;24.1;47.4;44;0.4;22.5;34.5;51.4;14.1;41.4;24.1;10.3;2.4
