Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
394;1;336;36191;1.82;0.0;0.0;7.27;9.39;4.85;0.91;31.52;20.3;22.73;1.21;7.47
1245;10;986;36192;1.77;0.42;0.1;3.75;17.5;6.56;1.25;20.94;25.0;21.25;1.46;6.5
207;2;182;36193;1.71;0.57;0.57;6.29;18.86;7.43;2.29;29.14;22.29;10.29;0.57;4.71
720;8;594;36194;1.92;0.17;0.7;6.63;18.32;3.84;1.4;37.0;16.93;11.52;1.57;6.25
421;1;384;36195;1.89;1.08;0.27;7.01;12.13;5.12;1.35;28.3;19.95;20.49;2.43;4.93
78;1;60;36196;0.0;0.0;0.0;5.36;17.86;14.29;0.0;17.86;23.21;17.86;3.57;2.47
279;2;232;36197;1.32;0.88;0.0;7.93;25.11;2.2;2.64;27.31;20.7;10.13;1.76;0.0
316;3;274;36198;1.52;0.0;0.38;7.98;23.57;5.7;0.76;27.76;14.45;16.35;1.52;10.81
963;7;789;36199;0.52;1.31;0.0;4.19;16.12;7.47;1.44;24.25;22.8;20.84;1.05;6.76
1339;11;1028;36200;1.0;0.7;0.2;5.0;17.0;6.5;1.7;17.2;26.5;22.6;1.6;4.89
2503;26;2013;36202;0.72;0.57;0.1;6.21;21.57;4.71;1.4;25.45;21.73;16.61;0.93;7.73
49;0;32;36203;0.0;3.13;0.0;6.25;25.0;6.25;0.0;28.13;15.63;15.63;0.0;5.92
255;0;213;36204;0.99;1.48;0.0;8.87;27.59;4.93;1.48;22.66;17.24;14.29;0.49;1.74
109;0;82;36205;2.47;2.47;1.23;2.47;28.4;2.47;1.23;17.28;19.75;18.52;3.7;3.17
30;0;28;36206;0.0;0.0;0.0;0.0;53.57;0.0;0.0;32.14;10.71;3.57;0.0;4.74
470;3;376;36207;2.43;0.27;0.0;3.24;15.95;10.81;1.35;21.35;22.7;21.08;0.81;6.04
597;5;465;36208;1.13;2.03;0.23;4.5;24.1;6.76;1.8;21.4;24.55;12.39;1.13;0.0
236;4;194;36209;1.63;1.09;0.54;5.98;25.54;4.89;2.17;18.48;22.83;14.13;2.72;8.97
258;3;203;36210;2.58;1.03;1.03;5.15;12.89;7.73;2.58;22.16;28.87;14.43;1.55;3.81
389;1;315;36211;1.64;1.32;0.0;5.26;18.75;5.92;0.33;30.92;13.16;21.38;1.32;6.21
143;0;119;36212;0.0;0.87;0.87;11.3;16.52;1.74;0.87;30.43;12.17;25.22;0.0;7.98
222;0;191;36213;1.59;1.06;0.0;6.35;19.58;3.17;2.12;30.16;17.99;17.99;0.0;3.72
280;4;202;36214;3.16;0.53;1.05;6.32;16.32;4.74;2.11;28.42;17.37;17.89;2.11;6.1
336;1;300;36215;1.34;1.01;0.0;4.7;20.81;6.04;1.01;26.85;15.77;22.15;0.34;3.96
57;0;44;36216;2.27;0.0;0.0;9.09;18.18;0.0;6.82;36.36;18.18;9.09;0.0;7.2
96;0;80;36217;1.28;1.28;0.0;1.28;29.49;8.97;0.0;24.36;20.51;12.82;0.0;4.67
127;1;108;36218;0.0;2.86;0.95;5.71;24.76;3.81;2.86;29.52;20.0;9.52;0.0;10.3
432;3;369;36219;1.13;0.85;0.0;7.06;20.06;6.21;0.85;30.23;16.67;16.38;0.56;7.75
694;4;499;36220;0.41;1.43;0.2;6.34;16.56;7.98;1.02;18.4;22.7;22.9;2.04;4.87
319;8;256;36221;2.48;0.83;0.83;5.79;28.1;3.72;0.83;26.45;14.05;15.7;1.24;4.33
203;2;168;36222;0.61;1.22;0.0;6.71;23.78;6.1;1.83;25.61;22.56;11.59;0.0;6.06
126;1;106;36223;0.0;0.0;0.0;4.95;28.71;3.96;1.98;25.74;15.84;18.81;0.0;4.85
880;6;717;36224;1.01;0.58;0.29;4.47;23.63;7.2;1.15;23.2;20.75;16.57;1.15;4.22
137;3;116;36225;0.0;3.74;0.0;7.48;14.95;4.67;2.8;36.45;5.61;24.3;0.0;5.06
289;2;236;36226;0.0;1.29;0.0;6.01;15.45;10.3;1.29;25.32;21.46;17.17;1.72;1.84
206;2;149;36227;0.0;0.0;0.0;2.82;11.97;7.75;4.23;36.62;15.49;18.31;2.82;4.55
1842;19;1554;36228;1.13;0.8;0.27;6.07;18.48;4.87;1.2;25.68;21.68;18.01;1.8;3.56
819;6;628;36229;1.0;1.33;0.67;7.15;17.64;4.33;1.66;30.95;17.3;16.81;1.16;2.71
1504;12;1204;36230;0.94;0.77;0.17;6.66;18.79;6.06;1.45;25.19;18.27;20.24;1.45;5.48
738;10;644;36231;0.16;0.48;0.16;6.46;24.23;4.85;0.81;25.04;12.76;23.26;1.78;6.31
867;6;727;36232;1.41;0.84;0.28;5.49;17.3;4.22;1.27;33.19;17.16;17.16;1.69;7.46
544;4;427;36233;1.69;0.48;0.24;3.13;16.63;5.06;0.96;40.24;15.18;14.46;1.93;4.67
261;1;227;36234;0.92;0.0;0.0;5.07;16.13;1.84;1.84;26.27;30.88;16.59;0.46;0.0
295;1;234;36235;1.82;1.36;0.0;4.09;23.18;4.55;0.45;27.27;20.91;15.91;0.45;2.89
294;1;256;36236;0.4;0.79;0.79;4.74;27.27;3.56;3.16;24.11;20.95;12.65;1.58;2.72
624;6;503;36237;0.83;0.83;0.0;6.88;20.21;2.71;2.92;36.04;16.46;12.71;0.42;6.72
96;1;75;36238;0.0;0.0;0.0;8.22;19.18;5.48;1.37;30.14;26.03;9.59;0.0;4.58
398;4;329;36239;0.95;0.32;0.32;9.15;12.3;6.31;1.89;31.86;18.61;17.35;0.95;11.69
256;4;209;36240;1.0;1.49;0.0;4.48;14.93;7.46;0.5;26.87;13.93;26.87;2.49;4.07
2004;18;1594;36241;1.1;0.58;0.13;6.68;15.63;4.67;1.04;33.33;18.55;17.12;1.17;6.26
92;2;72;36242;1.43;0.0;0.0;11.43;18.57;0.0;0.0;35.71;17.14;15.71;0.0;6.55
303;1;248;36243;1.24;1.65;0.41;4.55;18.6;2.89;1.65;40.91;13.64;11.98;2.48;3.85
