Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
598;9;506;1001;0.81;1.21;0.4;6.87;22.22;5.86;0.4;25.45;24.04;11.92;0.81;3.92
209;2;184;1002;1.14;0.57;0.0;3.41;19.32;7.39;0.0;27.27;21.02;18.75;1.14;5.03
8586;58;6624;1004;0.62;1.1;0.08;5.36;16.8;5.33;0.93;25.84;20.64;21.88;1.41;7.27
1172;3;957;1005;0.54;1.07;0.0;4.82;21.11;3.97;0.64;32.8;20.47;13.5;1.07;2.59
99;0;79;1006;1.3;0.0;0.0;5.19;18.18;3.9;1.3;23.38;19.48;24.68;2.6;3.13
1880;11;1612;1007;0.58;0.71;0.06;5.17;15.05;5.3;0.84;29.59;22.48;19.12;1.1;5.68
581;5;490;1008;0.63;0.42;0.63;5.92;17.76;4.86;0.63;28.54;20.08;18.82;1.69;4.8
254;3;213;1009;0.0;2.87;0.0;2.87;21.05;3.83;3.83;19.14;26.32;18.66;1.44;3.38
738;11;602;1010;0.51;1.7;0.17;5.6;14.09;3.4;2.38;35.14;18.68;17.49;0.85;10.19
275;2;232;1011;1.79;0.45;0.0;4.02;20.54;5.8;1.79;28.57;21.88;13.39;1.79;10.0
278;7;225;1012;0.92;0.0;0.46;4.59;10.55;4.59;0.92;25.69;23.39;27.98;0.92;6.25
133;0;111;1013;1.83;1.83;0.0;2.75;21.1;0.92;0.0;37.61;14.68;17.43;1.83;7.03
2178;12;1658;1014;0.56;1.43;0.12;6.08;21.26;3.6;1.3;20.58;26.1;18.04;0.93;6.6
535;8;456;1015;0.69;2.06;0.46;5.72;18.54;5.03;1.6;23.11;25.4;16.48;0.92;6.1
317;1;252;1016;2.03;0.81;0.41;6.91;20.33;2.03;0.81;30.08;19.11;15.04;2.44;3.64
322;1;262;1017;0.77;3.08;0.38;5.38;13.08;2.31;1.92;34.62;15.0;21.54;1.92;4.56
36;0;28;1019;0.0;0.0;0.0;11.11;18.52;3.7;0.0;29.63;22.22;11.11;3.7;8.02
945;8;818;1021;0.63;0.75;0.0;6.91;35.05;2.76;0.88;23.49;18.47;10.18;0.88;4.04
879;8;697;1022;1.17;1.32;0.29;7.16;17.25;4.68;0.88;29.24;18.86;17.98;1.17;5.01
56;2;47;1023;0.0;4.44;0.0;0.0;33.33;0.0;0.0;35.56;2.22;24.44;0.0;3.23
2333;8;1891;1024;0.86;0.76;0.11;7.89;20.7;5.62;0.76;26.65;20.86;14.7;1.08;6.07
2281;19;1905;1025;0.44;0.82;0.16;8.18;17.5;3.65;0.87;27.7;25.08;14.72;0.87;4.29
552;11;452;1026;0.46;0.23;0.23;5.69;22.55;3.19;0.91;20.5;30.52;13.9;1.82;5.01
1215;2;1014;1027;0.6;1.21;0.2;7.06;19.46;3.33;0.71;30.54;22.48;13.51;0.91;4.9
448;13;371;1028;0.0;0.0;0.84;4.78;17.7;3.65;1.69;39.04;20.51;11.24;0.56;5.35
430;3;353;1029;0.0;0.89;0.89;9.17;15.09;1.78;0.3;36.09;19.82;15.09;0.89;8.02
518;5;412;1030;0.25;0.49;0.0;4.43;22.91;4.43;0.25;28.57;20.2;16.75;1.72;4.24
2072;14;1472;1031;0.56;2.18;0.14;5.28;21.83;5.14;1.69;23.8;21.83;16.9;0.63;6.75
1936;6;1572;1032;0.65;0.84;0.39;6.03;17.5;5.31;1.04;32.15;19.64;15.88;0.58;5.59
6064;39;4336;1033;0.64;2.2;0.07;4.83;18.14;6.46;1.02;21.38;23.23;20.96;1.07;5.04
5609;37;4336;1034;0.47;1.32;0.31;5.17;19.92;5.77;0.99;22.54;23.32;19.28;0.9;3.85
256;0;208;1035;0.49;1.95;0.0;10.24;14.15;3.9;1.46;29.76;18.05;18.05;1.95;4.14
460;0;373;1036;1.09;0.27;0.0;4.63;20.98;5.99;2.18;22.07;16.35;23.71;2.72;8.11
226;8;182;1037;0.58;0.0;0.0;5.2;33.53;2.31;1.73;30.06;15.61;9.83;1.16;3.06
578;2;496;1038;1.26;1.05;0.42;5.44;24.9;2.93;1.67;23.01;20.5;17.78;1.05;6.17
357;2;290;1039;0.0;0.35;0.0;5.9;13.89;5.9;1.39;27.08;23.61;20.49;1.39;2.33
348;1;276;1040;0.75;0.75;0.75;7.49;20.97;4.49;1.87;29.21;15.73;16.48;1.5;5.13
590;6;497;1041;0.63;0.63;0.42;6.08;11.53;6.5;1.89;30.61;20.34;20.13;1.26;4.59
226;1;193;1042;2.17;0.54;0.0;7.07;23.91;1.63;2.72;19.57;21.74;17.93;2.72;5.09
3573;9;2884;1043;0.42;1.2;0.18;5.16;26.43;3.99;0.78;18.52;27.88;14.52;0.92;3.83
407;1;311;1044;0.33;1.33;0.0;7.64;14.29;6.98;0.66;27.24;25.91;12.29;3.32;3.46
192;0;164;1045;0.0;0.0;0.0;5.06;23.42;2.53;2.53;39.24;20.25;5.7;1.27;4.6
616;21;506;1046;0.41;1.03;0.0;8.25;20.21;4.54;0.82;36.08;18.56;9.07;1.03;5.75
693;5;596;1047;0.87;1.4;0.35;7.87;19.76;2.97;0.7;27.8;21.5;15.91;0.87;5.07
2152;10;1804;1049;0.4;1.48;0.06;6.2;19.56;4.38;0.97;25.64;23.31;17.4;0.63;3.98
247;2;195;1050;0.53;0.0;0.53;4.81;24.6;3.21;0.53;44.39;6.95;13.9;0.53;4.85
98;0;76;1051;0.0;0.0;0.0;2.63;14.47;14.47;5.26;25.0;18.42;19.74;0.0;8.78
266;0;228;1052;0.44;1.33;0.0;7.56;32.44;4.44;1.78;22.67;17.33;11.56;0.44;4.74
23698;82;17294;1053;0.53;1.07;0.17;4.3;21.26;8.31;0.8;16.5;25.45;20.75;0.86;4.71
927;1;823;1054;0.74;1.11;0.12;6.77;17.61;5.67;0.49;29.93;21.67;14.9;0.99;6.29
301;4;246;1056;0.41;0.83;0.41;5.37;25.21;4.96;1.24;33.88;16.12;10.33;1.24;4.9
390;5;326;1057;0.63;1.57;0.31;9.09;10.03;6.58;0.63;37.93;17.87;14.73;0.63;3.77
622;2;501;1058;1.84;1.02;0.2;6.13;18.2;3.89;1.02;29.45;19.84;17.38;1.02;2.47
95;0;80;1059;0.0;0.0;0.0;1.32;28.95;7.89;1.32;21.05;27.63;11.84;0.0;4.44
420;1;346;1060;0.0;1.52;0.0;4.24;28.48;4.24;0.61;26.67;17.88;15.15;1.21;3.9
850;6;737;1061;0.42;1.26;0.0;7.58;14.75;4.21;1.69;30.48;23.6;15.03;0.98;4.26
616;12;536;1062;0.19;0.77;0.38;5.95;25.34;4.22;2.5;21.69;24.76;14.01;0.19;8.01
367;1;308;1063;0.66;2.32;0.33;7.95;28.15;3.31;1.66;24.17;22.52;7.28;1.66;0.0
728;3;576;1064;0.72;1.79;0.36;5.56;9.32;3.76;0.72;41.76;16.85;18.1;1.08;3.91
1325;4;1146;1065;0.54;0.63;0.0;6.62;24.51;6.17;1.52;21.47;26.03;11.36;1.16;3.35
82;0;60;1066;0.0;1.67;0.0;3.33;23.33;1.67;1.67;36.67;5.0;23.33;3.33;3.16
203;4;152;1067;1.35;0.68;0.0;13.51;19.59;6.08;1.35;22.97;23.65;10.14;0.68;4.55
503;22;396;1068;0.0;1.08;0.0;6.49;15.95;3.51;1.35;39.46;14.59;16.49;1.08;5.57
1082;8;947;1069;0.33;0.98;0.11;8.48;17.72;4.57;1.2;28.48;21.96;15.65;0.54;3.04
2563;9;2093;1071;0.64;1.37;0.1;6.8;29.55;5.38;0.93;14.92;26.17;13.55;0.59;3.84
2236;13;1833;1072;0.39;0.67;0.17;5.16;22.62;4.83;0.95;20.65;24.52;19.14;0.9;6.2
887;8;723;1073;1.0;1.87;0.43;6.03;15.93;5.31;0.86;26.4;22.24;17.93;2.01;1.01
1543;5;1239;1074;0.5;1.33;0.08;6.99;19.8;5.57;0.83;33.36;17.39;13.73;0.42;2.75
888;3;744;1075;0.0;0.96;0.41;6.59;24.04;4.12;1.1;30.22;17.03;14.7;0.82;11.67
122;1;97;1076;1.05;0.0;0.0;3.16;20.0;6.32;2.11;33.68;15.79;15.79;2.11;4.31
150;0;125;1077;0.83;0.83;0.0;13.22;16.53;2.48;0.0;38.84;11.57;14.88;0.83;2.86
777;2;589;1078;0.34;1.03;0.52;6.2;29.26;4.13;0.52;14.11;24.44;18.24;1.2;2.52
556;8;435;1079;0.7;0.94;0.47;14.52;18.97;6.32;1.17;16.16;19.67;19.91;1.17;3.17
503;4;420;1080;1.01;1.26;0.0;6.05;19.14;5.29;2.27;21.41;20.65;20.65;2.27;7.22
508;0;432;1081;0.48;0.48;0.0;6.94;22.49;6.7;1.2;27.27;14.11;17.94;2.39;5.07
386;2;309;1082;0.66;1.66;0.0;10.63;13.62;5.98;1.99;26.91;18.6;18.94;1.0;2.99
672;4;565;1083;0.54;0.18;0.0;4.9;23.23;4.36;1.09;38.48;15.25;11.8;0.18;7.59
593;0;484;1084;1.46;0.63;0.42;6.69;22.59;4.18;1.46;32.22;22.18;7.53;0.63;2.71
291;0;242;1085;0.41;2.9;0.0;12.45;20.75;5.39;0.41;31.95;17.01;7.88;0.83;6.68
212;3;179;1087;1.71;0.57;0.0;8.0;20.57;2.86;2.86;23.43;19.43;17.14;3.43;10.59
741;0;657;1088;0.47;0.47;0.16;5.13;18.2;4.35;0.78;38.88;19.6;11.51;0.47;5.22
1436;12;1200;1089;0.43;1.03;0.17;5.75;17.75;4.37;0.77;33.45;19.13;16.47;0.69;4.22
253;0;218;1090;0.47;0.93;0.0;7.94;27.1;3.27;1.4;25.23;17.29;16.36;0.0;6.62
2265;9;1783;1091;0.4;1.44;0.06;8.06;17.79;4.72;0.69;25.45;20.9;18.88;1.61;5.14
1201;7;999;1092;0.92;1.13;0.0;5.14;17.37;5.34;0.62;34.02;19.32;15.11;1.03;5.78
3504;12;2729;1093;0.71;1.05;0.26;6.28;26.61;4.82;0.82;25.49;20.33;12.29;1.35;4.88
554;3;427;1094;1.67;0.71;0.24;9.52;16.67;5.24;1.43;29.76;21.19;12.38;1.19;4.58
564;3;464;1095;1.11;0.44;0.0;5.76;16.19;7.1;1.55;27.27;19.96;19.07;1.55;3.16
747;2;628;1096;1.64;0.82;0.16;7.06;18.88;5.42;1.48;31.2;20.85;12.32;0.16;5.21
189;0;154;1097;0.0;0.67;0.0;9.4;13.42;8.72;1.34;22.82;26.17;16.78;0.67;2.88
734;1;598;1098;0.68;0.85;0.0;6.13;17.55;3.92;1.02;28.11;21.64;17.89;2.21;3.07
1188;5;1002;1099;0.82;0.41;0.1;6.57;17.04;5.03;0.92;32.75;22.59;12.94;0.82;0.0
138;1;113;1100;0.91;1.82;0.0;6.36;12.73;7.27;2.73;20.0;21.82;24.55;1.82;0.12
145;2;118;1101;0.86;1.72;0.0;9.48;13.79;2.59;1.72;30.17;20.69;18.1;0.86;0.7
646;3;527;1102;0.2;0.78;0.0;6.64;17.97;3.13;1.17;36.72;20.9;11.13;1.37;1.1
841;0;665;1103;0.0;1.54;0.15;5.22;31.34;5.68;1.08;15.21;26.73;12.44;0.61;0.56
332;1;255;1104;1.2;4.0;0.0;7.6;23.6;4.8;2.4;25.6;14.8;14.8;1.2;2.04
1189;3;995;1105;0.61;0.51;0.0;5.02;25.51;3.38;0.92;27.15;25.2;11.27;0.41;1.25
132;1;112;1106;0.93;0.93;0.0;9.26;13.89;10.19;5.56;26.85;7.41;23.15;1.85;0.78
120;0;103;1107;0.0;1.0;0.0;7.0;23.0;10.0;0.0;26.0;19.0;14.0;0.0;2.35
889;5;702;1108;0.44;1.74;0.0;6.69;21.8;6.25;0.87;27.18;20.35;14.24;0.44;1.06
1165;2;849;1109;0.36;1.45;0.48;5.94;18.06;7.03;0.97;22.06;21.58;20.24;1.82;0.81
127;0;107;1110;0.94;0.94;0.0;0.0;11.32;6.6;3.77;23.58;19.81;32.08;0.94;0.74
105;0;85;1111;1.22;1.22;0.0;7.32;18.29;6.1;1.22;17.07;18.29;29.27;0.0;0.81
268;2;225;1112;0.0;0.45;0.45;11.82;22.27;3.64;0.0;31.82;15.0;14.09;0.45;1.01
585;2;496;1113;0.83;0.83;0.21;8.09;19.92;4.56;1.87;25.52;25.31;11.83;1.04;0.44
391;1;335;1114;0.93;0.62;0.31;6.48;20.06;8.02;1.23;26.23;17.59;18.21;0.31;0.34
887;6;735;1115;0.56;0.56;0.14;7.24;17.55;4.04;2.23;31.2;21.03;15.04;0.42;1.22
439;2;366;1116;0.28;0.56;0.0;4.46;16.43;5.01;1.67;32.03;19.22;19.5;0.84;1.32
117;0;96;1117;0.0;0.0;0.0;4.3;12.9;3.23;1.08;31.18;22.58;23.66;1.08;1.35
764;9;613;1118;0.84;0.34;0.17;6.75;19.39;6.07;1.69;27.82;16.69;19.39;0.84;1.53
90;1;76;1121;0.0;1.43;1.43;4.29;25.71;4.29;1.43;31.43;20.0;10.0;0.0;2.66
647;3;552;1122;0.74;1.67;0.19;5.38;21.52;5.01;1.67;21.34;22.45;19.85;0.19;1.49
809;4;688;1123;0.3;0.74;0.3;7.57;22.26;4.9;0.3;25.82;22.11;15.28;0.45;1.28
537;0;437;1124;0.7;1.86;0.0;7.21;14.88;5.35;1.16;36.28;18.84;11.86;1.86;1.89
450;2;385;1125;1.34;0.0;0.0;6.15;16.31;8.02;1.87;34.49;14.71;15.51;1.6;2.28
390;1;339;1127;0.91;0.91;0.61;4.55;21.82;4.24;1.82;25.45;20.91;16.36;2.42;1.7
215;5;177;1128;0.0;0.0;0.0;5.52;17.79;6.75;3.07;34.97;17.18;12.27;2.45;1.71
202;0;182;1129;0.56;0.56;0.0;8.38;17.32;5.59;0.0;35.2;15.64;16.76;0.0;0.79
1039;2;858;1130;0.6;0.84;0.12;7.79;18.11;5.04;0.12;29.14;25.54;12.23;0.48;0.55
326;1;288;1133;0.35;0.7;0.0;5.94;19.23;3.85;0.7;24.48;24.13;19.23;1.4;2.99
1285;5;1113;1134;1.19;0.64;0.28;7.26;19.67;4.14;1.1;29.41;22.7;12.5;1.1;1.22
1116;2;907;1135;0.56;0.67;0.11;6.22;25.22;8.11;0.56;19.89;23.0;15.22;0.44;0.46
605;6;511;1136;0.82;1.02;0.61;8.16;21.22;3.06;2.04;32.65;19.18;11.22;0.0;0.5
1866;7;1473;1138;0.42;0.97;0.28;5.27;13.72;6.17;1.25;30.42;19.27;20.58;1.66;1.3
325;0;262;1139;1.95;1.95;0.78;5.45;22.18;2.33;0.78;34.24;20.23;8.95;1.17;0.59
542;2;480;1140;0.85;1.07;0.0;5.34;23.08;5.13;2.35;30.98;15.17;15.38;0.64;1.52
364;3;297;1141;0.35;0.0;0.0;5.65;19.79;4.59;1.06;24.03;24.38;19.43;0.71;1.01
3184;11;2542;1142;0.36;1.17;0.32;6.02;18.84;5.09;0.81;29.14;20.61;16.73;0.89;0.88
5840;12;4509;1143;0.14;1.62;0.29;3.16;38.58;3.83;0.74;10.78;30.19;9.94;0.72;5.05
632;8;513;1144;1.02;0.2;0.2;10.79;16.9;3.46;0.81;29.74;23.22;12.42;1.22;1.48
833;2;703;1145;0.57;2.01;0.14;5.32;18.25;4.6;1.01;35.49;17.53;14.94;0.14;4.17
284;1;239;1146;0.0;1.33;0.0;6.19;23.45;5.75;0.44;25.66;24.78;11.95;0.44;0.86
363;1;303;1147;1.01;1.01;0.0;8.78;18.92;5.07;0.34;32.77;20.95;10.81;0.34;1.3
1302;5;1016;1148;0.51;0.92;0.61;7.14;21.63;3.98;1.22;30.1;20.71;11.53;1.63;1.63
817;5;709;1149;0.29;1.03;0.15;6.32;19.85;4.85;1.32;23.97;23.82;17.65;0.74;0.73
170;0;150;1150;1.35;1.35;0.0;3.38;18.24;8.78;1.35;22.3;16.89;25.68;0.68;0.42
855;1;735;1151;0.56;0.42;0.0;5.71;21.31;4.74;1.53;34.12;18.8;11.56;1.25;1.98
590;0;499;1152;0.0;0.82;0.2;8.2;21.11;4.71;2.66;25.0;19.06;16.19;2.05;4.48
1132;1;888;1153;0.11;0.92;0.11;5.15;33.3;6.29;1.49;12.47;28.15;11.44;0.57;1.56
571;5;486;1154;1.28;1.49;0.0;8.96;18.34;4.9;1.28;30.49;20.04;12.37;0.85;1.23
127;1;111;1155;0.0;0.94;0.0;5.66;21.7;3.77;1.89;39.62;10.38;14.15;1.89;2.17
620;4;543;1156;0.38;0.19;0.0;6.64;19.54;2.47;2.28;40.99;14.8;11.95;0.76;1.18
1654;3;1378;1157;0.52;0.59;0.15;7.55;24.65;4.44;1.7;21.39;24.87;13.1;1.04;2.61
526;0;428;1158;0.73;1.71;0.24;6.1;22.68;3.9;1.71;23.41;19.51;19.02;0.98;1.57
2542;31;2076;1159;0.3;0.79;0.25;7.44;27.76;4.26;0.79;24.14;22.61;11.16;0.5;0.0
3629;17;2789;1160;0.22;1.13;0.25;2.95;24.34;8.01;0.55;10.26;30.82;20.38;1.09;0.94
69;0;68;1162;0.0;0.0;1.49;1.49;40.3;0.0;2.99;28.36;14.93;8.96;1.49;1.11
1494;7;1190;1163;0.96;1.48;0.09;7.65;23.89;3.91;1.22;27.28;20.85;11.21;1.48;2.2
1011;22;892;1165;0.35;0.46;0.12;8.31;20.67;3.35;0.46;31.41;22.17;12.01;0.69;16.91
1683;8;1423;1166;0.72;0.72;0.14;7.62;20.27;3.16;0.5;25.16;28.47;12.58;0.65;15.55
537;2;470;1167;0.87;0.22;0.43;6.93;16.67;4.55;1.3;33.77;20.78;13.42;1.08;13.98
418;1;350;1169;1.47;1.17;0.29;8.5;21.41;5.57;0.59;31.38;19.35;9.97;0.29;10.71
655;1;540;1170;0.38;1.52;0.0;7.79;15.97;3.04;1.52;34.22;21.48;13.12;0.95;24.58
618;4;504;1171;0.2;1.41;0.0;5.25;28.08;3.84;1.01;25.86;20.61;12.93;0.81;19.62
6391;27;4759;1173;0.47;1.29;0.15;5.35;23.79;6.2;0.88;15.18;28.34;17.24;1.12;21.18
132;0;101;1174;0.0;3.03;1.01;1.01;32.32;1.01;5.05;23.23;20.2;11.11;2.02;25.96
615;4;489;1175;0.64;0.64;0.42;7.63;19.28;2.75;1.48;25.0;21.82;19.7;0.64;18.21
147;0;123;1177;0.0;0.0;0.0;7.5;14.17;11.67;4.17;18.33;13.33;30.83;0.0;15.05
1390;10;1190;1179;0.43;0.34;0.26;6.9;21.64;4.31;0.86;26.9;21.9;14.91;1.55;15.12
491;2;390;1180;0.26;1.04;0.26;3.39;47.4;2.86;1.3;9.64;23.96;8.85;1.04;16.01
813;2;690;1181;0.59;0.74;0.0;7.12;25.07;2.52;1.63;27.0;21.07;13.8;0.45;12.23
1015;20;841;1183;0.85;1.22;0.61;5.85;25.7;3.17;0.73;30.69;20.34;9.99;0.85;11.26
589;2;485;1184;0.64;1.49;0.0;6.16;18.47;7.22;0.42;24.63;22.08;17.83;1.06;20.39
2224;14;1669;1185;1.05;1.05;0.25;4.45;19.28;5.07;1.98;25.09;18.48;21.88;1.42;14.45
83;1;69;1186;0.0;0.0;0.0;5.97;22.39;2.99;4.48;31.34;8.96;23.88;0.0;13.89
622;5;527;1187;0.58;1.56;0.19;8.37;25.1;7.59;1.56;18.48;18.48;16.34;1.75;13.89
481;4;417;1188;0.49;0.49;0.0;7.64;27.34;2.71;1.23;35.47;16.26;7.14;1.23;14.22
754;0;617;1189;0.33;0.33;0.17;4.17;10.02;6.68;2.17;33.56;22.37;18.86;1.34;19.0
102;2;89;1190;0.0;0.0;0.0;3.53;23.53;10.59;1.18;27.06;18.82;15.29;0.0;22.86
139;1;117;1191;3.48;8.7;0.0;7.83;26.96;5.22;2.61;21.74;17.39;6.09;0.0;9.38
1497;4;1229;1192;0.5;1.32;0.08;7.78;21.44;4.22;1.57;31.54;17.22;12.91;1.41;14.14
175;1;140;1193;0.74;0.74;0.0;9.56;20.59;6.62;0.0;25.74;19.12;16.91;0.0;15.52
4217;21;3393;1194;0.61;1.12;0.21;6.26;19.73;5.14;0.94;25.93;23.39;15.55;1.12;13.59
1193;4;1013;1195;0.0;1.01;0.3;5.47;20.77;5.78;1.11;23.2;27.66;13.98;0.71;18.95
790;10;658;1196;0.79;0.63;0.0;8.35;18.58;4.88;2.2;36.38;15.75;10.71;1.73;15.05
270;0;244;1197;0.42;0.42;0.0;5.83;18.33;4.58;0.83;20.0;22.92;24.58;2.08;11.47
187;0;165;1198;1.27;1.27;0.0;8.86;27.85;3.16;1.27;19.62;17.09;19.62;0.0;13.33
1470;3;1195;1199;0.77;1.37;0.09;6.23;17.93;5.21;1.2;27.75;17.42;21.18;0.85;5.38
124;2;112;1200;0.0;0.0;0.0;6.73;16.35;2.88;0.0;22.12;25.96;25.96;0.0;9.09
4874;27;3975;1202;0.75;1.11;0.13;6.19;18.45;4.4;0.93;28.01;20.93;18.21;0.88;12.71
905;4;764;1203;0.94;0.67;0.0;7.93;16.8;5.78;0.67;27.55;24.06;15.05;0.54;11.41
519;5;438;1204;1.16;0.0;0.0;6.98;19.3;4.42;2.09;25.35;23.95;15.12;1.63;12.85
704;6;549;1205;0.75;2.82;0.19;6.78;22.22;5.27;2.64;23.16;19.21;16.01;0.94;11.63
221;0;190;1206;1.6;1.6;0.53;5.85;19.68;3.72;4.79;27.13;21.81;12.23;1.06;21.09
248;1;226;1207;0.45;1.8;0.45;5.41;35.59;1.35;1.35;31.53;10.81;11.26;0.0;10.33
118;0;106;1208;1.94;0.0;0.0;2.91;17.48;10.68;0.97;33.01;11.65;20.39;0.97;12.5
428;2;354;1209;1.16;2.89;0.58;4.62;22.54;5.2;0.87;28.9;16.47;14.45;2.31;18.19
184;1;149;1210;1.39;0.0;0.0;4.86;32.64;5.56;1.39;19.44;20.14;13.89;0.69;14.29
1019;3;853;1211;0.48;0.12;0.12;8.7;20.65;5.92;1.57;24.4;23.31;13.89;0.85;15.71
547;2;441;1212;0.7;0.93;0.23;5.36;17.72;3.5;0.93;43.12;12.35;14.22;0.93;14.22
920;8;766;1213;0.54;0.67;0.4;5.53;12.26;6.47;0.81;35.71;17.52;19.0;1.08;18.97
125;0;108;1214;0.0;1.9;1.9;7.62;9.52;10.48;1.9;27.62;15.24;22.86;0.95;42.05
47;4;37;1215;0.0;6.25;0.0;15.63;9.38;12.5;0.0;21.88;25.0;9.38;0.0;11.54
609;5;501;1216;0.41;1.84;0.0;3.28;23.77;3.69;2.05;29.71;20.29;14.14;0.82;17.56
80;2;60;1218;1.72;1.72;0.0;8.62;27.59;1.72;1.72;27.59;10.34;15.52;3.45;20.88
131;0;103;1219;0.97;0.97;0.0;3.88;33.01;5.83;0.0;26.21;15.53;13.59;0.0;12.18
119;0;97;1221;1.05;0.0;0.0;4.21;21.05;7.37;0.0;24.21;21.05;18.95;2.11;13.71
1933;4;1515;1224;0.88;2.02;0.13;6.82;15.65;4.32;0.81;34.08;18.76;15.05;1.48;14.37
339;1;286;1225;0.36;2.51;0.0;7.17;28.67;5.02;1.43;23.3;19.71;11.47;0.36;16.03
357;2;296;1227;0.7;1.05;0.0;3.86;16.49;4.56;1.75;37.89;20.0;13.33;0.35;16.68
472;3;381;1228;1.88;0.54;0.27;11.83;25.54;2.69;3.49;29.57;18.28;5.38;0.54;8.6
828;7;700;1229;0.59;0.73;0.29;7.77;23.31;4.55;0.29;26.83;24.93;9.09;1.61;11.8
233;0;182;1230;1.1;0.55;0.55;6.08;21.55;3.31;0.55;30.39;23.2;12.71;0.0;15.02
1501;9;1292;1231;0.79;1.19;0.24;6.66;22.27;3.17;1.35;25.99;25.99;11.41;0.95;14.96
1687;16;1378;1232;0.75;0.68;0.23;5.79;24.19;5.86;1.35;26.15;21.26;12.85;0.9;13.84
108;0;86;1233;1.16;0.0;0.0;4.65;26.74;3.49;3.49;25.58;22.09;11.63;1.16;11.41
156;4;133;1234;0.78;0.0;0.0;3.91;14.84;3.13;1.56;32.81;21.88;21.09;0.0;5.29
671;2;560;1235;0.55;0.92;0.0;7.56;22.14;3.87;0.55;33.39;18.82;10.33;1.85;13.17
731;4;592;1236;0.18;0.7;0.18;7.75;17.61;3.7;2.64;25.53;28.52;12.5;0.7;19.93
1094;26;883;1237;1.17;1.53;0.12;6.57;20.54;2.46;1.76;28.52;18.31;18.19;0.82;12.43
1927;6;1663;1238;0.37;1.36;0.0;5.88;24.32;4.89;0.8;24.69;22.52;14.29;0.87;12.73
494;6;417;1239;1.0;2.0;0.25;8.73;17.46;4.49;1.5;25.19;22.69;15.71;1.0;14.57
494;2;416;1240;0.49;1.72;0.49;7.11;13.24;5.15;1.96;37.25;17.16;14.22;1.23;13.63
976;1;850;1241;0.12;1.47;0.12;7.22;20.44;7.71;0.61;19.46;22.77;18.97;1.1;11.28
101;0;88;1242;0.0;1.14;0.0;1.14;13.64;9.09;3.41;13.64;14.77;42.05;1.14;5.42
902;1;763;1243;0.4;0.54;0.27;5.77;26.58;4.56;1.34;25.37;22.68;11.54;0.94;16.9
5057;22;4082;1244;0.58;1.15;0.2;6.52;17.78;6.67;0.5;23.48;24.55;17.56;1.0;10.47
717;0;604;1245;0.34;0.84;0.34;5.72;16.84;5.05;1.85;24.92;22.39;20.88;0.84;19.44
1499;4;1176;1246;0.53;1.67;0.44;6.57;23.05;5.08;1.05;26.12;21.74;12.18;1.58;10.53
249;0;205;1247;0.0;0.51;0.0;3.55;29.44;5.08;2.54;25.38;16.24;13.71;3.55;12.69
1733;8;1409;1248;0.58;0.66;0.07;5.32;25.24;3.5;0.73;25.16;23.63;14.37;0.73;16.48
6784;27;5331;1249;0.4;1.55;0.17;5.54;21.83;5.39;0.92;21.21;26.22;16.03;0.73;23.81
1278;4;1114;1250;0.46;1.2;0.37;5.53;19.17;4.7;0.46;23.13;27.74;16.68;0.55;8.22
584;2;491;1252;0.21;0.21;0.21;4.82;27.04;3.98;1.05;28.72;24.32;8.6;0.84;5.32
1602;0;1359;1254;0.68;0.75;0.15;6.46;26.3;4.88;1.13;20.59;26.3;11.8;0.98;17.17
393;1;325;1255;0.32;0.64;0.0;6.39;19.17;4.15;1.6;26.84;24.92;15.02;0.96;15.94
302;2;243;1257;2.99;1.28;0.43;8.12;20.09;4.7;0.85;25.64;18.8;14.96;2.14;19.95
919;3;754;1258;0.41;0.0;0.14;8.49;21.78;3.42;1.37;34.66;15.07;13.84;0.82;17.06
449;1;388;1259;0.53;0.0;0.27;11.41;18.04;3.98;1.33;28.91;23.34;11.41;0.8;13.67
197;0;173;1260;0.59;0.59;0.0;14.12;32.94;3.53;1.18;24.71;17.06;5.29;0.0;25.48
496;0;418;1261;0.49;1.46;0.0;5.12;25.12;3.9;1.22;26.34;22.68;13.17;0.49;13.92
4357;26;3296;1262;0.5;0.93;0.16;5.68;18.22;5.31;0.74;24.46;23.0;19.93;1.09;16.74
2832;19;2317;1263;0.31;0.57;0.13;7.92;25.48;4.16;0.53;25.03;22.47;12.43;0.97;13.22
696;2;604;1264;0.34;0.17;0.0;6.79;22.07;5.09;2.04;32.77;17.83;12.73;0.17;9.2
2048;18;1558;1265;0.73;2.06;0.33;6.72;21.76;4.92;1.2;24.55;21.82;14.57;1.33;9.4
1835;11;1432;1266;0.5;1.08;0.43;5.98;21.49;6.13;1.15;25.96;23.07;13.63;0.58;7.79
716;4;595;1267;1.39;1.39;0.17;9.55;20.49;4.34;1.91;28.47;20.49;11.28;0.52;6.93
208;0;169;1268;1.2;0.6;1.2;11.45;25.9;2.41;3.61;34.94;13.25;5.42;0.0;6.91
1698;6;1254;1269;0.41;1.89;0.0;4.59;19.85;4.1;1.97;25.02;24.12;16.9;1.15;10.21
1031;7;875;1272;0.71;0.35;0.12;8.24;21.88;4.35;1.06;31.65;19.76;10.47;1.41;3.21
